"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
24180,000	5,359	23,900	4,532	12,500	1,952	0,537	-1,317	26,970	-13,050	-0,261	1023,480	34,544	4,174
24190,000	6,559	21,073	5,245	12,500	1,980	0,132	-1,421	28,057	-13,366	0,005	1023,480	34,544	4,174
24200,000	7,984	17,711	4,976	12,500	1,897	-0,188	-1,445	28,421	-13,366	0,314	1023,480	34,544	4,174
24210,000	8,442	14,349	4,044	12,500	1,736	-0,410	-1,374	29,154	-13,050	0,608	1023,480	34,544	4,174
24220,000	7,412	11,064	2,905	12,500	1,532	-0,489	-1,244	29,149	-13,366	0,934	1023,600	34,544	4,174
24230,000	5,415	8,008	1,704	12,500	1,294	-0,400	-1,048	29,149	-13,366	0,934	1023,600	34,544	4,174
24240,000	3,416	5,257	0,730	12,500	1,101	-0,154	-0,776	29,513	-13,366	0,914	1023,600	34,544	4,174
24250,000	1,342	2,736	1,109	12,500	0,936	0,211	-0,415	29,513	-13,366	1,574	1023,480	34,544	4,174
24260,000	-0,511	0,826	3,289	12,500	0,800	0,315	-0,369	29,877	-13,366	1,224	1023,480	34,544	4,174
24270,000	-1,102	-0,320	5,761	12,500	0,645	0,354	-0,454	30,241	-13,366	1,203	1023,480	34,544	4,174
24280,000	0,090	-0,855	6,567	12,500	0,461	0,369	-0,502	30,246	-13,050	1,208	1023,480	34,544	4,174
24290,000	2,024	-0,855	5,345	12,500	0,232	0,364	-0,425	29,877	-13,366	1,553	1023,480	34,544	4,174
24300,000	3,509	-0,091	3,684	12,500	0,150	0,384	-0,223	29,887	-12,734	1,892	1023,480	34,544	4,174
24310,000	4,101	0,902	2,411	12,500	0,402	0,389	0,158	29,523	-12,734	1,912	1023,480	34,544	4,174
24320,000	3,802	1,208	1,368	12,500	0,397	0,251	0,341	29,518	-13,050	1,578	1023,480	34,544	4,174
24330,000	2,985	0,902	0,550	12,500	0,144	-0,001	0,404	29,159	-12,734	1,602	1023,360	34,544	4,174
24340,000	1,946	0,138	0,031	12,500	-0,157	-0,267	0,373	29,518	-13,050	1,578	1023,360	34,544	4,174
24350,000	0,833	-0,702	-0,113	12,500	-0,338	-0,464	0,318	29,149	-13,366	1,594	1023,360	34,544	4,174
24360,000	-0,131	-1,313	0,044	12,500	-0,377	-0,553	0,252	29,513	-13,366	1,574	1023,330	34,537	4,174
24370,000	-0,577	-1,542	0,572	12,500	-0,318	-0,543	0,188	29,154	-13,050	1,268	1023,330	34,537	4,174
24380,000	-0,503	-1,313	1,098	12,500	-0,308	-0,479	0,095	29,513	-13,366	1,244	1023,330	34,537	4,174
24390,000	-0,207	-0,931	1,322	12,500	-0,318	-0,361	0,019	29,154	-13,050	0,938	1023,330	34,537	4,174
24400,000	0,237	-0,396	1,321	12,500	-0,313	-0,183	0,004	29,154	-13,050	0,938	1023,330	34,537	4,174
24410,000	0,681	0,215	1,096	12,500	-0,298	0,039	0,077	29,154	-13,050	0,938	1023,330	34,537	4,174
24420,000	0,977	0,673	0,872	12,500	-0,278	0,261	0,179	28,785	-13,366	0,954	1023,330	34,537	4,174
24430,000	1,125	0,902	0,872	12,500	-0,297	0,507	0,303	28,057	-13,366	0,664	1023,330	34,537	4,174
24440,000	1,274	0,902	0,795	12,500	-0,340	0,611	0,436	28,062	-13,050	0,669	1023,330	34,537	4,174
24450,000	1,275	0,750	0,869	12,500	-0,369	0,665	0,551	27,339	-12,734	1,043	1023,330	34,537	4,174
24460,000	1,201	0,444	1,242	12,500	-0,360	0,700	0,635	27,339	-12,734	0,713	1023,330	34,537	4,174
24470,000	0,979	0,215	1,692	12,500	-0,277	0,705	0,675	26,975	-12,734	0,733	1023,330	34,537	4,174
24480,000	0,533	0,138	1,772	12,500	-0,253	0,680	0,629	26,611	-12,734	0,753	1023,330	34,537	4,174
24490,000	-0,063	0,444	1,407	12,500	-0,277	0,631	0,535	26,247	-12,734	0,444	1023,440	34,537	4,174
24500,000	0,232	1,208	1,484	12,500	-0,399	0,187	0,441	26,606	-13,050	0,089	1023,560	34,537	4,174
24510,000	1,196	1,896	1,779	12,500	-0,580	-0,090	0,386	26,242	-13,050	0,110	1023,560	34,537	4,174
24520,000	2,831	2,430	1,989	12,500	-0,799	-0,425	0,372	26,242	-13,050	-0,550	1023,560	34,537	4,174
24530,000	3,496	3,729	1,991	12,500	-1,276	-1,086	0,357	26,242	-13,050	-0,880	1023,440	34,537	4,174
24540,000	2,223	6,098	0,976	12,500	-1,709	-1,461	0,383	26,242	-13,050	-1,210	1023,330	34,537	4,174
24550,000	0,207	8,390	-2,280	12,500	-1,942	-1,540	0,553	25,878	-13,050	-1,190	1023,330	34,537	4,174
24560,000	-1,589	11,446	-4,333	12,500	-1,781	-1,209	0,822	25,155	-12,734	-1,475	1023,330	34,537	4,174
24570,000	-0,567	16,871	-4,676	12,500	-1,382	-0,642	0,984	24,433	-12,418	-0,441	1023,210	34,537	4,174
24580,000	3,280	22,830	-3,773	12,500	-0,692	-0,331	1,037	24,074	-12,103	-0,087	1023,210	34,537	4,174
24590,000	7,070	23,747	-2,386	12,500	0,785	-0,326	1,095	24,074	-12,103	-0,087	1023,210	34,537	4,174
24600,000	8,339	22,524	1,862	12,500	0,824	-0,178	0,684	24,069	-12,418	-0,091	1023,210	34,537	4,174
24610,000	8,480	24,816	8,027	12,500	0,523	0,123	0,127	24,064	-12,734	0,235	1023,440	34,537	4,174
24620,000	8,389	29,477	14,288	12,500	0,514	0,409	-0,113	24,058	-13,050	-0,100	1023,680	34,537	4,174
24630,000	10,382	33,985	20,298	12,500	0,335	0,542	-0,218	24,053	-13,366	-0,434	1023,680	34,537	4,174
24640,000	12,161	35,589	18,491	12,500	-0,151	0,359	-0,349	24,781	-13,366	-0,474	1023,680	34,537	4,174
24650,000	9,945	31,311	4,989	12,500	-0,784	-0,553	-0,419	25,155	-12,734	-0,815	1023,330	34,537	4,174
24660,000	7,511	25,275	-8,301	12,500	-1,366	-2,353	-0,257	25,155	-12,734	-0,815	1023,090	34,537	4,174
24670,000	9,312	20,691	-14,057	12,500	-1,205	-2,003	-0,059	25,155	-12,734	-0,815	1023,090	34,537	4,174
24680,000	12,968	17,482	-11,277	12,500	-0,659	-0,741	-0,083	25,883	-12,734	-0,526	1023,090	34,537	4,174
24690,000	13,718	15,954	-5,751	12,500	0,150	0,359	-0,461	25,878	-13,050	-0,200	1023,210	34,537	4,174
24700,000	11,111	16,794	-1,515	12,500	1,152	1,208	-0,938	26,242	-13,050	0,769	1023,440	34,537	4,174
24710,000	7,014	18,475	1,845	12,500	2,552	1,893	-1,144	26,611	-12,734	1,413	1023,440	34,537	4,174
24720,000	3,741	18,551	3,533	12,500	3,047	2,135	-1,046	26,975	-12,734	2,053	1023,440	34,537	4,174
24730,000	2,632	16,794	3,532	12,500	3,149	1,854	-0,985	26,975	-12,734	2,713	1023,440	34,537	4,174
24740,000	2,716	13,891	3,058	12,500	2,905	1,425	-1,004	27,703	-12,734	3,332	1023,560	34,537	4,174
24750,000	3,250	10,071	2,421	12,500	2,399	0,956	-1,012	28,067	-12,734	2,982	1023,560	34,537	4,174
24760,000	2,817	6,480	1,797	12,500	1,777	0,517	-0,950	28,067	-12,734	3,312	1023,560	34,537	4,174
24770,000	1,191	3,347	1,940	12,500	1,198	0,201	-0,752	28,431	-12,734	3,292	1023,440	34,537	4,174
24780,000	-0,958	1,055	2,921	12,500	0,615	0,053	-0,607	28,790	-13,050	3,268	1023,440	34,537	4,174
24790,000	-2,888	-0,167	4,808	12,500	0,460	0,004	-0,485	28,795	-12,734	3,272	1023,440	34,537	4,174
24800,000	-3,557	-0,244	7,439	12,500	0,338	-0,104	-0,437	29,523	-12,734	3,232	1023,440	34,537	4,174
24810,000	-2,295	0,444	8,930	12,500	0,115	-0,257	-0,448	29,518	-13,050	2,897	1023,440	34,537	4,174
24820,000	0,380	1,284	8,380	12,500	-0,182	-0,479	-0,433	29,882	-13,050	2,877	1023,440	34,537	4,174
24830,000	2,832	2,125	5,734	12,500	-0,431	-0,923	-0,303	29,882	-13,050	2,877	1023,440	34,537	4,174
24840,000	3,723	2,430	2,728	12,500	-0,358	-1,170	-0,238	30,246	-13,050	2,527	1023,440	34,537	4,174
24850,000	3,651	1,819	-0,050	12,500	-0,305	-1,263	-0,231	30,605	-13,366	2,173	1023,440	34,537	4,174
24860,000	3,579	1,208	-2,828	12,500	-0,252	-1,357	-0,224	30,963	-13,682	1,819	1023,440	34,537	4,174
24870,000	2,619	-0,778	-1,783	12,500	-0,421	-0,938	-0,232	30,968	-13,366	1,823	1023,440	34,537	4,174
24880,000	2,174	-1,160	-1,032	12,500	-0,372	-0,622	-0,181	30,963	-13,682	1,819	1023,440	34,537	4,174
24890,000	1,727	-1,084	0,024	12,500	-0,187	-0,262	-0,075	30,963	-13,682	2,148	1023,440	34,537	4,174
24900,000	1,652	-0,778	0,852	12,500	-0,148	-0,159	-0,014	30,968	-13,366	1,823	1023,330	34,537	4,174
24910,000	2,023	-0,549	1,299	12,500	-0,220	-0,129	0,044	30,968	-13,366	1,823	1023,330	34,537	4,174
24920,000	2,543	-0,320	1,445	12,500	-0,332	-0,109	0,082	30,599	-13,682	1,839	1023,330	34,537	4,174
24930,000	2,988	-0,091	1,217	12,500	-0,502	-0,050	0,146	30,594	-13,997	1,175	1023,330	34,537	4,174
24940,000	3,136	0,215	0,842	12,500	-0,609	0,024	0,212	30,599	-13,682	1,179	1023,330	34,537	4,174
24950,000	2,912	0,368	0,022	12,500	-0,705	0,132	0,292	29,871	-13,682	0,889	1023,330	34,537	4,174
24960,000	2,615	0,368	-0,949	12,500	-0,773	0,280	0,396	29,507	-13,682	0,580	1023,330	34,537	4,174
24970,000	2,542	0,062	-1,626	12,500	-0,773	0,487	0,525	29,507	-13,682	0,580	1023,330	34,537	4,174
24980,000	2,542	-0,091	-2,002	12,500	-0,700	0,724	0,647	28,779	-13,682	0,620	1023,330	34,537	4,174
24990,000	2,467	-0,014	-1,925	12,500	-0,505	1,010	0,773	28,051	-13,682	0,660	1023,330	34,537	4,174
25000,000	2,688	0,597	-1,698	12,500	-0,393	1,045	0,804	27,687	-13,682	0,680	1023,330	34,537	4,174
25010,000	3,427	1,972	-0,196	12,500	-0,340	0,931	0,792	26,970	-13,050	0,399	1023,330	34,537	4,174
25020,000	3,492	4,799	3,799	12,500	-0,340	0,680	0,790	26,959	-13,682	0,061	1023,330	34,537	4,174
25030,000	2,214	8,543	8,118	12,500	-0,433	0,344	0,808	26,237	-13,366	0,105	1023,440	34,537	4,174
25040,000	0,937	12,286	8,238	12,500	-0,715	0,098	0,824	26,237	-13,366	-0,555	1023,440	34,537	4,174
25050,000	-0,047	17,023	7,089	12,500	-1,206	-0,085	0,860	25,509	-13,366	-0,844	1023,440	34,537	4,174
25060,000	-0,367	23,594	9,095	12,500	-1,512	-0,193	0,949	25,145	-13,366	-1,154	1023,440	34,537	4,174
25070,000	0,507	28,866	7,104	12,500	-1,838	-0,543	1,039	24,428	-12,734	-1,105	1023,440	34,537	4,174
25080,000	3,044	26,421	1,731	12,500	-1,913	-1,342	1,196	24,428	-12,734	-1,435	1023,440	34,537	4,174
25090,000	5,967	20,156	-2,252	12,500	-1,851	-2,043	1,278	24,422	-13,050	-1,439	1023,440	34,537	4,174
25100,000	9,254	16,107	-2,399	12,500	-1,734	-2,072	1,011	24,422	-13,050	-1,439	1023,440	34,537	4,174
25110,000	12,003	16,947	1,549	12,500	-1,004	-0,987	0,388	24,417	-13,366	-1,773	1023,440	34,537	4,174
25120,000	13,102	21,684	5,248	12,500	-0,536	-0,223	0,057	24,417	-13,366	-1,444	1023,440	34,537	4,174
25130,000	13,010	26,803	5,666	12,500	-0,176	0,256	-0,135	24,422	-13,050	-1,439	1023,440	34,537	4,174
25140,000	11,811	29,248	1,576	12,500	0,208	0,453	-0,133	24,064	-12,734	-1,415	1023,330	34,537	4,174
25150,000	9,957	27,872	-2,386	12,500	0,461	0,453	-0,013	24,428	-12,734	-1,105	1023,330	34,537	4,174
25160,000	8,105	25,580	-3,433	12,500	0,553	0,557	-0,020	24,792	-12,734	-1,125	1023,330	34,537	4,174
25170,000	6,696	24,358	-2,002	12,500	0,767	0,852	-0,230	25,150	-13,050	-0,820	1023,330	34,537	4,174
25180,000	5,582	23,976	-0,043	12,500	1,360	1,084	-0,678	25,878	-13,050	-0,200	1023,330	34,537	4,174
25190,000	5,286	23,594	1,682	12,500	1,739	0,966	-1,001	26,247	-12,734	0,114	1023,440	34,537	4,174
25200,000	5,513	22,372	3,319	12,500	2,035	0,724	-1,251	26,970	-13,050	1,059	1023,440	34,537	4,174
25210,000	4,999	20,538	3,835	12,500	2,185	0,344	-1,378	27,698	-13,050	1,349	1023,440	34,537	4,174
25220,000	4,636	17,864	3,292	12,500	2,140	-0,144	-1,418	28,062	-13,050	1,988	1023,440	34,537	4,174
25230,000	5,169	14,502	2,434	12,500	1,945	-0,543	-1,403	28,790	-13,050	1,948	1023,560	34,537	4,174
25240,000	5,777	10,606	1,571	12,500	1,541	-0,736	-1,280	29,149	-13,366	2,253	1023,560	34,537	4,174
25250,000	5,494	6,633	0,642	12,500	1,328	-0,588	-1,120	29,513	-13,366	2,893	1023,560	34,537	4,174
25260,000	4,612	3,500	0,252	12,500	1,256	-0,272	-0,919	29,518	-13,050	3,227	1023,440	34,537	4,174
25270,000	2,911	0,902	1,076	12,500	1,266	0,118	-0,707	29,882	-13,050	3,537	1023,440	34,537	4,174
25280,000	0,833	-0,702	3,411	12,500	1,272	0,596	-0,459	29,882	-13,050	3,537	1023,440	34,537	4,174
25290,000	-0,206	-1,160	5,743	12,500	1,190	0,759	-0,355	29,887	-12,734	3,541	1023,440	34,537	4,174
25300,000	0,238	-0,702	7,016	12,500	0,971	0,788	-0,241	29,523	-12,734	3,891	1023,440	34,537	4,174
25310,000	1,872	0,062	7,078	12,500	0,660	0,774	-0,107	29,159	-12,734	3,911	1023,440	34,537	4,174
25320,000	3,804	0,750	6,237	12,500	0,379	0,783	0,057	29,159	-12,734	3,911	1023,440	34,537	4,174
25330,000	4,693	1,590	5,183	12,500	0,267	0,793	0,221	28,431	-12,734	4,282	1023,440	34,537	4,174
