"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
33250,000	-17,735	20,070	-13,822	8,500	1,035	-1,370	1,887	19,040	-37,806	27,261	1025,210	33,650	4,144
33260,000	-21,692	13,129	-12,922	8,500	-0,714	-1,652	1,365	19,040	-37,806	27,261	1025,100	33,650	4,144
33270,000	-9,690	4,587	-7,281	8,500	-1,423	-2,183	-0,276	19,472	-38,192	27,696	1025,100	33,650	4,144
33280,000	2,312	-3,956	-1,641	8,500	-2,133	-2,715	-1,917	19,904	-38,578	28,132	1025,100	33,650	4,144
33290,000	-6,770	5,426	-8,339	8,500	-0,425	-3,135	-0,796	19,912	-38,192	28,980	1025,100	33,650	4,144
33300,000	-1,759	9,926	-10,257	8,500	0,391	-3,320	-1,336	19,912	-38,192	29,402	1025,100	33,650	4,144
33310,000	3,549	15,646	-11,784	8,500	0,795	-3,015	-1,713	19,912	-38,192	28,980	1025,100	33,650	4,144
33320,000	6,462	20,223	-13,236	8,500	0,946	-1,883	-2,086	20,800	-37,806	28,603	1025,210	33,650	4,144
33330,000	6,460	21,138	-13,448	8,500	0,615	-0,756	-2,321	21,679	-37,806	28,221	1025,210	33,650	4,144
33340,000	5,115	19,384	-12,040	8,500	0,386	0,390	-2,504	22,559	-37,806	28,260	1025,210	33,650	4,144
33350,000	3,245	17,858	-10,550	8,500	0,490	1,184	-2,728	23,878	-37,806	28,318	1025,210	33,650	4,144
33360,000	1,598	17,248	-7,773	8,500	0,877	1,563	-2,983	24,758	-37,806	28,779	1025,210	33,650	4,144
33370,000	0,698	17,858	-3,484	8,500	1,814	1,447	-3,147	25,645	-37,421	30,087	1025,210	33,650	4,144
33380,000	-0,280	19,765	0,450	8,500	2,452	0,667	-3,059	26,077	-37,806	30,944	1025,210	33,650	4,144
33390,000	1,289	22,358	2,651	8,500	2,886	-0,553	-2,847	26,509	-38,192	31,801	1025,210	33,650	4,144
