"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
40010,000	3,476	9,230	-0,288	9,000	-0,002	0,004	0,003	24,185	-5,472	20,787	1023,310	30,894	4,161
40020,000	3,402	9,307	-0,286	9,000	-0,002	0,009	0,003	24,185	-5,472	21,116	1023,310	30,894	4,161
40030,000	3,402	9,307	-0,286	9,000	0,003	0,004	0,003	24,180	-5,787	20,782	1023,310	30,894	4,161
40040,000	3,328	9,230	-0,286	9,000	-0,002	-0,006	0,003	24,185	-5,472	21,116	1023,310	30,894	4,161
40050,000	3,328	9,230	-0,361	9,000	-0,002	-0,016	0,003	23,821	-5,472	21,137	1023,310	30,894	4,161
40060,000	3,327	9,307	-0,360	9,000	-0,006	-0,021	-0,001	23,816	-5,787	21,132	1023,310	30,894	4,161
40070,000	3,253	9,307	-0,284	9,000	-0,006	-0,030	-0,001	24,180	-5,787	20,782	1023,310	30,894	4,161
40080,000	3,253	9,307	-0,284	9,000	-0,011	-0,030	-0,001	24,185	-5,472	21,116	1023,310	30,894	4,161
40090,000	3,253	9,307	-0,284	9,000	-0,011	-0,030	0,003	24,180	-5,787	20,782	1023,310	30,894	4,161
40100,000	3,328	9,230	-0,286	9,000	-0,011	-0,016	0,003	24,180	-5,787	20,782	1023,310	30,894	4,161
40110,000	3,328	9,230	-0,286	9,000	-0,016	-0,006	0,008	24,185	-5,472	21,116	1023,420	30,894	4,161
40120,000	3,402	9,230	-0,362	9,000	-0,016	-0,001	0,008	24,185	-5,472	21,116	1023,420	30,894	4,161
40130,000	3,402	9,230	-0,437	9,000	-0,011	0,004	0,008	24,185	-5,472	21,116	1023,420	30,894	4,161
40140,000	3,402	9,230	-0,437	9,000	-0,006	-0,001	0,008	24,185	-5,472	21,116	1023,310	30,894	4,161
40150,000	3,327	9,307	-0,435	9,000	-0,002	-0,006	0,008	24,185	-5,472	21,116	1023,310	30,894	4,161
40160,000	3,327	9,307	-0,435	9,000	0,003	-0,016	0,008	24,185	-5,472	21,116	1023,310	30,894	4,161
40170,000	3,327	9,307	-0,360	9,000	-0,002	-0,021	0,008	24,180	-5,787	21,112	1023,310	30,894	4,161
40180,000	3,327	9,307	-0,360	9,000	-0,002	-0,021	-0,001	24,180	-5,787	21,112	1023,310	30,894	4,161
40190,000	3,327	9,307	-0,285	9,000	-0,006	-0,021	-0,001	24,180	-5,787	21,112	1023,420	30,894	4,161
40200,000	3,328	9,230	-0,286	9,000	-0,006	-0,016	-0,001	24,544	-5,787	21,092	1023,420	30,894	4,161
40210,000	3,328	9,230	-0,286	9,000	-0,006	-0,011	-0,006	24,185	-5,472	21,116	1023,420	30,894	4,161
40220,000	3,328	9,230	-0,286	9,000	-0,002	-0,011	-0,001	23,816	-5,787	21,132	1023,420	30,894	4,161
40230,000	3,328	9,230	-0,286	9,000	-0,006	-0,016	-0,001	24,185	-5,472	21,116	1023,420	30,894	4,161
40240,000	3,402	9,230	-0,287	9,000	-0,006	-0,016	0,003	24,180	-5,787	21,112	1023,420	30,894	4,161
40250,000	3,402	9,230	-0,287	9,000	-0,006	-0,011	0,003	24,185	-5,472	20,787	1023,420	30,894	4,161
40260,000	3,476	9,230	-0,213	9,000	-0,002	-0,006	0,008	23,816	-5,787	21,132	1023,310	30,894	4,161
40270,000	3,476	9,230	-0,213	9,000	-0,002	-0,001	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40280,000	3,476	9,230	-0,288	9,000	-0,006	-0,001	0,008	24,185	-5,472	21,116	1023,310	30,894	4,161
40290,000	3,402	9,230	-0,287	9,000	-0,006	-0,001	0,012	24,185	-5,472	20,787	1023,310	30,894	4,161
40300,000	3,402	9,307	-0,286	9,000	-0,002	-0,001	0,013	24,185	-5,472	20,787	1023,310	30,894	4,161
40310,000	3,402	9,230	-0,287	9,000	-0,002	-0,001	0,013	24,180	-5,787	21,112	1023,420	30,894	4,161
40320,000	3,402	9,230	-0,287	9,000	-0,006	0,004	0,008	24,185	-5,472	21,116	1023,420	30,894	4,161
40330,000	3,402	9,230	-0,287	9,000	-0,006	0,004	0,008	24,185	-5,472	21,116	1023,420	30,894	4,161
40340,000	3,402	9,230	-0,287	9,000	-0,006	-0,001	0,008	23,816	-5,787	21,132	1023,310	30,894	4,161
40350,000	3,327	9,307	-0,285	9,000	-0,006	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40360,000	3,328	9,230	-0,361	9,000	-0,006	-0,011	0,008	24,180	-5,787	21,112	1023,310	30,894	4,161
40370,000	3,327	9,307	-0,285	9,000	-0,006	-0,011	0,008	24,185	-5,472	20,787	1023,310	30,894	4,161
40380,000	3,402	9,230	-0,287	9,000	-0,006	-0,011	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40390,000	3,402	9,230	-0,287	9,000	-0,011	-0,011	0,003	24,185	-5,472	21,116	1023,310	30,894	4,161
40400,000	3,402	9,230	-0,212	9,000	-0,011	-0,006	0,008	24,185	-5,472	20,787	1023,310	30,894	4,161
40410,000	3,402	9,230	-0,212	9,000	-0,011	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40420,000	3,402	9,307	-0,211	9,000	-0,011	-0,011	0,012	24,180	-5,787	20,782	1023,310	30,894	4,161
40430,000	3,402	9,307	-0,211	9,000	-0,006	-0,011	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40440,000	3,476	9,307	-0,212	9,000	-0,011	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40450,000	3,476	9,307	-0,287	9,000	-0,016	-0,001	0,008	24,180	-5,787	21,112	1023,310	30,894	4,161
40460,000	3,402	9,230	-0,287	9,000	-0,016	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40470,000	3,402	9,230	-0,287	9,000	-0,011	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40480,000	3,402	9,230	-0,287	9,000	-0,011	-0,006	0,008	24,180	-5,787	21,112	1023,310	30,894	4,161
40490,000	3,328	9,230	-0,286	9,000	-0,006	-0,001	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40500,000	3,328	9,230	-0,286	9,000	-0,006	-0,006	0,013	24,180	-5,787	20,782	1023,310	30,894	4,161
40510,000	3,328	9,230	-0,286	9,000	-0,006	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40520,000	3,328	9,230	-0,361	9,000	-0,006	-0,011	0,003	24,180	-5,787	20,782	1023,310	30,894	4,161
40530,000	3,253	9,307	-0,359	9,000	-0,006	-0,011	0,003	24,180	-5,787	20,782	1023,310	30,894	4,161
40540,000	3,253	9,307	-0,359	9,000	-0,006	-0,006	0,003	24,180	-5,787	21,112	1023,310	30,894	4,161
40550,000	3,253	9,307	-0,434	9,000	-0,011	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,894	4,161
40560,000	3,327	9,307	-0,435	9,000	-0,011	-0,011	0,003	24,180	-5,787	20,782	1023,310	30,894	4,161
40570,000	3,402	9,307	-0,511	9,000	-0,011	-0,006	-0,006	24,180	-5,787	20,782	1023,310	30,900	4,161
40580,000	3,402	9,230	-0,437	9,000	-0,006	-0,006	-0,006	24,544	-5,787	20,762	1023,310	30,900	4,161
40590,000	3,402	9,230	-0,362	9,000	-0,006	-0,001	-0,006	24,180	-5,787	20,782	1023,310	30,900	4,161
40600,000	3,402	9,230	-0,212	9,000	-0,006	-0,001	-0,002	24,544	-5,787	20,762	1023,310	30,900	4,161
40610,000	3,402	9,230	-0,137	9,000	-0,002	-0,001	-0,006	24,180	-5,787	20,782	1023,310	30,900	4,161
40620,000	3,476	9,230	-0,138	9,000	-0,002	-0,001	-0,006	24,180	-5,787	20,452	1023,310	30,900	4,161
40630,000	3,551	9,230	-0,064	9,000	-0,002	-0,006	-0,001	24,539	-6,103	20,758	1023,310	30,900	4,161
40640,000	3,551	9,230	-0,064	9,000	-0,002	-0,006	0,003	24,180	-5,787	20,452	1023,310	30,900	4,161
40650,000	3,476	9,230	-0,063	9,000	-0,002	-0,006	0,008	24,180	-5,787	20,782	1023,310	30,900	4,161
40660,000	3,476	9,230	-0,063	9,000	-0,002	-0,006	0,003	24,539	-6,103	20,758	1023,310	30,900	4,161
40670,000	3,476	9,230	-0,063	9,000	0,003	-0,001	0,003	24,180	-5,787	20,782	1023,420	30,900	4,161
40680,000	3,402	9,230	-0,137	9,000	0,003	0,004	0,008	24,180	-5,787	20,452	1023,420	30,900	4,161
40690,000	3,402	9,230	-0,137	9,000	0,003	0,004	0,008	24,180	-5,787	20,782	1023,420	30,900	4,161
40700,000	3,476	9,230	-0,138	9,000	0,003	-0,001	0,013	24,175	-6,103	20,448	1023,310	30,900	4,161
40710,000	3,476	9,230	-0,138	9,000	-0,002	-0,001	0,013	24,180	-5,787	20,782	1023,310	30,900	4,161
40720,000	3,476	9,230	-0,138	9,000	-0,006	-0,001	0,012	24,544	-5,787	20,432	1023,310	30,900	4,161
40730,000	3,551	9,230	-0,139	9,000	-0,016	0,004	0,017	24,180	-5,787	20,782	1023,310	30,900	4,161
40740,000	3,551	9,230	-0,139	9,000	-0,021	0,004	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
40750,000	3,476	9,230	-0,213	9,000	-0,021	0,004	0,017	24,180	-5,787	20,782	1023,420	30,900	4,161
40760,000	3,476	9,230	-0,288	9,000	-0,021	0,004	0,017	24,180	-5,787	20,782	1023,420	30,900	4,161
40770,000	3,402	9,230	-0,362	9,000	-0,021	0,004	0,017	24,180	-5,787	20,782	1023,420	30,900	4,161
40780,000	3,402	9,230	-0,362	9,000	-0,021	0,009	0,017	24,180	-5,787	20,782	1023,310	30,900	4,161
40790,000	3,402	9,230	-0,437	9,000	-0,016	0,019	0,017	24,175	-6,103	20,778	1023,310	30,900	4,161
40800,000	3,402	9,230	-0,437	9,000	-0,011	0,024	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
40810,000	3,328	9,230	-0,436	9,000	-0,006	0,024	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
40820,000	3,253	9,230	-0,360	9,000	-0,002	0,024	0,012	24,180	-5,787	20,782	1023,310	30,900	4,161
40830,000	3,253	9,230	-0,360	9,000	-0,002	0,019	0,008	24,180	-5,787	20,782	1023,310	30,900	4,161
40840,000	3,253	9,307	-0,359	9,000	-0,002	0,004	0,003	24,544	-5,787	20,432	1023,310	30,900	4,161
40850,000	3,253	9,307	-0,284	9,000	-0,006	-0,011	-0,001	24,180	-5,787	20,452	1023,310	30,900	4,161
40860,000	3,327	9,307	-0,210	9,000	-0,011	-0,016	-0,002	24,175	-6,103	20,448	1023,310	30,900	4,161
40870,000	3,402	9,230	-0,212	9,000	-0,016	-0,025	-0,002	24,180	-5,787	20,452	1023,310	30,900	4,161
40880,000	3,402	9,230	-0,137	9,000	-0,021	-0,030	-0,002	24,175	-6,103	20,778	1023,310	30,900	4,161
40890,000	3,476	9,230	-0,138	9,000	-0,021	-0,035	-0,002	24,180	-5,787	20,782	1023,310	30,900	4,161
40900,000	3,476	9,230	-0,213	9,000	-0,021	-0,030	0,003	24,175	-6,103	20,448	1023,310	30,900	4,161
40910,000	3,476	9,230	-0,213	9,000	-0,016	-0,025	0,003	24,539	-6,103	20,428	1023,310	30,900	4,161
40920,000	3,551	9,230	-0,214	9,000	-0,011	-0,021	0,003	24,544	-5,787	20,432	1023,310	30,900	4,161
40930,000	3,551	9,230	-0,214	9,000	-0,006	-0,006	0,003	24,180	-5,787	20,452	1023,310	30,900	4,161
40940,000	3,551	9,230	-0,214	9,000	-0,002	0,004	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
40950,000	3,476	9,230	-0,213	9,000	-0,002	0,014	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
40960,000	3,476	9,230	-0,213	9,000	0,003	0,024	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
40970,000	3,476	9,230	-0,213	9,000	0,008	0,024	0,008	24,180	-5,787	20,782	1023,310	30,900	4,161
40980,000	3,402	9,230	-0,212	9,000	0,008	0,024	0,013	24,175	-6,103	20,448	1023,310	30,900	4,161
40990,000	3,402	9,230	-0,287	9,000	0,008	0,024	0,013	24,180	-5,787	20,452	1023,310	30,900	4,161
41000,000	3,327	9,307	-0,285	9,000	0,003	0,014	0,013	24,544	-5,787	20,432	1023,310	30,900	4,161
41010,000	3,253	9,307	-0,209	9,000	-0,002	0,009	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
41020,000	3,253	9,307	-0,209	9,000	-0,006	-0,001	0,008	24,175	-6,103	20,778	1023,310	30,900	4,161
41030,000	3,328	9,230	-0,136	9,000	-0,016	-0,001	0,008	24,175	-6,103	20,778	1023,310	30,900	4,161
41040,000	3,328	9,230	-0,136	9,000	-0,016	-0,001	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
41050,000	3,402	9,230	-0,212	9,000	-0,016	-0,001	0,012	24,180	-5,787	20,782	1023,310	30,900	4,161
41060,000	3,402	9,230	-0,212	9,000	-0,016	0,004	0,012	24,180	-5,787	20,782	1023,310	30,900	4,161
41070,000	3,402	9,230	-0,212	9,000	-0,011	0,009	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
41080,000	3,402	9,230	-0,212	9,000	-0,006	0,009	0,012	23,816	-5,787	20,472	1023,310	30,900	4,161
41090,000	3,402	9,230	-0,212	9,000	-0,006	0,009	0,012	24,180	-5,787	20,452	1023,310	30,900	4,161
41100,000	3,402	9,230	-0,212	9,000	-0,002	0,009	0,013	24,180	-5,787	20,452	1023,310	30,900	4,161
41110,000	3,402	9,230	-0,212	9,000	-0,002	0,014	0,013	24,180	-5,787	20,452	1023,420	30,900	4,161
41120,000	3,328	9,230	-0,211	9,000	-0,006	0,009	0,008	24,175	-6,103	20,448	1023,420	30,900	4,161
41130,000	3,402	9,230	-0,212	9,000	-0,006	0,004	0,008	24,180	-5,787	20,452	1023,420	30,900	4,161
41140,000	3,328	9,230	-0,136	9,000	-0,006	-0,001	0,012	23,811	-6,103	20,468	1023,310	30,900	4,161
41150,000	3,328	9,230	-0,136	9,000	-0,011	-0,011	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
41160,000	3,402	9,230	-0,137	9,000	-0,011	-0,011	0,008	24,180	-5,787	20,452	1023,310	30,900	4,161
41170,000	3,402	9,230	-0,212	9,000	-0,011	-0,006	0,012	23,816	-5,787	20,802	1023,310	30,900	4,161
41180,000	3,476	9,230	-0,138	9,000	-0,011	-0,011	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
41190,000	3,476	9,230	-0,138	9,000	-0,021	-0,016	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
41200,000	3,402	9,230	-0,137	9,000	-0,016	-0,016	0,017	24,180	-5,787	20,452	1023,310	30,900	4,161
