"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
770890,000	3,954	-0,676	1,845	-3,500	0,162	0,893	-0,559	-20,571	-39,349	1,883	1024,750	21,250	4,130
770900,000	2,453	0,925	1,654	-3,500	0,262	0,547	-0,319	-20,140	-39,735	2,319	1024,750	21,250	4,130
770910,000	1,552	1,688	0,997	-3,500	0,250	0,011	-0,147	-20,563	-38,964	2,310	1024,750	21,250	4,130
770920,000	1,027	2,146	0,257	-3,500	0,152	-0,525	-0,035	-20,579	-39,735	2,299	1024,750	21,250	4,130
770930,000	1,026	2,527	-0,187	-3,500	-0,012	-0,913	0,071	-20,555	-38,578	2,315	1024,750	21,250	4,130
770940,000	1,476	2,603	-0,189	-3,500	-0,210	-1,126	0,159	-20,571	-39,349	2,305	1024,750	21,250	4,130
770950,000	1,776	2,222	0,328	-3,500	-0,487	-1,112	0,218	-20,555	-38,578	2,315	1024,750	21,250	4,130
770960,000	1,777	1,764	0,921	-3,500	-0,579	-0,881	0,228	-20,563	-38,964	2,310	1024,750	21,250	4,130
770970,000	2,152	1,307	1,137	-3,500	-0,585	-0,548	0,256	-20,995	-38,578	1,874	1024,750	21,250	4,130
770980,000	2,303	0,925	0,980	-3,500	-0,525	-0,202	0,322	-20,995	-38,578	1,874	1024,750	21,250	4,130
770990,000	2,004	0,620	0,528	-3,500	-0,277	0,140	0,423	-20,987	-38,192	1,879	1024,750	21,250	4,130
771000,000	1,555	0,239	0,001	-3,500	-0,120	0,242	0,438	-21,435	-38,578	1,855	1024,750	21,250	4,130
771010,000	0,957	-0,295	-0,678	-3,500	-0,044	0,232	0,391	-21,419	-37,806	1,865	1024,750	21,250	4,130
771020,000	-0,092	-0,142	-1,943	-3,500	0,000	0,117	0,312	-21,435	-38,578	1,855	1024,750	21,250	4,130
771030,000	-0,918	0,849	-2,823	-3,500	0,035	0,015	0,227	-21,859	-37,806	1,846	1024,750	21,250	4,130
771040,000	-0,322	2,451	-2,503	-3,500	0,013	0,020	0,157	-21,427	-38,192	1,438	1024,750	21,250	4,130
771050,000	5,061	8,248	-0,581	-3,500	-0,231	0,311	0,193	-21,419	-37,806	1,865	1024,750	21,250	4,130
771060,000	9,091	16,180	-4,391	-3,500	-0,306	0,450	0,235	-21,411	-37,421	1,027	1024,750	21,250	4,130
771070,000	11,693	26,935	-10,475	-3,500	-0,021	0,260	0,148	-21,419	-37,806	1,444	1024,750	21,250	4,130
771080,000	8,919	28,079	-12,238	-3,500	0,187	0,071	0,205	-21,843	-37,035	1,435	1024,750	21,250	4,130
771090,000	4,362	21,367	-11,556	-3,500	0,286	0,168	0,529	-22,282	-37,035	1,836	1024,750	21,250	4,130
771100,000	2,128	13,968	-9,699	-3,500	0,203	0,357	0,698	-22,706	-36,263	1,827	1024,750	21,250	4,130
771110,000	2,435	10,078	-7,284	-3,500	0,274	0,362	0,679	-22,706	-36,263	1,827	1024,750	21,250	4,130
771120,000	3,785	9,316	-5,055	-3,500	0,448	0,269	0,722	-23,130	-35,492	2,240	1024,750	21,250	4,130
771130,000	7,973	13,206	-1,953	-3,500	0,506	0,325	0,821	-22,690	-35,492	1,416	1024,750	21,250	4,130
771140,000	13,871	24,036	0,340	-3,500	0,416	0,741	0,774	-22,682	-35,106	1,000	1024,750	21,250	4,130
771150,000	10,044	27,392	1,015	-3,500	0,020	1,073	0,519	-23,122	-35,106	0,559	1024,750	21,250	4,130
771160,000	-1,331	20,909	0,249	-3,500	-0,156	1,341	0,411	-23,993	-34,720	0,947	1024,750	21,250	4,130
771170,000	-8,511	14,731	-3,242	-3,500	0,308	1,364	0,535	-23,562	-35,106	0,961	1024,750	21,250	4,130
771180,000	-8,429	11,222	-5,843	-3,500	0,718	1,166	0,378	-23,562	-35,106	1,383	1024,750	21,250	4,130
