"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
37360,000	1,770	8,008	-2,677	-1,000	-0,006	-0,016	-0,482	28,584	-25,365	-19,992	1024,140	19,881	4,170
37370,000	1,022	9,230	-2,733	-1,000	0,136	0,645	-0,780	28,948	-25,365	-19,683	1024,140	19,881	4,170
37380,000	-0,248	10,606	-3,231	-1,000	0,316	0,833	-0,897	29,306	-25,681	-19,707	1024,140	19,881	4,170
37390,000	-1,739	11,752	-3,804	-1,000	0,500	0,848	-0,971	29,665	-25,997	-19,402	1024,030	19,881	4,170
37400,000	-2,857	12,286	-3,787	-1,000	0,675	0,798	-1,006	30,398	-25,681	-18,778	1024,030	19,881	4,170
37410,000	-3,154	12,286	-3,409	-1,000	0,830	0,690	-1,019	30,752	-26,312	-18,477	1024,030	19,881	4,170
37420,000	-3,080	12,363	-2,884	-1,000	0,985	0,527	-1,022	31,121	-25,997	-17,833	1024,030	19,881	4,170
37430,000	-3,082	12,745	-2,281	-1,000	1,208	0,246	-1,055	31,474	-26,628	-17,532	1024,030	19,881	4,170
37440,000	-3,232	13,356	-1,750	-1,000	1,324	0,073	-1,073	32,202	-26,628	-16,912	1024,030	19,881	4,170
37450,000	-3,086	14,120	-1,370	-1,000	1,416	-0,035	-1,079	32,197	-26,944	-16,257	1024,030	19,881	4,170
37460,000	-2,420	14,884	-1,072	-1,000	1,504	-0,050	-1,109	33,284	-27,260	-15,332	1024,030	19,881	4,170
37470,000	-1,752	15,419	-0,626	-1,000	1,596	-0,021	-1,166	33,278	-27,575	-14,676	1024,030	19,881	4,170
37480,000	-0,788	16,259	-0,255	-1,000	1,708	-0,006	-1,275	34,375	-27,260	-14,072	1024,030	19,881	4,170
37490,000	0,771	17,253	-0,041	-1,000	1,883	0,024	-1,363	34,734	-27,575	-13,107	1024,030	19,881	4,170
37500,000	2,778	17,405	0,012	-1,000	1,951	0,024	-1,444	35,462	-27,575	-12,488	1024,030	19,881	4,170
37510,000	4,714	17,023	0,361	-1,000	1,965	0,049	-1,509	36,185	-27,891	-11,543	1023,910	19,881	4,170
37520,000	6,724	16,489	0,858	-1,000	1,956	0,147	-1,543	36,913	-27,891	-10,923	1023,910	19,881	4,170
37530,000	7,916	15,954	0,764	-1,000	1,971	0,433	-1,610	37,641	-27,891	-9,974	1023,910	19,881	4,170
37540,000	8,215	15,419	0,457	-1,000	2,035	0,645	-1,698	38,369	-27,891	-9,354	1023,910	19,881	4,170
37550,000	7,846	14,578	0,004	-1,000	2,054	0,818	-1,736	38,727	-28,207	-8,389	1023,910	19,881	4,170
37560,000	6,809	13,509	-0,217	-1,000	1,982	0,862	-1,683	39,460	-27,891	-7,765	1024,030	19,881	4,170
37570,000	5,547	12,592	0,015	-1,000	1,879	0,749	-1,559	39,455	-28,207	-7,110	1024,030	19,881	4,170
37580,000	4,658	11,752	0,694	-1,000	1,782	0,522	-1,384	40,188	-27,891	-6,486	1024,030	19,881	4,170
37590,000	4,661	10,835	1,736	-1,000	1,596	-0,045	-1,064	40,547	-28,207	-5,850	1024,030	19,881	4,170
37600,000	5,482	10,071	2,994	-1,000	1,450	-0,519	-0,832	40,552	-27,891	-5,516	1024,140	19,881	4,170
37610,000	6,377	9,230	4,176	-1,000	1,274	-1,012	-0,605	40,552	-27,891	-5,516	1024,140	19,881	4,170
37620,000	6,605	8,008	4,763	-1,000	1,069	-1,456	-0,399	40,552	-27,891	-5,516	1024,140	19,881	4,170
37630,000	6,238	6,403	4,605	-1,000	0,830	-1,791	-0,213	40,188	-27,891	-5,496	1024,140	19,881	4,170
37640,000	5,947	4,799	4,220	-1,000	0,529	-1,988	-0,035	40,188	-27,891	-5,496	1024,260	19,881	4,170
37650,000	6,025	3,500	4,659	-1,000	0,087	-2,033	0,249	39,819	-28,207	-5,810	1024,260	19,881	4,170
37660,000	6,251	2,889	5,551	-1,000	-0,097	-1,919	0,443	39,455	-28,207	-6,120	1024,260	19,881	4,170
37670,000	6,477	2,125	5,692	-1,000	-0,204	-1,702	0,601	39,091	-28,207	-6,100	1024,260	19,881	4,170
37680,000	6,926	1,284	4,555	-1,000	-0,198	-1,209	0,738	38,727	-28,207	-6,080	1024,260	19,881	4,170
37690,000	7,373	1,055	3,049	-1,000	-0,129	-0,859	0,817	38,358	-28,523	-6,064	1024,260	19,881	4,170
37700,000	7,074	1,590	2,307	-1,000	-0,100	-0,529	0,937	37,635	-28,207	-6,349	1024,260	19,881	4,170
37710,000	5,133	3,424	1,445	-1,000	-0,162	-0,218	1,105	36,897	-28,839	-6,647	1024,140	19,881	4,170
37720,000	2,069	7,549	1,439	-1,000	-0,312	0,058	1,355	36,174	-28,523	-6,933	1024,140	19,881	4,170
37730,000	-0,632	14,120	1,749	-1,000	-0,589	0,330	1,707	34,718	-28,523	-7,842	1024,140	19,881	4,170
37740,000	-2,145	21,302	-0,498	-1,000	-1,049	0,626	2,367	33,990	-28,523	-9,121	1024,140	19,881	4,170
37750,000	-2,298	22,754	-4,233	-1,000	-1,632	0,818	2,565	32,898	-28,523	-9,721	1024,140	19,881	4,170
37760,000	0,471	17,711	-6,256	-1,000	-2,433	0,857	2,814	32,176	-28,207	-10,666	1024,140	19,881	4,170
37770,000	4,801	13,356	-5,967	-1,000	-2,589	0,788	2,520	31,453	-27,891	-11,611	1024,140	19,881	4,170
37780,000	8,522	12,668	-4,667	-1,000	-2,370	0,719	2,108	31,089	-27,891	-12,250	1024,140	19,881	4,170
37790,000	10,599	14,349	-4,003	-1,000	-2,045	0,680	1,825	30,366	-27,575	-12,866	1024,260	19,881	4,170
37800,000	10,739	16,871	-4,659	-1,000	-1,826	0,774	1,669	29,644	-27,260	-13,811	1024,380	19,881	4,170
37810,000	9,020	19,239	-5,594	-1,000	-1,743	1,143	1,599	29,644	-27,260	-14,471	1024,380	19,881	4,170
