"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
2500,000	-1,463	9,749	1,418	7,000	0,000	0,289	-0,063	27,833	-31,662	-3,355	1010,310	32,463	4,139
2510,000	-1,388	9,749	1,417	7,000	-0,009	0,304	-0,058	27,833	-31,662	-3,355	1010,310	32,463	4,139
2520,000	-1,388	9,749	1,417	7,000	-0,014	0,313	-0,039	28,211	-31,662	-3,367	1010,190	32,463	4,139
2530,000	-1,388	9,825	1,418	7,000	-0,014	0,313	-0,024	28,211	-31,662	-3,367	1010,190	32,463	4,139
2540,000	-1,313	9,901	1,343	7,000	-0,014	0,318	-0,015	27,833	-31,662	-3,026	1010,190	32,463	4,139
2550,000	-1,238	9,976	1,269	7,000	-0,005	0,332	-0,005	27,833	-31,662	-3,355	1010,190	32,463	4,139
2560,000	-1,163	9,976	1,268	7,000	0,009	0,342	0,004	27,820	-31,327	-3,024	1010,190	32,463	4,139
2570,000	-1,088	9,976	1,341	7,000	0,014	0,351	0,009	28,199	-31,327	-3,036	1010,190	32,463	4,139
2580,000	-1,013	9,901	1,340	7,000	0,019	0,356	0,018	27,833	-31,662	-3,026	1010,190	32,463	4,139
2590,000	-1,088	9,825	1,340	7,000	0,019	0,351	0,018	27,820	-31,327	-2,695	1010,190	32,463	4,139
2600,000	-1,238	9,825	1,267	7,000	0,014	0,342	0,023	28,223	-31,998	-2,710	1010,190	32,463	4,139
2610,000	-1,238	9,825	1,267	7,000	0,014	0,332	0,028	27,833	-31,662	-3,026	1010,310	32,463	4,139
2620,000	-1,163	9,749	1,265	7,000	0,019	0,327	0,032	27,845	-31,998	-2,699	1010,310	32,463	4,139
2630,000	-1,088	9,749	1,264	7,000	0,024	0,323	0,027	28,211	-31,662	-2,709	1010,310	32,463	4,139
2640,000	-1,013	9,825	1,264	7,000	0,024	0,318	0,027	28,211	-31,662	-2,379	1010,190	32,463	4,139
2650,000	-1,013	9,825	1,339	7,000	0,024	0,304	0,032	27,833	-31,662	-2,368	1010,190	32,463	4,139
2660,000	-1,013	9,825	1,339	7,000	0,028	0,265	0,045	28,223	-31,998	-2,381	1010,190	32,463	4,139
2670,000	-1,088	9,901	1,266	7,000	0,033	0,237	0,045	27,833	-31,662	-2,368	1010,190	32,463	4,139
2680,000	-1,163	9,901	1,193	7,000	0,038	0,218	0,054	28,211	-31,662	-2,050	1010,190	32,463	4,139
2690,000	-1,163	9,901	1,193	7,000	0,038	0,203	0,053	28,211	-31,662	-2,379	1010,190	32,463	4,139
2700,000	-1,238	9,901	1,194	7,000	0,038	0,189	0,058	27,833	-31,662	-2,368	1010,190	32,463	4,139
2710,000	-1,313	9,825	1,194	7,000	0,033	0,189	0,068	27,833	-31,662	-2,368	1010,240	32,481	4,139
2720,000	-1,388	9,825	1,120	7,000	0,033	0,194	0,077	27,833	-31,662	-2,368	1010,240	32,481	4,139
2730,000	-1,463	9,825	1,121	7,000	0,028	0,198	0,087	27,833	-31,662	-2,368	1010,240	32,481	4,139
2740,000	-1,388	9,825	1,046	7,000	0,028	0,208	0,082	27,833	-31,662	-2,368	1010,240	32,481	4,139
2750,000	-1,313	9,825	0,970	7,000	0,033	0,227	0,083	27,845	-31,998	-2,040	1010,240	32,481	4,139
2760,000	-1,238	9,749	1,043	7,000	0,033	0,246	0,083	27,845	-31,998	-1,711	1010,240	32,481	4,139
2770,000	-1,088	9,749	1,041	7,000	0,038	0,256	0,083	27,845	-31,998	-2,040	1010,240	32,481	4,139
2780,000	-1,088	9,749	1,116	7,000	0,042	0,256	0,078	27,845	-31,998	-1,711	1010,240	32,481	4,139
2790,000	-1,163	9,825	1,117	7,000	0,047	0,251	0,078	27,845	-31,998	-1,711	1010,240	32,481	4,139
2800,000	-1,163	9,825	1,117	7,000	0,052	0,232	0,082	27,845	-31,998	-2,040	1010,240	32,481	4,139
2810,000	-1,238	9,901	1,119	7,000	0,052	0,218	0,082	27,845	-31,998	-1,711	1010,240	32,481	4,139
2820,000	-1,238	9,901	1,045	7,000	0,057	0,213	0,082	27,845	-31,998	-1,711	1010,240	32,481	4,139
2830,000	-1,238	9,825	0,970	7,000	0,061	0,208	0,081	27,833	-31,662	-1,709	1010,240	32,481	4,139
2840,000	-1,163	9,825	0,969	7,000	0,061	0,203	0,076	27,466	-31,998	-1,699	1010,240	32,481	4,139
2850,000	-1,088	9,825	1,042	7,000	0,066	0,194	0,076	27,454	-31,662	-1,698	1010,240	32,481	4,139
2860,000	-1,088	9,825	1,042	7,000	0,076	0,174	0,075	27,466	-31,998	-1,699	1010,240	32,481	4,139
2870,000	-1,013	9,825	1,041	7,000	0,085	0,151	0,075	27,454	-31,662	-1,698	1010,240	32,481	4,139
2880,000	-1,088	9,825	1,042	7,000	0,090	0,131	0,069	27,466	-31,998	-1,370	1010,240	32,481	4,139
2890,000	-1,163	9,825	0,969	7,000	0,099	0,112	0,069	27,479	-32,333	-1,372	1010,240	32,481	4,139
2900,000	-1,238	9,825	0,970	7,000	0,113	0,093	0,068	27,466	-31,998	-1,041	1010,240	32,481	4,139
2910,000	-1,313	9,825	0,970	7,000	0,123	0,084	0,072	27,466	-31,998	-1,041	1010,240	32,481	4,139
2920,000	-1,388	9,749	0,896	7,000	0,127	0,079	0,072	27,479	-32,333	-1,043	1010,240	32,481	4,139
2930,000	-1,388	9,825	0,897	7,000	0,132	0,088	0,067	27,466	-31,998	-1,041	1010,240	32,481	4,139
2940,000	-1,463	9,825	1,047	7,000	0,132	0,112	0,063	27,088	-31,998	-1,029	1010,240	32,481	4,139
2950,000	-1,463	9,825	1,047	7,000	0,137	0,141	0,063	27,088	-31,998	-1,029	1010,240	32,481	4,139
2960,000	-1,463	9,749	1,046	7,000	0,137	0,174	0,059	27,088	-31,998	-1,029	1010,240	32,481	4,139
2970,000	-1,463	9,749	0,971	7,000	0,137	0,208	0,055	27,100	-32,333	-0,702	1010,240	32,481	4,139
2980,000	-1,463	9,749	0,971	7,000	0,132	0,232	0,051	27,479	-32,333	-0,714	1010,240	32,481	4,139
2990,000	-1,388	9,825	1,046	7,000	0,137	0,251	0,051	27,088	-31,998	-0,700	1010,240	32,481	4,139
3000,000	-1,388	9,901	1,047	7,000	0,141	0,265	0,051	27,088	-31,998	-0,371	1010,240	32,481	4,139
3010,000	-1,313	9,901	1,046	7,000	0,151	0,280	0,056	27,088	-31,998	-0,371	1010,240	32,481	4,139
3020,000	-1,238	9,976	1,120	7,000	0,160	0,289	0,060	27,100	-32,333	-0,373	1010,240	32,481	4,139
