"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
35010,000	-15,850	5,639	-6,762	11,500	-1,865	-1,786	-0,669	21,210	-9,261	-28,917	1024,710	33,500	4,179
35020,000	-15,524	-2,536	-7,582	11,500	-2,297	-4,100	-0,317	17,939	-8,945	-26,752	1024,710	33,500	4,179
35030,000	-14,163	-8,877	-9,974	11,500	-2,014	-6,363	0,352	15,756	-8,945	-24,982	1024,710	33,500	4,179
35040,000	-9,840	-11,322	-10,944	11,500	-0,963	-7,932	0,621	15,392	-8,945	-23,312	1024,590	33,500	4,179
35050,000	-1,738	-9,794	-8,403	11,500	0,241	-7,878	-0,389	16,104	-9,892	-23,695	1024,590	33,500	4,179
35060,000	8,290	-5,897	-3,316	11,500	1,132	-3,991	-1,368	18,272	-10,840	-24,489	1024,590	33,500	4,179
35070,000	14,746	-1,466	1,292	11,500	1,236	-0,435	-2,103	20,445	-11,471	-25,278	1024,590	33,500	4,179
35080,000	17,107	4,035	3,558	11,500	1,256	2,391	-2,524	22,977	-12,418	-26,421	1024,590	33,500	4,179
35090,000	17,316	7,855	5,686	11,500	1,260	4,295	-2,566	24,786	-13,050	-26,861	1024,710	33,500	4,179
35100,000	16,122	9,077	8,634	11,500	1,086	5,129	-2,274	26,237	-13,366	-27,275	1024,710	33,500	4,179
35110,000	13,436	11,293	10,782	11,500	0,919	3,935	-2,038	26,959	-13,682	-27,650	1024,710	33,500	4,179
35120,000	8,523	12,592	10,401	11,500	0,464	2,258	-1,747	26,242	-13,050	-27,931	1024,830	33,500	4,179
35130,000	4,140	10,758	5,864	11,500	-0,442	0,532	-1,274	25,878	-13,050	-27,581	1024,950	33,500	4,179
35140,000	1,269	2,354	-9,614	11,500	-0,793	-2,526	-0,163	23,700	-12,734	-26,466	1024,950	33,500	4,179
35150,000	-2,146	0,597	-9,738	11,500	-0,727	-3,404	0,153	23,705	-12,418	-26,792	1024,950	33,500	4,179
35160,000	-4,610	3,195	-4,590	11,500	-0,843	-3,513	-0,078	24,433	-12,418	-28,151	1024,710	33,500	4,179
35170,000	2,881	9,383	5,868	11,500	-1,436	-0,997	-0,684	25,535	-11,787	-29,523	1024,590	33,500	4,179
35180,000	14,463	15,495	15,527	11,500	-2,097	1,558	-0,939	24,449	-11,471	-29,128	1024,590	33,500	4,179
35190,000	12,750	16,183	-1,390	11,500	-2,456	1,804	-1,027	24,090	-11,155	-28,774	1024,590	33,500	4,179
