"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
39800,000	-1,384	9,621	-2,541	6,500	0,004	-0,040	-0,003	45,292	-23,148	56,847	1023,940	31,838	4,148
39810,000	-1,309	9,621	-2,466	6,500	0,004	-0,031	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
39820,000	-1,309	9,697	-2,465	6,500	0,008	-0,012	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
39830,000	-1,309	9,697	-2,465	6,500	0,004	-0,008	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
39840,000	-1,234	9,621	-2,467	6,500	0,004	-0,008	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
39850,000	-1,309	9,621	-2,466	6,500	0,004	-0,012	0,007	45,292	-23,148	56,847	1023,940	31,838	4,148
39860,000	-1,309	9,621	-2,466	6,500	0,004	-0,017	0,007	45,739	-22,762	56,872	1023,940	31,838	4,148
39870,000	-1,384	9,697	-2,465	6,500	0,008	-0,022	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
39880,000	-1,384	9,697	-2,465	6,500	0,008	-0,031	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
39890,000	-1,309	9,621	-2,466	6,500	0,008	-0,035	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
39900,000	-1,309	9,621	-2,466	6,500	0,004	-0,035	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
39910,000	-1,384	9,621	-2,466	6,500	0,004	-0,035	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
39920,000	-1,384	9,621	-2,466	6,500	0,008	-0,040	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
39930,000	-1,384	9,621	-2,541	6,500	0,008	-0,040	0,007	45,308	-22,377	56,858	1023,940	31,838	4,148
39940,000	-1,384	9,621	-2,541	6,500	0,008	-0,040	0,002	45,300	-22,762	56,431	1023,940	31,838	4,148
39950,000	-1,384	9,621	-2,541	6,500	0,004	-0,040	0,002	45,739	-22,762	56,872	1023,940	31,838	4,148
39960,000	-1,384	9,621	-2,541	6,500	0,004	-0,035	0,007	45,739	-22,762	56,451	1023,940	31,838	4,148
39970,000	-1,384	9,621	-2,541	6,500	0,004	-0,026	0,002	45,739	-22,762	56,872	1023,940	31,838	4,148
39980,000	-1,384	9,621	-2,541	6,500	0,004	-0,017	0,007	45,739	-22,762	56,451	1023,940	31,838	4,148
39990,000	-1,384	9,621	-2,541	6,500	0,004	-0,012	0,002	45,739	-22,762	56,872	1023,940	31,838	4,148
40000,000	-1,309	9,697	-2,540	6,500	0,004	0,002	-0,003	45,300	-22,762	56,852	1023,940	31,838	4,148
40010,000	-1,384	9,697	-2,465	6,500	0,004	0,006	0,002	45,300	-22,762	56,431	1023,940	31,838	4,148
40020,000	-1,384	9,697	-2,465	6,500	0,004	0,002	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40030,000	-1,384	9,697	-2,465	6,500	0,004	-0,003	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40040,000	-1,384	9,697	-2,465	6,500	0,004	-0,003	0,002	45,739	-22,762	56,872	1023,940	31,838	4,148
40050,000	-1,384	9,697	-2,465	6,500	0,004	-0,008	0,002	45,300	-22,762	56,431	1023,940	31,838	4,148
40060,000	-1,384	9,697	-2,465	6,500	0,004	-0,012	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40070,000	-1,384	9,697	-2,465	6,500	-0,001	-0,017	0,011	45,739	-22,762	56,872	1023,940	31,838	4,148
40080,000	-1,384	9,621	-2,466	6,500	-0,001	-0,017	0,007	45,747	-22,377	56,456	1023,940	31,838	4,148
40090,000	-1,384	9,621	-2,541	6,500	0,004	-0,012	0,002	45,292	-23,148	56,847	1023,940	31,838	4,148
40100,000	-1,384	9,621	-2,541	6,500	-0,001	-0,012	0,002	45,731	-23,148	56,867	1023,940	31,838	4,148
40110,000	-1,384	9,621	-2,541	6,500	-0,001	-0,008	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40120,000	-1,384	9,621	-2,541	6,500	-0,001	-0,008	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40130,000	-1,384	9,697	-2,540	6,500	-0,001	-0,003	0,016	45,300	-22,762	56,852	1023,940	31,838	4,148
40140,000	-1,384	9,697	-2,540	6,500	-0,001	0,002	0,011	45,300	-22,762	56,852	1023,940	31,838	4,148
40150,000	-1,309	9,697	-2,540	6,500	-0,005	0,002	0,007	45,300	-22,762	56,431	1023,940	31,838	4,148
40160,000	-1,309	9,621	-2,541	6,500	-0,001	0,002	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40170,000	-1,384	9,621	-2,466	6,500	-0,005	0,006	0,007	45,292	-23,148	56,426	1023,940	31,838	4,148
40180,000	-1,309	9,621	-2,466	6,500	-0,005	0,011	0,007	45,300	-22,762	56,431	1023,940	31,838	4,148
40190,000	-1,309	9,697	-2,465	6,500	-0,005	0,006	0,007	45,300	-22,762	56,431	1023,940	31,838	4,148
40200,000	-1,309	9,697	-2,465	6,500	-0,005	0,002	0,011	45,300	-22,762	56,852	1023,940	31,838	4,148
40210,000	-1,384	9,697	-2,465	6,500	-0,001	0,002	0,011	44,860	-22,762	56,833	1023,940	31,838	4,148
40220,000	-1,384	9,697	-2,465	6,500	-0,001	-0,003	0,011	45,300	-22,762	56,852	1023,940	31,838	4,148
40230,000	-1,309	9,697	-2,465	6,500	-0,001	-0,008	0,011	45,300	-22,762	56,852	1023,940	31,838	4,148
40240,000	-1,309	9,697	-2,465	6,500	-0,001	-0,012	0,011	45,300	-22,762	56,431	1023,940	31,838	4,148
40250,000	-1,309	9,621	-2,466	6,500	-0,001	-0,012	0,007	45,292	-23,148	56,426	1023,940	31,838	4,148
40260,000	-1,309	9,621	-2,466	6,500	-0,005	-0,017	0,011	45,300	-22,762	56,852	1023,940	31,838	4,148
40270,000	-1,234	9,621	-2,467	6,500	-0,010	-0,012	0,016	45,308	-22,377	56,436	1023,940	31,838	4,148
40280,000	-1,234	9,621	-2,467	6,500	-0,014	-0,008	0,016	45,300	-22,762	56,431	1023,940	31,838	4,148
40290,000	-1,309	9,621	-2,466	6,500	-0,010	-0,003	0,016	45,300	-22,762	56,431	1023,940	31,838	4,148
40300,000	-1,309	9,621	-2,466	6,500	-0,010	-0,008	0,016	45,292	-23,148	56,847	1023,940	31,838	4,148
40310,000	-1,309	9,621	-2,466	6,500	-0,005	-0,008	0,011	45,300	-22,762	57,274	1023,940	31,838	4,148
40320,000	-1,384	9,621	-2,541	6,500	-0,005	-0,008	0,007	45,300	-22,762	56,431	1023,940	31,838	4,148
40330,000	-1,384	9,697	-2,465	6,500	-0,001	-0,003	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40340,000	-1,384	9,697	-2,465	6,500	-0,001	0,006	0,002	45,300	-22,762	56,431	1023,940	31,838	4,148
40350,000	-1,384	9,697	-2,465	6,500	0,004	0,011	-0,003	45,300	-22,762	56,852	1023,940	31,838	4,148
40360,000	-1,384	9,697	-2,465	6,500	0,004	0,002	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40370,000	-1,384	9,697	-2,465	6,500	-0,001	0,002	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40380,000	-1,309	9,621	-2,466	6,500	-0,001	0,006	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40390,000	-1,309	9,697	-2,465	6,500	-0,005	0,011	0,007	45,300	-22,762	56,431	1023,940	31,838	4,148
40400,000	-1,309	9,697	-2,465	6,500	-0,001	0,002	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40410,000	-1,309	9,697	-2,465	6,500	-0,001	-0,008	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40420,000	-1,309	9,621	-2,466	6,500	0,004	-0,012	0,007	45,292	-23,148	56,426	1023,940	31,838	4,148
40430,000	-1,309	9,697	-2,465	6,500	0,004	-0,017	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40440,000	-1,309	9,621	-2,466	6,500	0,004	-0,017	0,011	45,747	-22,377	56,456	1023,940	31,838	4,148
40450,000	-1,234	9,621	-2,467	6,500	-0,005	-0,012	0,011	45,300	-22,762	56,431	1023,940	31,838	4,148
40460,000	-1,234	9,621	-2,467	6,500	-0,010	-0,003	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40470,000	-1,235	9,697	-2,466	6,500	-0,014	0,002	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40480,000	-1,235	9,697	-2,541	6,500	-0,014	0,011	0,002	45,739	-22,762	56,451	1023,940	31,838	4,148
40490,000	-1,235	9,697	-2,541	6,500	-0,014	0,015	-0,003	45,292	-23,148	56,847	1023,940	31,838	4,148
40500,000	-1,309	9,697	-2,540	6,500	-0,014	0,025	0,002	45,300	-22,762	56,431	1023,940	31,838	4,148
40510,000	-1,309	9,697	-2,465	6,500	-0,014	0,034	0,007	45,292	-23,148	56,847	1023,940	31,838	4,148
40520,000	-1,384	9,621	-2,466	6,500	-0,014	0,038	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40530,000	-1,384	9,621	-2,466	6,500	-0,014	0,038	0,016	45,300	-22,762	56,852	1023,940	31,838	4,148
40540,000	-1,384	9,697	-2,390	6,500	-0,014	0,043	0,011	45,292	-23,148	56,847	1023,940	31,838	4,148
40550,000	-1,459	9,697	-2,389	6,500	-0,014	0,038	0,007	44,860	-22,762	56,833	1023,940	31,838	4,148
40560,000	-1,459	9,697	-2,464	6,500	-0,009	0,034	0,007	45,292	-23,148	56,847	1023,940	31,838	4,148
40570,000	-1,459	9,697	-2,464	6,500	-0,009	0,015	0,007	45,300	-22,762	56,852	1023,940	31,838	4,148
40580,000	-1,459	9,697	-2,389	6,500	-0,010	-0,003	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40590,000	-1,384	9,697	-2,390	6,500	-0,005	-0,012	0,002	45,292	-23,148	56,847	1023,940	31,838	4,148
40600,000	-1,384	9,697	-2,465	6,500	-0,001	-0,017	0,002	45,300	-22,762	56,852	1023,940	31,838	4,148
40610,000	-1,309	9,697	-2,390	6,500	-0,001	-0,022	0,007	45,292	-23,148	56,426	1023,930	31,825	4,148
40620,000	-1,235	9,697	-2,391	6,500	-0,005	-0,026	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40630,000	-1,235	9,697	-2,391	6,500	-0,005	-0,026	0,011	45,300	-22,762	56,852	1023,930	31,825	4,148
40640,000	-1,235	9,697	-2,391	6,500	-0,001	-0,022	0,016	45,300	-22,762	56,852	1023,930	31,825	4,148
40650,000	-1,235	9,697	-2,391	6,500	-0,005	-0,026	0,016	45,292	-23,148	56,426	1023,930	31,825	4,148
40660,000	-1,235	9,697	-2,391	6,500	-0,014	-0,022	0,016	45,300	-22,762	56,852	1023,930	31,825	4,148
40670,000	-1,235	9,773	-2,465	6,500	-0,014	-0,017	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40680,000	-1,309	9,697	-2,465	6,500	-0,010	-0,017	0,016	45,300	-22,762	56,431	1023,930	31,825	4,148
40690,000	-1,309	9,697	-2,540	6,500	-0,005	-0,017	0,011	45,292	-23,148	56,426	1023,930	31,825	4,148
40700,000	-1,384	9,621	-2,541	6,500	-0,010	-0,017	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40710,000	-1,384	9,544	-2,542	6,500	-0,010	-0,012	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40720,000	-1,384	9,544	-2,542	6,500	-0,010	-0,012	0,011	44,852	-23,148	56,828	1023,930	31,825	4,148
40730,000	-1,384	9,544	-2,542	6,500	-0,005	-0,012	0,011	44,852	-23,148	56,828	1023,930	31,825	4,148
40740,000	-1,384	9,621	-2,541	6,500	-0,005	-0,012	0,007	45,292	-23,148	56,847	1023,930	31,825	4,148
40750,000	-1,384	9,621	-2,541	6,500	-0,001	-0,012	0,002	44,860	-22,762	56,833	1023,930	31,825	4,148
40760,000	-1,309	9,697	-2,540	6,500	-0,001	-0,008	0,002	45,292	-23,148	56,426	1023,930	31,825	4,148
40770,000	-1,235	9,697	-2,541	6,500	-0,005	-0,008	0,007	45,300	-22,762	56,431	1023,930	31,825	4,148
40780,000	-1,235	9,697	-2,466	6,500	-0,010	0,002	0,007	45,292	-23,148	56,426	1023,930	31,825	4,148
40790,000	-1,235	9,697	-2,466	6,500	-0,005	0,006	0,002	44,852	-23,148	57,249	1023,930	31,825	4,148
40800,000	-1,235	9,697	-2,391	6,500	-0,010	0,011	0,007	45,300	-22,762	56,852	1023,930	31,825	4,148
40810,000	-1,235	9,697	-2,391	6,500	-0,005	0,011	0,007	45,292	-23,148	56,847	1023,930	31,825	4,148
40820,000	-1,309	9,697	-2,465	6,500	-0,005	0,020	0,007	45,292	-23,148	56,847	1023,930	31,825	4,148
40830,000	-1,384	9,697	-2,465	6,500	-0,005	0,015	0,002	45,300	-22,762	56,852	1023,930	31,825	4,148
40840,000	-1,384	9,697	-2,390	6,500	-0,005	0,015	0,002	44,860	-22,762	56,833	1023,930	31,825	4,148
40850,000	-1,309	9,697	-2,390	6,500	-0,010	0,011	0,002	45,300	-22,762	56,852	1023,930	31,825	4,148
40860,000	-1,309	9,697	-2,390	6,500	-0,005	-0,003	0,002	45,292	-23,148	56,847	1023,930	31,825	4,148
40870,000	-1,235	9,697	-2,391	6,500	-0,010	-0,012	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40880,000	-1,309	9,621	-2,391	6,500	-0,005	-0,012	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40890,000	-1,309	9,697	-2,390	6,500	-0,001	-0,012	0,011	44,852	-23,148	56,828	1023,930	31,825	4,148
40900,000	-1,309	9,697	-2,390	6,500	-0,001	-0,017	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40910,000	-1,384	9,697	-2,390	6,500	-0,001	-0,012	0,011	45,292	-23,148	56,426	1023,930	31,825	4,148
40920,000	-1,384	9,621	-2,391	6,500	-0,005	-0,012	0,007	45,292	-23,148	56,847	1023,930	31,825	4,148
40930,000	-1,384	9,621	-2,466	6,500	-0,005	-0,008	0,007	45,292	-23,148	56,847	1023,930	31,825	4,148
40940,000	-1,309	9,621	-2,466	6,500	-0,005	0,002	0,011	44,852	-23,148	56,406	1023,930	31,825	4,148
40950,000	-1,309	9,621	-2,466	6,500	-0,010	0,002	0,007	45,300	-22,762	56,852	1023,930	31,825	4,148
40960,000	-1,235	9,697	-2,466	6,500	-0,005	0,006	0,002	45,292	-23,148	56,847	1023,930	31,825	4,148
40970,000	-1,309	9,697	-2,465	6,500	-0,005	0,006	0,007	44,852	-23,148	56,828	1023,930	31,825	4,148
40980,000	-1,309	9,697	-2,465	6,500	-0,005	0,011	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
40990,000	-1,309	9,697	-2,465	6,500	-0,009	0,015	0,011	44,852	-23,148	56,828	1023,930	31,825	4,148
41000,000	-1,384	9,621	-2,391	6,500	-0,009	0,015	0,011	45,292	-23,148	56,847	1023,930	31,825	4,148
