"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
37880,000	28,846	27,774	10,414	-2,000	2,211	-1,158	0,496	-13,544	-60,951	-9,879	1025,060	22,138	4,144
37890,000	18,418	36,240	3,712	-2,000	1,396	0,413	0,770	-14,423	-60,951	-9,918	1025,060	22,138	4,144
37900,000	0,293	33,723	-4,673	-2,000	1,064	1,447	0,605	-14,839	-59,793	-11,186	1025,060	22,138	4,144
37910,000	-16,238	20,528	-13,076	-2,000	0,398	0,773	0,615	-15,271	-59,408	-12,043	1024,830	22,138	4,144
37920,000	-21,603	5,578	-11,983	-2,000	-0,976	-0,174	0,648	-15,263	-59,022	-13,302	1024,590	22,138	4,144
37930,000	-14,618	-4,185	-4,377	-2,000	-1,516	0,413	0,374	-15,271	-59,408	-12,886	1024,590	22,138	4,144
37940,000	-6,372	-6,931	-1,100	-2,000	-0,887	0,930	-0,007	-14,839	-59,793	-12,029	1024,590	22,138	4,144
37950,000	-3,307	-3,804	-4,374	-2,000	-0,111	0,196	-0,514	-14,415	-60,565	-11,598	1024,590	22,138	4,144
37960,000	-0,241	-0,676	-7,649	-2,000	0,666	-0,539	-1,022	-13,991	-61,336	-11,168	1024,590	22,138	4,144
37970,000	-1,894	1,764	-8,576	-2,500	0,648	-1,135	-1,074	-13,991	-61,336	-10,746	1024,590	22,138	4,144
37980,000	1,539	8,934	-10,219	-2,500	1,258	-2,022	-1,564	-13,128	-62,108	-9,454	1024,590	22,138	4,144
37990,000	3,769	18,011	-10,551	-2,500	2,027	-1,934	-1,639	-12,696	-62,494	-9,018	1024,590	22,138	4,144
38000,000	4,206	24,418	-9,710	-2,500	2,161	-1,347	-1,314	-12,696	-62,494	-8,596	1024,590	22,138	4,144
38010,000	5,333	22,892	-8,391	-2,500	1,727	-0,839	-0,969	-12,248	-62,108	-7,729	1024,590	22,138	4,144
38020,000	5,267	17,934	-7,488	-2,500	1,223	-0,608	-0,812	-11,816	-62,494	-8,136	1024,590	22,138	4,144
38030,000	3,479	13,053	-6,423	-2,500	0,997	-0,470	-0,832	-10,929	-62,108	-8,092	1024,590	22,138	4,144
38040,000	2,211	9,697	-5,189	-2,500	0,961	-0,386	-0,823	-10,481	-61,722	-7,224	1024,590	22,138	4,144
38050,000	1,538	9,316	-4,965	-2,500	1,253	-0,858	-0,864	-9,594	-61,336	-6,758	1024,710	22,138	4,144
38060,000	1,610	10,841	-5,468	-2,500	1,544	-1,412	-0,919	-9,154	-61,336	-6,317	1024,710	22,138	4,144
38070,000	2,805	12,672	-5,449	-2,500	1,737	-1,911	-0,933	-7,826	-60,951	-5,832	1024,710	22,138	4,144
38080,000	4,748	15,189	-4,076	-2,500	1,721	-2,216	-0,999	-7,826	-60,951	-5,411	1024,710	22,138	4,144
38090,000	5,571	15,951	-1,671	-2,500	1,529	-2,234	-1,164	-6,947	-60,951	-4,950	1024,830	22,138	4,144
38100,000	4,823	14,960	0,194	-2,500	1,263	-1,939	-1,358	-6,507	-60,951	-4,509	1024,830	22,138	4,144
38110,000	4,002	13,663	0,781	-2,500	1,246	-1,791	-1,325	-6,059	-60,565	-3,642	1024,830	22,138	4,144
38120,000	4,378	13,053	0,244	-2,500	1,287	-1,680	-1,245	-5,188	-60,951	-3,187	1024,830	22,138	4,144
38130,000	5,577	12,519	-0,372	-2,500	1,297	-1,560	-1,207	-4,740	-60,565	-2,319	1024,830	22,138	4,144
38140,000	6,553	11,756	-0,390	-2,500	1,240	-1,393	-1,202	-4,308	-60,951	-1,883	1024,830	22,138	4,144
