"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
410590,000	1,912	9,468	-2,716	-6,500	0,004	-0,022	0,007	-20,603	-40,892	0,598	1024,450	18,156	4,135
410600,000	1,912	9,468	-2,641	-6,500	0,004	-0,022	0,007	-20,164	-40,892	0,617	1024,450	18,156	4,135
410610,000	1,837	9,544	-2,639	-6,500	0,004	-0,017	0,007	-20,603	-40,892	0,598	1024,450	18,156	4,135
410620,000	1,762	9,544	-2,714	-6,500	0,008	-0,008	0,007	-20,595	-40,506	0,603	1024,450	18,156	4,135
410630,000	1,837	9,544	-2,714	-6,500	0,008	-0,012	0,007	-20,603	-40,892	1,019	1024,450	18,156	4,135
410640,000	1,762	9,544	-2,714	-6,500	-0,001	-0,017	0,016	-20,603	-40,892	0,598	1024,450	18,156	4,135
410650,000	1,762	9,544	-2,789	-6,500	-0,005	-0,022	0,016	-20,603	-40,892	0,598	1024,450	18,156	4,135
410660,000	1,762	9,468	-2,790	-6,500	-0,010	-0,026	0,016	-20,595	-40,506	0,603	1024,450	18,156	4,135
410670,000	1,762	9,544	-2,789	-6,500	-0,005	-0,026	0,016	-20,595	-40,506	0,603	1024,450	18,156	4,135
410680,000	1,687	9,544	-2,788	-6,500	-0,005	-0,022	0,016	-20,164	-40,892	0,617	1024,450	18,156	4,135
410690,000	1,687	9,544	-2,788	-6,500	-0,005	-0,026	0,011	-20,603	-40,892	0,598	1024,450	18,156	4,135
410700,000	1,762	9,468	-2,790	-6,500	-0,005	-0,031	0,016	-20,603	-40,892	0,598	1024,570	18,156	4,135
410710,000	1,762	9,544	-2,714	-6,500	-0,005	-0,031	0,021	-20,603	-40,892	0,598	1024,570	18,156	4,135
410720,000	1,762	9,544	-2,714	-6,500	-0,005	-0,045	0,021	-20,603	-40,892	0,598	1024,570	18,156	4,135
410730,000	1,762	9,468	-2,715	-6,500	-0,005	-0,045	0,016	-20,603	-40,892	0,598	1024,450	18,156	4,135
410740,000	1,762	9,468	-2,715	-6,500	-0,005	-0,035	0,011	-20,603	-40,892	0,598	1024,450	18,156	4,135
410750,000	1,762	9,468	-2,715	-6,500	-0,005	-0,031	0,011	-20,603	-40,892	0,598	1024,450	18,156	4,135
410760,000	1,762	9,468	-2,715	-6,500	-0,005	-0,026	0,011	-20,603	-40,892	0,598	1024,450	18,156	4,135
410770,000	1,762	9,468	-2,715	-6,500	-0,001	-0,026	0,016	-20,603	-40,892	0,598	1024,530	18,181	4,135
410780,000	1,837	9,468	-2,715	-6,500	-0,001	-0,017	0,021	-20,603	-40,892	0,598	1024,530	18,181	4,135
410790,000	1,837	9,544	-2,639	-6,500	-0,005	-0,026	0,021	-20,603	-40,892	0,598	1024,530	18,181	4,135
410800,000	1,762	9,468	-2,715	-6,500	-0,014	-0,035	0,021	-20,603	-40,892	0,598	1024,530	18,181	4,135
410810,000	1,762	9,468	-2,715	-6,500	-0,019	-0,040	0,021	-20,603	-40,892	0,598	1024,530	18,181	4,135
410820,000	1,762	9,544	-2,714	-6,500	-0,019	-0,040	0,025	-20,595	-40,506	0,603	1024,530	18,181	4,135
410830,000	1,762	9,544	-2,714	-6,500	-0,019	-0,040	0,025	-20,603	-40,892	0,598	1024,530	18,181	4,135
410840,000	1,762	9,544	-2,714	-6,500	-0,014	-0,035	0,030	-20,595	-40,506	0,603	1024,530	18,181	4,135
410850,000	1,762	9,544	-2,639	-6,500	-0,019	-0,040	0,025	-20,603	-40,892	0,598	1024,530	18,181	4,135
410860,000	1,687	9,468	-2,639	-6,500	-0,023	-0,045	0,025	-20,595	-40,506	1,024	1024,530	18,181	4,135
410870,000	1,687	9,468	-2,714	-6,500	-0,032	-0,054	0,030	-20,603	-40,892	0,598	1024,530	18,181	4,135
410880,000	1,762	9,544	-2,714	-6,500	-0,028	-0,068	0,035	-20,595	-40,506	0,603	1024,530	18,181	4,135
410890,000	1,762	9,544	-2,714	-6,500	-0,028	-0,068	0,030	-20,603	-40,892	0,598	1024,530	18,181	4,135
410900,000	1,837	9,544	-2,789	-6,500	-0,028	-0,072	0,025	-20,603	-40,892	0,598	1024,530	18,181	4,135
410910,000	1,837	9,544	-2,714	-6,500	-0,032	-0,063	0,025	-20,595	-40,506	0,603	1024,530	18,181	4,135
410920,000	1,837	9,544	-2,714	-6,500	-0,032	-0,059	0,025	-20,603	-40,892	0,598	1024,530	18,181	4,135
410930,000	1,837	9,544	-2,714	-6,500	-0,032	-0,063	0,030	-20,595	-40,506	0,603	1024,530	18,181	4,135
410940,000	1,912	9,544	-2,640	-6,500	-0,032	-0,068	0,030	-20,595	-40,506	0,603	1024,530	18,181	4,135
410950,000	1,912	9,544	-2,640	-6,500	-0,032	-0,068	0,035	-20,595	-40,506	0,603	1024,640	18,181	4,135
410960,000	1,987	9,468	-2,716	-6,500	-0,032	-0,077	0,049	-20,595	-40,506	0,603	1024,640	18,181	4,135
410970,000	1,987	9,468	-2,716	-6,500	-0,028	-0,077	0,053	-20,603	-40,892	0,598	1024,640	18,181	4,135
410980,000	1,987	9,468	-2,641	-6,500	-0,019	-0,063	0,053	-20,587	-40,121	0,608	1024,640	18,181	4,135
410990,000	1,837	9,544	-2,639	-6,500	-0,014	-0,045	0,053	-20,603	-40,892	0,598	1024,640	18,181	4,135
411000,000	1,762	9,544	-2,714	-6,500	-0,014	-0,040	0,049	-20,595	-40,506	0,603	1024,640	18,181	4,135
411010,000	1,687	9,621	-2,712	-6,500	-0,019	-0,045	0,049	-20,595	-40,506	0,603	1024,640	18,181	4,135
411020,000	1,687	9,544	-2,713	-6,500	-0,023	-0,049	0,049	-20,595	-40,506	0,603	1024,640	18,181	4,135
411030,000	1,762	9,544	-2,639	-6,500	-0,028	-0,059	0,044	-20,595	-40,506	0,603	1024,640	18,181	4,135
411040,000	1,837	9,468	-2,640	-6,500	-0,028	-0,063	0,039	-20,595	-40,506	1,024	1024,640	18,181	4,135
411050,000	1,912	9,468	-2,641	-6,500	-0,028	-0,063	0,039	-21,035	-40,506	0,584	1024,640	18,181	4,135
411060,000	1,912	9,468	-2,641	-6,500	-0,028	-0,054	0,039	-20,603	-40,892	0,598	1024,640	18,181	4,135
411070,000	1,912	9,544	-2,715	-6,500	-0,023	-0,054	0,035	-20,595	-40,506	1,024	1024,640	18,181	4,135
411080,000	1,912	9,468	-2,716	-6,500	-0,019	-0,049	0,030	-20,595	-40,506	0,603	1024,640	18,181	4,135
411090,000	1,912	9,468	-2,791	-6,500	-0,019	-0,040	0,030	-20,595	-40,506	0,603	1024,640	18,181	4,135
411100,000	1,987	9,468	-2,716	-6,500	-0,014	-0,035	0,030	-21,035	-40,506	0,584	1024,640	18,181	4,135
411110,000	1,987	9,468	-2,641	-6,500	-0,010	-0,035	0,030	-20,595	-40,506	0,603	1024,640	18,181	4,135
411120,000	1,987	9,468	-2,641	-6,500	-0,010	-0,031	0,025	-20,595	-40,506	0,603	1024,640	18,181	4,135
411130,000	1,912	9,468	-2,641	-6,500	-0,014	-0,022	0,025	-20,587	-40,121	1,030	1024,640	18,181	4,135
411140,000	1,912	9,468	-2,641	-6,500	-0,014	-0,012	0,025	-21,035	-40,506	0,584	1024,640	18,181	4,135
411150,000	1,912	9,468	-2,716	-6,500	-0,005	-0,008	0,025	-21,027	-40,121	1,010	1024,640	18,181	4,135
411160,000	1,987	9,468	-2,641	-6,500	-0,005	-0,012	0,025	-21,035	-40,506	1,005	1024,640	18,181	4,135
411170,000	1,987	9,544	-2,640	-6,500	-0,005	-0,017	0,025	-21,035	-40,506	0,584	1024,640	18,181	4,135
411180,000	1,987	9,544	-2,640	-6,500	-0,005	-0,026	0,025	-20,595	-40,506	0,603	1024,640	18,181	4,135
411190,000	1,912	9,468	-2,641	-6,500	-0,005	-0,026	0,021	-21,035	-40,506	1,005	1024,640	18,181	4,135
411200,000	1,912	9,468	-2,641	-6,500	-0,005	-0,017	0,021	-20,587	-40,121	0,608	1024,640	18,181	4,135
411210,000	1,987	9,392	-2,642	-6,500	0,004	-0,003	0,021	-20,595	-40,506	0,603	1024,640	18,181	4,135
411220,000	2,062	9,392	-2,568	-6,500	-0,001	0,002	0,021	-21,035	-40,506	0,584	1024,640	18,181	4,135
411230,000	2,062	9,468	-2,567	-6,500	-0,001	0,006	0,016	-20,595	-40,506	0,603	1024,640	18,181	4,135
411240,000	1,987	9,468	-2,566	-6,500	-0,001	0,011	0,016	-20,595	-40,506	0,603	1024,640	18,181	4,135
411250,000	1,912	9,468	-2,566	-6,500	-0,001	0,006	0,021	-20,587	-40,121	0,608	1024,640	18,181	4,135
411260,000	1,912	9,468	-2,566	-6,500	-0,001	0,011	0,021	-20,595	-40,506	0,603	1024,530	18,181	4,135
411270,000	1,837	9,468	-2,640	-6,500	0,004	0,020	0,026	-21,035	-40,506	0,584	1024,530	18,181	4,135
