"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
410700,000	0,500	9,612	-1,899	-2,000	-0,011	0,024	-0,002	19,479	-25,681	-5,638	1024,110	19,194	4,157
410710,000	0,574	9,612	-1,900	-2,000	-0,011	0,019	-0,002	19,474	-25,997	-5,313	1024,110	19,194	4,157
410720,000	0,574	9,536	-1,900	-2,000	-0,011	0,009	-0,002	19,479	-25,681	-5,308	1024,110	19,194	4,157
410730,000	0,574	9,612	-1,900	-2,000	-0,011	0,004	0,003	19,479	-25,681	-5,308	1024,110	19,194	4,157
410740,000	0,574	9,612	-1,975	-2,000	-0,006	-0,001	-0,002	19,115	-25,681	-5,288	1024,110	19,194	4,157
410750,000	0,574	9,612	-1,975	-2,000	-0,006	0,004	0,003	19,479	-25,681	-5,308	1024,110	19,194	4,157
410760,000	0,574	9,612	-1,975	-2,000	-0,006	0,009	-0,002	19,120	-25,365	-5,614	1024,110	19,194	4,157
410770,000	0,574	9,612	-1,975	-2,000	-0,006	0,019	-0,006	19,479	-25,681	-5,308	1024,230	19,194	4,157
410780,000	0,574	9,612	-1,975	-2,000	-0,002	0,024	-0,006	19,115	-25,681	-5,288	1024,230	19,194	4,157
410790,000	0,574	9,612	-1,975	-2,000	0,003	0,029	-0,006	18,751	-25,681	-5,268	1024,230	19,194	4,157
410800,000	0,500	9,612	-1,974	-2,000	-0,001	0,039	-0,002	19,479	-25,681	-5,638	1024,230	19,194	4,157
410810,000	0,500	9,612	-1,974	-2,000	-0,001	0,049	-0,006	19,115	-25,681	-5,618	1024,110	19,194	4,157
410820,000	0,500	9,612	-1,974	-2,000	-0,001	0,049	-0,011	19,479	-25,681	-5,638	1024,110	19,194	4,157
410830,000	0,500	9,612	-1,974	-2,000	0,003	0,044	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
410840,000	0,500	9,612	-1,974	-2,000	0,003	0,044	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
410850,000	0,500	9,612	-1,974	-2,000	0,003	0,044	-0,011	19,484	-25,365	-5,304	1024,110	19,194	4,157
410860,000	0,574	9,612	-1,975	-2,000	0,003	0,044	-0,011	19,479	-25,681	-5,308	1024,110	19,194	4,157
410870,000	0,574	9,612	-1,975	-2,000	0,003	0,034	-0,006	19,120	-25,365	-5,284	1024,110	19,194	4,157
410880,000	0,574	9,612	-1,900	-2,000	0,003	0,024	-0,006	19,479	-25,681	-5,638	1024,110	19,194	4,157
410890,000	0,574	9,612	-1,975	-2,000	-0,002	0,024	-0,006	19,484	-25,365	-5,304	1024,110	19,194	4,157
410900,000	0,574	9,612	-1,900	-2,000	-0,002	0,024	-0,006	19,479	-25,681	-5,638	1024,110	19,194	4,157
410910,000	0,574	9,612	-1,900	-2,000	0,003	0,034	-0,006	19,484	-25,365	-5,634	1024,110	19,194	4,157
410920,000	0,574	9,612	-1,900	-2,000	0,003	0,034	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
410930,000	0,574	9,612	-1,900	-2,000	-0,001	0,034	-0,006	19,115	-25,681	-5,618	1024,110	19,194	4,157
410940,000	0,574	9,612	-1,900	-2,000	-0,001	0,034	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
410950,000	0,574	9,612	-1,900	-2,000	-0,001	0,034	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
410960,000	0,574	9,612	-1,900	-2,000	-0,001	0,034	-0,006	19,843	-25,681	-5,658	1024,110	19,194	4,157
410970,000	0,574	9,612	-1,900	-2,000	-0,001	0,039	-0,006	19,484	-25,365	-5,304	1024,110	19,194	4,157
410980,000	0,574	9,612	-1,900	-2,000	-0,001	0,039	-0,002	19,843	-25,681	-5,658	1024,110	19,194	4,157
410990,000	0,574	9,612	-1,900	-2,000	0,003	0,039	-0,001	19,120	-25,365	-5,614	1024,110	19,194	4,157
411000,000	0,574	9,612	-1,900	-2,000	-0,001	0,039	-0,002	19,479	-25,681	-5,308	1024,110	19,194	4,157
411010,000	0,500	9,612	-1,899	-2,000	-0,006	0,034	-0,002	19,479	-25,681	-5,638	1024,110	19,194	4,157
411020,000	0,500	9,612	-1,899	-2,000	-0,002	0,029	-0,006	19,843	-25,681	-5,658	1024,110	19,194	4,157
411030,000	0,500	9,612	-1,899	-2,000	-0,002	0,024	-0,011	19,484	-25,365	-5,634	1024,110	19,194	4,157
411040,000	0,500	9,612	-1,899	-2,000	-0,002	0,004	-0,006	19,843	-25,681	-5,329	1024,110	19,194	4,157
411050,000	0,500	9,612	-1,899	-2,000	-0,002	-0,006	-0,006	19,484	-25,365	-5,634	1024,110	19,194	4,157
411060,000	0,500	9,612	-1,899	-2,000	-0,002	-0,011	-0,006	19,843	-25,681	-5,658	1024,110	19,194	4,157
411070,000	0,500	9,612	-1,899	-2,000	-0,002	-0,016	-0,006	19,115	-25,681	-5,618	1024,110	19,194	4,157
411080,000	0,500	9,612	-1,974	-2,000	-0,002	-0,025	-0,006	19,479	-25,681	-5,638	1024,110	19,194	4,157
411090,000	0,500	9,612	-1,974	-2,000	-0,006	-0,030	-0,001	19,479	-25,681	-5,638	1024,110	19,194	4,157
411100,000	0,574	9,536	-2,050	-2,000	0,003	-0,025	-0,001	19,474	-25,997	-5,313	1024,110	19,194	4,157
411110,000	0,574	9,536	-2,050	-2,000	0,003	-0,021	-0,001	19,479	-25,681	-5,308	1024,110	19,194	4,157
411120,000	0,574	9,612	-1,975	-2,000	-0,002	-0,011	-0,001	19,479	-25,681	-5,638	1024,110	19,194	4,157
411130,000	0,500	9,612	-1,974	-2,000	-0,002	-0,001	-0,001	19,484	-25,365	-5,634	1024,110	19,194	4,157
411140,000	0,500	9,612	-1,974	-2,000	-0,002	0,009	-0,001	19,479	-25,681	-5,308	1024,110	19,194	4,157
411150,000	0,500	9,612	-2,049	-2,000	0,003	0,009	-0,006	19,484	-25,365	-5,304	1024,110	19,194	4,157
411160,000	0,426	9,536	-2,049	-2,000	0,008	0,014	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
411170,000	0,425	9,612	-2,123	-2,000	0,008	0,019	-0,006	19,484	-25,365	-5,304	1024,110	19,194	4,157
411180,000	0,425	9,612	-2,123	-2,000	0,008	0,014	-0,010	19,843	-25,681	-5,329	1024,110	19,194	4,157
411190,000	0,425	9,612	-2,048	-2,000	0,008	0,009	-0,010	19,479	-25,681	-5,308	1024,110	19,194	4,157
411200,000	0,425	9,612	-1,973	-2,000	0,008	0,009	-0,010	19,479	-25,681	-5,638	1024,110	19,194	4,157
411210,000	0,425	9,612	-1,973	-2,000	0,008	0,004	-0,010	19,479	-25,681	-5,308	1024,110	19,194	4,157
411220,000	0,425	9,612	-1,973	-2,000	0,008	-0,006	-0,006	19,479	-25,681	-5,308	1024,110	19,194	4,157
411230,000	0,500	9,612	-1,974	-2,000	0,003	-0,006	-0,006	19,479	-25,681	-5,638	1024,110	19,194	4,157
411240,000	0,500	9,612	-1,899	-2,000	0,003	-0,001	-0,011	19,843	-25,681	-5,329	1024,110	19,194	4,157
411250,000	0,500	9,612	-1,899	-2,000	0,003	-0,001	-0,011	19,479	-25,681	-5,308	1024,110	19,194	4,157
411260,000	0,500	9,612	-1,974	-2,000	0,003	-0,001	-0,006	19,843	-25,681	-5,329	1024,110	19,194	4,157
411270,000	0,500	9,612	-1,974	-2,000	0,003	0,009	-0,011	19,479	-25,681	-5,308	1024,110	19,194	4,157
411280,000	0,500	9,612	-1,974	-2,000	0,003	0,014	-0,015	19,474	-25,997	-5,313	1024,110	19,194	4,157
411290,000	0,500	9,612	-1,974	-2,000	0,008	0,019	-0,011	19,120	-25,365	-5,284	1024,110	19,194	4,157
