"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-7.0802","-7.5147","-5.4143","0.91848","0.56609","-1.6021","0.58131","0.52174","-0.058768"
"-5.88","-6.7152","-4.9436","0.57465","0.70793","-1.5086","0.55936","0.5656","-0.049819"
"-4.6426","-6.2754","-4.1819","0.34302","0.84602","-1.4426","0.53753","0.60374","-0.031223"
"-3.8535","-5.4169","-2.9486","0.21843","0.86565","-1.3213","0.51529","0.63554","-0.010271"
"-2.4881","-4.6797","-1.9673","0.144","0.78707","-1.0518","0.49204","0.66352","0.010719"
"-1.6852","-4.2379","-1.2054","0.44574","0.40204","-0.77061","0.46975","0.68295","0.017858"
"-1.1234","-4.1053","-1.4347","0.52694","0.10365","-0.29369","0.45476","0.69257","0.012564"
"-1.5138","-4.5358","-1.6815","0.2138","-0.091248","0.13108","0.45554","0.69239","0.003188"
"-1.7693","-4.7422","-2.1346","-0.38566","-0.2576","0.51506","0.46366","0.68687","-0.002808"
"-2.3246","-5.2693","-2.3396","-0.83467","-0.39918","0.85286","0.47822","0.67092","0.004577"
"-3.463","-5.1445","-2.3137","-0.88532","-0.65504","1.1313","0.50052","0.64731","0.011291"
"-4.2582","-5.6246","-2.8215","-0.7332","-0.81905","1.3979","0.52893","0.612","0.008616"
"-5.781","-6.3609","-3.8652","-0.72871","-0.81592","1.6139","0.55319","0.57135","-0.004425"
"-6.8547","-7.0828","-5.3196","-0.85898","-0.69804","1.686","0.57513","0.53344","-0.017855"
"-7.1999","-7.109","-5.9083","-1.1655","-0.57871","1.5665","0.59357","0.49319","-0.023407"
"-7.3047","-6.7475","-6.6113","-1.3236","-0.43081","1.4178","0.60517","0.45496","-0.02577"
"-7.8454","-7.0255","-7.5924","-1.4374","-0.18252","1.2988","0.61679","0.4181","-0.020477"
"-7.6213","-7.0544","-8.1564","-1.4045","-0.10465","1.0259","0.62526","0.39144","-0.011234"
"-7.2605","-6.4143","-7.9693","-1.1824","-0.032551","0.70369","0.62936","0.37696","-0.003019"
"-7.1254","-6.2205","-8.0412","-0.83812","-0.014503","0.3411","0.63149","0.36824","0.004496"
"-7.3205","-6.3384","-8.2391","-0.33579","-0.041286","0.031348","0.62972","0.36412","0.008622"
"-7.2079","-6.4604","-7.6847","0.32726","-0.079674","-0.2989","0.62956","0.36716","0.006971"
"-7.2152","-6.6189","-7.2071","0.76079","-0.088246","-0.53337","0.62801","0.37666","0.000122"
"-7.2003","-6.7539","-7.0653","1.1213","0.045518","-0.80652","0.62601","0.38866","-0.008642"
"-7.4249","-6.6407","-7.1061","1.2392","0.095535","-1.103","0.62089","0.40787","-0.017109"
"-7.5756","-7.0574","-7.3488","1.1955","0.19505","-1.3157","0.61207","0.43491","-0.023986"
"-7.3505","-7.0149","-6.9863","1.0428","0.26964","-1.4931","0.60132","0.47322","-0.029809"
"-6.9233","-7.0781","-6.5833","1.0861","0.39283","-1.6047","0.58507","0.50906","-0.029669"
"-6.3849","-7.528","-6.8145","1.0987","0.63338","-1.6694","0.56556","0.54801","-0.028101"
"-5.8211","-6.8316","-5.929","0.93131","0.85657","-1.6695","0.54124","0.59081","-0.020931"
"-4.5742","-5.4523","-4.6865","0.7072","0.91572","-1.5191","0.5115","0.62999","-0.010422"
"-3.4926","-4.424","-3.2386","0.4978","0.89214","-1.2117","0.4809","0.66466","0.001997"
"-2.5089","-3.7236","-1.9053","0.28273","0.87621","-0.88067","0.45845","0.68783","0.018599"
"-1.0615","-3.4815","-0.4458","0.33343","0.48288","-0.46619","0.44429","0.70325","0.027264"
"-0.62144","-4.4536","-0.73981","0.44952","0.15499","-0.038294","0.43894","0.70719","0.021987"
"-0.85532","-5.0626","-1.4551","0.23367","-0.26777","0.35751","0.44425","0.70367","0.008711"
"-1.5903","-5.1006","-2.4164","-0.41509","-0.39898","0.66426","0.45698","0.68859","0.004099"
"-2.0702","-5.0665","-2.9922","-0.8931","-0.3927","1.051","0.47795","0.66825","0.009519"
"-3.5081","-5.0232","-2.7624","-0.9126","-0.42278","1.274","0.50112","0.64659","0.019271"
"-5.1437","-6.1709","-3.5028","-0.43281","-0.7042","1.5114","0.52905","0.60986","0.013561"
"-6.2013","-6.3558","-4.7613","-0.44777","-0.68377","1.7065","0.55325","0.56846","-0.004104"
"-7.1834","-6.7538","-4.9807","-0.60843","-0.65028","1.7817","0.58225","0.51812","-0.015754"
"-7.4691","-7.1695","-5.3377","-0.91675","-0.6279","1.6996","0.60149","0.47584","-0.028792"
"-7.7248","-7.5402","-5.7988","-1.168","-0.45162","1.5079","0.61064","0.44079","-0.038844"
"-8.2653","-7.8189","-6.5706","-1.4296","-0.31026","1.271","0.61868","0.41025","-0.037755"
"-7.7417","-7.8787","-7.2642","-1.709","-0.14439","0.89175","0.62471","0.3912","-0.031381"
"-7.2165","-7.0574","-7.8508","-1.5539","0.003222","0.41723","0.6234","0.38186","-0.014692"
"-7.0577","-6.0562","-8.1069","-1.084","0.12962","0.071285","0.62595","0.37782","-0.000628"
"-7.1239","-5.4142","-7.9045","-0.48724","-0.050477","-0.12403","0.62622","0.37802","0.008517"
"-6.6967","-5.2968","-7.8522","0.31516","-0.11566","-0.20895","0.62383","0.38248","0.005709"
"-6.9601","-6.253","-7.5006","0.96952","-0.077822","-0.40913","0.62483","0.38679","-0.005201"
"-7.1852","-6.7919","-6.8933","1.2273","-0.064048","-0.66098","0.62009","0.40129","-0.016615"
"-7.1405","-6.9267","-6.863","1.2613","-0.005996","-0.89586","0.61641","0.41609","-0.031445"
"-7.2155","-7.0461","-6.8048","1.164","0.15367","-1.1351","0.61265","0.43412","-0.039715"
"-7.2454","-7.1064","-6.6113","0.99603","0.28578","-1.3056","0.60444","0.46139","-0.041808"
"-6.9463","-7.4443","-6.5025","0.97029","0.46989","-1.4962","0.59203","0.49332","-0.040678"
"-6.6317","-7.4832","-6.4824","1.0326","0.55814","-1.6144","0.57199","0.53461","-0.036919"
"-5.7912","-6.9067","-5.854","0.85838","0.68271","-1.6561","0.54953","0.57415","-0.030291"
"-5.0859","-6.5088","-5.2135","0.66071","0.8324","-1.5626","0.52646","0.61091","-0.021511"
"-4.3269","-5.7323","-3.9884","0.47877","0.91877","-1.3223","0.50011","0.64547","-0.00551"
"-3.3201","-4.5535","-2.7729","0.27078","0.88554","-1.0502","0.47658","0.67112","0.011276"
"-2.1871","-4.1976","-1.3856","0.098353","0.69292","-0.77664","0.4489","0.69409","0.028774"
"-0.95869","-4.4063","-1.0143","0.33174","0.29394","-0.37159","0.43829","0.70601","0.036426"
"-0.89257","-5.0181","-1.3137","0.35223","-0.10369","0.032713","0.43405","0.71011","0.028267"
"-1.186","-5.2524","-2.2905","-0.078419","-0.42635","0.32118","0.43722","0.70602","0.018244"
"-1.5235","-5.1289","-2.9831","-0.75737","-0.36324","0.63274","0.45132","0.69588","0.022328"
"-2.2208","-5.3786","-3.2496","-0.80795","-0.45037","0.88496","0.47207","0.67317","0.027916"
"-3.2995","-5.4183","-3.2978","-0.60148","-0.76722","1.1587","0.49593","0.64767","0.026503"
"-4.5002","-6.1861","-4.2764","-0.45979","-0.77222","1.4393","0.51721","0.62177","0.020643"
"-5.6091","-6.2099","-4.5492","-0.46325","-0.71718","1.574","0.54356","0.58341","0.003918"
"-6.659","-6.8019","-4.7478","-0.50636","-0.63136","1.6439","0.569","0.54277","-0.00935"
"-7.4013","-7.0512","-5.1047","-0.63917","-0.55168","1.6089","0.58873","0.49559","-0.032745"
"-7.6194","-7.2273","-5.7214","-0.80492","-0.45618","1.4834","0.60382","0.45903","-0.043506"
"-7.7626","-7.4035","-6.4116","-1.2101","-0.26896","1.3302","0.61125","0.43083","-0.041289"
"-7.4862","-7.4619","-7.1542","-1.5589","-0.10106","1.0155","0.61773","0.40731","-0.033228"
"-7.5533","-7.0794","-7.5129","-1.4772","-0.10856","0.71854","0.62349","0.39045","-0.020941"
"-7.4623","-6.3248","-7.6587","-1.0375","-0.01325","0.39151","0.62739","0.38121","-0.011108"
"-7.3041","-5.7351","-7.7441","-0.42399","-0.021492","0.14111","0.62823","0.3783","-0.007451"
"-6.6439","-5.2534","-7.5225","0.054468","-0.01659","-0.13531","0.63097","0.37751","-0.004567"
"-6.7793","-5.619","-7.4809","0.56549","-0.091526","-0.3016","0.62626","0.38211","-0.010102"
"-6.975","-6.321","-7.262","0.95814","0.002959","-0.48814","0.62506","0.38768","-0.018191"
"-7.2073","-6.5979","-6.8184","1.1809","-0.01107","-0.69127","0.62108","0.40143","-0.033806"
"-7.4545","-6.7544","-6.584","1.2719","0.033994","-0.87377","0.61812","0.41751","-0.042279"
"-7.7992","-6.9255","-6.3213","1.297","0.13138","-1.1163","0.61143","0.43604","-0.050652"
"-7.7093","-7.1364","-5.9618","1.2304","0.17351","-1.3212","0.60277","0.4644","-0.058607"
"-7.35","-7.2876","-5.9113","1.3486","0.1756","-1.4546","0.58925","0.49797","-0.066815"
"-6.7511","-7.3643","-6.1554","1.1907","0.57065","-1.5577","0.57051","0.53781","-0.076366"
"-5.5743","-7.4027","-5.269","0.74658","0.81963","-1.5084","0.55098","0.57565","-0.068156"
"-4.441","-6.8602","-3.8588","0.49905","0.93167","-1.4859","0.52874","0.60975","-0.054001"
