"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-7.1669","5.0222","-0.39013","-0.1092","-0.47764","2.6326","0.52058","-0.51694","0.2586"
"-5.5407","2.4943","-0.51977","-0.37693","-0.27861","2.1569","0.49355","-0.56202","0.24365"
"-2.3871","-0.52447","-0.16053","-0.46152","-0.10191","1.268","0.47391","-0.59639","0.22588"
"1.7018","-2.4147","0.21628","-0.12492","0.099263","0.2524","0.46096","-0.61726","0.21609"
"1.8242","-0.38663","-0.43619","0.75765","0.43194","-0.79135","0.46298","-0.60832","0.22853"
"-1.0919","2.5021","-1.7509","1.3253","0.58787","-1.717","0.47457","-0.57966","0.26181"
"-4.376","4.5846","-2.5093","0.45177","0.28994","-2.5137","0.49661","-0.52905","0.29423"
"-7.299","3.8882","-1.9371","-0.15984","0.46094","-2.8681","0.52216","-0.47631","0.3061"
"-9.6418","5.5374","-0.3954","-0.57575","0.56645","-3.0708","0.54855","-0.41016","0.31981"
"-12.95","6.9197","3.0778","-0.7455","0.51918","-3.0194","0.56515","-0.3555","0.31746"
"-13.865","7.7396","3.4337","-0.5263","0.024929","-2.6096","0.58312","-0.31293","0.29736"
"-14.17","11.432","2.5233","-0.052478","-0.14588","-1.9597","0.59906","-0.26345","0.28367"
"-12.109","13.987","1.3164","0.65219","-0.4516","-0.71638","0.61067","-0.22902","0.27215"
"-9.8497","12.54","-0.23464","1.096","-0.53018","0.33093","0.62025","-0.20603","0.26733"
"-9.5964","10.523","-1.8254","0.92227","-0.34682","0.78084","0.62561","-0.20838","0.26681"
"-9.1316","8.5545","-2.2791","0.59066","0.002934","1.0484","0.62629","-0.22497","0.27065"
"-9.699","8.812","-1.6005","0.27376","0.16406","1.3973","0.61969","-0.25061","0.28395"
"-10.874","8.6494","0.2892","-0.19698","0.04317","1.753","0.61009","-0.2903","0.29245"
"-9.9159","8.5159","0.85628","-0.015497","-0.02419","2.1037","0.59576","-0.33977","0.29841"
"-9.7856","9.2371","0.67055","-0.017767","-0.04157","2.5696","0.57486","-0.39282","0.30016"
"-10.405","7.6385","0.36724","-0.50518","-0.39263","2.82","0.55488","-0.44596","0.2905"
"-7.0941","5.2861","-0.65155","-0.64397","-0.40825","2.7849","0.52858","-0.50932","0.26651"
"-4.3284","1.975","-0.71993","-0.65682","-0.26736","2.2424","0.499","-0.5622","0.2396"
"-1.6237","-1.2227","-1.0522","-0.51536","0.12306","1.2499","0.47309","-0.6058","0.22235"
"1.816","-2.6203","-2.5271","-0.32089","0.40294","0.13344","0.46265","-0.62322","0.21488"
"1.7616","1.6227","-0.35711","1.0561","0.93954","-0.75913","0.45846","-0.61329","0.23679"
"-0.18782","2.135","0.81108","0.68332","0.77574","-1.8913","0.46694","-0.5782","0.27669"
"-4.5887","3.9467","0.99829","0.80352","0.44638","-2.569","0.48846","-0.52485","0.30751"
"-9.2418","4.2549","1.7898","0.22569","0.003911","-2.7466","0.51568","-0.45745","0.33544"
"-11.432","4.4573","1.543","-0.31787","-0.28761","-2.9991","0.54874","-0.40279","0.32722"
"-12.723","5.2958","0.65334","-0.42059","-0.2103","-3.009","0.57977","-0.35228","0.30459"
"-14.067","8.0513","0.40576","-0.049028","-0.084909","-2.6987","0.60195","-0.29176","0.2935"
"-14.482","12.866","0.02457","0.29749","-0.15157","-2.0116","0.61516","-0.23609","0.27901"
"-11.818","16.296","0.16439","0.37401","-0.48136","-0.77532","0.6301","-0.19258","0.26203"
"-9.1591","14.451","-0.90557","0.13136","-0.52926","0.36297","0.63763","-0.18854","0.24675"
"-8.7051","9.757","-2.4819","0.32281","-0.1317","0.87296","0.63901","-0.20151","0.24216"
"-9.2416","7.9339","-2.8283","0.27153","0.4127","1.0987","0.63337","-0.22315","0.25705"
"-10.553","9.1106","-2.0832","-0.60904","0.4675","1.3879","0.62289","-0.25523","0.27356"
"-10.721","7.7231","-0.41947","-0.70476","0.42744","1.6927","0.60482","-0.31492","0.28145"
"-10.412","9.158","1.0782","-0.42402","0.34805","2.1064","0.5832","-0.36326","0.29058"
"-10.182","8.3094","1.5564","-0.66401","-0.080976","2.645","0.56014","-0.41329","0.29067"
"-9.6794","6.3177","1.2836","-0.52073","-0.22213","2.8995","0.53011","-0.47317","0.28056"
"-8.147","4.4879","0.91871","-0.5277","-0.14903","2.8043","0.49501","-0.52883","0.2685"
"-5.372","0.87646","0.95588","-0.58809","-0.17711","2.2279","0.45961","-0.58659","0.24811"
"-0.73321","-1.9933","1.1572","-0.37977","-0.11345","1.1044","0.44084","-0.62064","0.23169"
"2.8983","-2.7841","0.015641","-0.10105","0.044701","-0.14871","0.43666","-0.63007","0.22306"
"1.0833","2.1228","1.3693","1.1653","0.53568","-0.94086","0.44211","-0.61452","0.24489"
"-1.0797","1.1726","0.56913","0.89378","0.11209","-2.047","0.45776","-0.5787","0.27287"
"-4.4172","5.0164","0.025238","1.1995","0.011757","-2.6653","0.49498","-0.51773","0.3022"
"-8.6225","4.584","-1.0116","0.39343","-0.14025","-2.8341","0.52762","-0.4584","0.31231"
"-12.742","5.4965","-0.72774","-0.45343","-0.25084","-3.0799","0.55715","-0.40082","0.30912"
"-13.386","5.9126","-0.41101","-0.78939","-0.12325","-2.9589","0.58586","-0.34539","0.28871"
"-13.426","8.205","0.13337","-0.48071","0.25688","-2.6425","0.60446","-0.29209","0.27435"
"-14.172","14.628","2.1146","-0.18023","0.039276","-1.784","0.6165","-0.23985","0.25317"
"-11.044","16.61","2.8055","-0.15733","-0.17879","-0.39189","0.62112","-0.21865","0.24006"
"-8.7485","11.173","1.312","0.54321","-0.33267","0.54204","0.62426","-0.21793","0.24007"
"-9.8956","8.2078","-0.77103","1.0694","-0.079258","0.79907","0.62617","-0.22561","0.24721"
"-10.247","7.7905","-1.7605","0.97776","0.27506","1.1791","0.62048","-0.23967","0.26378"
"-11.071","8.6835","-0.87769","0.22392","0.26086","1.5639","0.61252","-0.27773","0.28264"
"-10.95","9.0371","0.77493","-0.34339","-0.01804","2.0103","0.60132","-0.32108","0.28742"
"-8.65","9.1816","0.68593","-0.38083","-0.11562","2.539","0.5875","-0.36664","0.28728"
