"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-5.0488","5.5285","1.6194","1.3394","0.14444","-2.3459","0.48692","-0.5179","0.31804"
"-7.5443","5.4236","1.0216","0.40883","-0.46772","-2.562","0.51822","-0.46337","0.32955"
"-9.4715","4.9778","-0.014443","-0.16384","-0.52265","-2.9084","0.55307","-0.408","0.31748"
"-12.17","6.4711","-0.98561","-0.36794","-0.24649","-2.9467","0.59235","-0.33473","0.30637"
"-12.436","8.1691","-1.9906","-0.52675","-0.13688","-2.7127","0.61642","-0.27612","0.28988"
"-12.961","11.482","-1.9523","-0.3257","0.25599","-2.3157","0.6243","-0.23049","0.27489"
"-13.11","16.603","-0.085182","-0.3223","0.042182","-1.1036","0.62779","-0.19449","0.26636"
"-8.732","12.67","1.1625","-0.73535","-0.11617","0.25144","0.63006","-0.19661","0.25396"
"-8.7109","8.2196","0.2449","0.063103","0.014081","0.65117","0.62183","-0.21159","0.25491"
"-10.169","6.7628","-0.69814","0.57886","0.3433","0.70439","0.6185","-0.22358","0.26965"
"-9.9787","8.6999","-1.049","0.29704","0.47579","0.9845","0.6108","-0.24308","0.28863"
"-9.9412","8.4621","-1.5357","-0.59288","0.38737","1.4399","0.59906","-0.27668","0.30081"
"-9.8429","8.282","-1.406","-0.74944","0.59014","1.7087","0.58134","-0.32309","0.30948"
"-9.9646","8.1606","0.60991","-0.29918","0.33118","2.1314","0.55326","-0.36828","0.32678"
"-9.8147","8.4352","1.4454","-0.19101","-0.20222","2.4516","0.53062","-0.41753","0.33132"
"-8.8355","6.7898","1.2868","-0.62506","-0.54182","2.6597","0.50951","-0.46985","0.31846"
"-7.1847","5.1184","0.82663","-0.96867","-0.59776","2.5389","0.48575","-0.52185","0.29114"
"-5.8977","1.7641","0.72108","-0.96453","-0.47557","1.9505","0.46553","-0.56594","0.25614"
"-2.4334","-0.99546","0.34353","-0.3748","-0.26292","1.091","0.45062","-0.59736","0.22814"
"1.2742","-1.952","-0.55628","0.14071","0.056222","0.24577","0.44551","-0.61336","0.22116"
"1.1483","1.505","1.2156","0.88739","0.40433","-0.7304","0.44228","-0.61035","0.2373"
"-0.59928","2.4175","0.13658","1.3069","0.45329","-1.7446","0.4547","-0.57812","0.2717"
"-4.5988","4.6354","0.39894","1.2258","-0.026436","-2.2988","0.47845","-0.52863","0.3079"
"-8.0549","5.1217","-0.81143","0.68966","-0.31734","-2.4746","0.51242","-0.46337","0.32836"
"-10.458","4.9383","-0.46938","0.097187","-0.42558","-2.7136","0.54447","-0.40891","0.32452"
"-12.182","5.9149","-0.71514","-0.32559","-0.27819","-2.8906","0.57431","-0.3592","0.30858"
"-12.356","7.6108","-1.1031","-0.39608","0.028454","-2.6622","0.59942","-0.30357","0.29293"
"-13.054","11.505","-0.46866","-0.11088","0.16262","-2.1662","0.6106","-0.25309","0.28343"
"-12.479","15.086","1.0695","-0.27539","-0.1782","-1.0702","0.61839","-0.2119","0.27118"
"-9.1824","13.2","1.3779","-0.30085","-0.21261","-0.043784","0.62317","-0.20566","0.25287"
"-9.3724","9.2646","0.80067","0.63897","-0.2328","0.57652","0.62473","-0.21064","0.24892"
"-10.446","8.2469","-0.77284","1.0249","-0.051354","0.86875","0.62748","-0.22075","0.25898"
"-10.118","7.8023","-1.7411","0.64082","0.22904","1.2005","0.62198","-0.23701","0.27258"
"-10.256","8.4704","-2.0147","-0.18688","0.36145","1.4151","0.61249","-0.27523","0.28787"
"-10.103","8.2409","-0.79594","-0.4038","0.32589","1.8904","0.59902","-0.32006","0.29726"
"-9.0292","9.1329","0.33504","-0.27531","0.079944","2.3125","0.58079","-0.36485","0.30055"
"-8.6045","8.0235","0.61488","-0.61458","-0.21277","2.6093","0.55837","-0.42111","0.29442"
"-7.6881","6.8737","0.2444","-0.73397","-0.45068","2.7432","0.53251","-0.48108","0.27654"
"-5.629","4.4669","0.27339","-0.65138","-0.25482","2.4652","0.49726","-0.54578","0.2551"
"-3.8528","1.9535","0.40184","-0.57848","-0.083657","1.8535","0.47031","-0.58537","0.23829"
"-2.1544","-0.004984","0.4831","-0.23411","0.3546","0.91547","0.45419","-0.60547","0.23211"
"0.31467","-0.9836","0.11363","-0.10473","0.39315","0.011884","0.44604","-0.61449","0.23058"
"-0.21833","1.1723","0.57324","0.68509","0.59963","-0.92323","0.44661","-0.60268","0.24883"
"-2.2182","2.6604","1.4918","0.9854","0.42289","-1.7005","0.45882","-0.56975","0.28504"
"-5.0127","3.8979","0.6165","1.0431","-0.052398","-2.2753","0.48274","-0.52382","0.31082"
"-7.2888","4.716","0.097217","0.55666","-0.32198","-2.5806","0.50987","-0.4732","0.32266"
"-9.5943","5.444","-0.42256","-0.13136","-0.24889","-2.9064","0.54513","-0.41909","0.31675"
"-12.036","6.7533","-0.20294","-0.57268","-0.096585","-2.8944","0.57242","-0.36386","0.30081"
"-12.598","8.5074","-0.53126","-0.40735","0.13079","-2.5624","0.59775","-0.30164","0.28294"
"-13.448","12.124","1.7735","-0.12972","0.023177","-1.8405","0.6084","-0.25305","0.27642"
"-11.068","13.741","1.2194","-0.10867","-0.34796","-0.80605","0.61602","-0.22807","0.2642"
"-9.866","12.352","1.02","0.36024","-0.39188","-0.11222","0.62563","-0.21488","0.25275"
"-10.342","8.3957","-0.36576","0.99518","-0.45206","0.51481","0.63087","-0.21208","0.24777"
"-9.2246","8.1164","-2.4888","0.97736","0.018438","0.83732","0.63188","-0.22208","0.25215"
"-9.2769","8.5101","-1.6199","0.4989","0.26662","1.0968","0.62531","-0.23948","0.26935"
"-9.9136","9.239","-0.76322","-0.30782","0.30251","1.3849","0.61739","-0.26545","0.28403"
"-9.6226","8.3059","0.264","-0.63068","0.21151","1.7917","0.60328","-0.31157","0.28713"
"-8.2954","8.7759","0.32016","-0.40288","0.056699","2.0484","0.58558","-0.36064","0.28851"
"-8.5045","8.5447","-0.17896","-0.44311","-0.1657","2.3362","0.56109","-0.41799","0.28516"
"-8.3487","7.085","-0.69942","-0.64383","-0.26058","2.426","0.53844","-0.47038","0.27484"
"-7.0193","4.1959","-0.81212","-0.88744","-0.073664","2.1117","0.51472","-0.51209","0.25896"
"-6.1173","3.2827","-0.38036","-0.78042","0.23099","1.7589","0.48775","-0.55077","0.24189"
"-4.7984","2.8197","0.41941","-0.51221","0.39005","1.452","0.46368","-0.58284","0.2312"
"-1.8799","2.1822","1.4016","-0.18997","0.50322","0.86229","0.43785","-0.60913","0.22666"
"0.49372","1.2895","1.9154","0.095837","0.75729","-0.075018","0.42689","-0.6193","0.23634"
"-0.17349","2.0194","2.5014","0.60113","0.68343","-0.93474","0.42606","-0.60833","0.26053"
"-1.4987","2.3467","1.8817","0.73873","0.31111","-1.6511","0.43691","-0.58156","0.28444"
"-4.6103","4.6886","2.0192","0.9247","-0.13676","-2.0983","0.46154","-0.54007","0.30583"
"-7.8668","4.3785","1.3689","0.76754","-0.36577","-2.3197","0.49444","-0.48664","0.31897"
"-10.071","5.4772","0.16803","0.39532","-0.46562","-2.5425","0.53075","-0.43339","0.31507"
"-11.27","5.8207","-0.62169","0.11881","-0.52283","-2.5799","0.56057","-0.38415","0.30174"
"-11.682","7.1941","-1.2617","0.18264","-0.47509","-2.4117","0.5895","-0.32868","0.28562"
"-11.534","9.8547","-2.492","0.28249","-0.081679","-2.1596","0.6093","-0.27465","0.27364"
"-12.086","14.349","-1.7428","-0.041635","0.025114","-1.5349","0.62175","-0.22246","0.25897"
"-10.027","15.342","-0.48703","-0.75116","0.016916","-0.49362","0.62531","-0.20628","0.24815"
"-8.5733","10.574","0.46268","-0.001609","-0.082808","0.43833","0.62324","-0.21026","0.24624"
"-9.5105","6.5395","-0.46708","0.48458","0.074627","0.68216","0.62083","-0.22374","0.25607"
"-11.298","6.5682","1.7478","0.91807","0.451","0.86323","0.61237","-0.23435","0.27656"
"-10.477","7.2103","3.2116","0.88019","0.083043","1.2791","0.60323","-0.25918","0.29522"
"-9.6769","7.4638","0.71398","0.54208","-0.2187","1.6669","0.60098","-0.28526","0.30431"
"-9.6299","9.047","-1.2225","0.17316","-0.3282","1.9107","0.5961","-0.31381","0.30519"
"-10.085","9.2605","-0.69167","-0.071979","-0.37144","2.2555","0.58789","-0.3609","0.30153"
"-8.1132","7.5678","-1.1529","-0.21058","-0.57454","2.5484","0.57394","-0.41409","0.28901"
"-6.2589","6.9327","-1.7527","-0.31604","-0.35699","2.6503","0.55169","-0.48372","0.26858"
"-5.4996","4.9371","-0.85742","-0.4519","-0.14784","2.3866","0.52068","-0.53814","0.25422"
"-4.1417","2.3106","-0.97734","-0.27584","0.32439","1.7222","0.49233","-0.57176","0.2488"
"-1.3627","-0.37337","-0.34839","-0.12289","0.55651","0.94498","0.47164","-0.59654","0.24998"
"-0.17375","1.2174","0.57409","0.39744","0.47649","0.11358","0.45658","-0.60453","0.26077"
"-0.17899","2.1481","0.40041","0.66538","0.28813","-0.78933","0.45319","-0.59395","0.28249"
"-1.8412","2.654","-0.20374","1.0522","0.1876","-1.5805","0.46728","-0.55975","0.31136"
"-4.5008","3.9803","-0.67876","0.64073","-0.034507","-2.1482","0.48743","-0.5156","0.33475"
"-6.7365","4.1542","-1.3241","0.26621","-0.26915","-2.6016","0.51665","-0.46391","0.34121"
"-9.7059","5.1456","-0.90465","-0.27113","-0.15456","-3.0011","0.54724","-0.40961","0.33521"
"-12.053","7.7974","1.1911","-0.72005","-0.11751","-3.0196","0.57843","-0.34466","0.31747"
"-11.089","9.3596","1.5614","-0.84747","-0.21784","-2.547","0.59868","-0.29407","0.29509"
"-11.787","11.293","1.1776","-0.32689","-0.07527","-2.085","0.61384","-0.2507","0.27979"
"-11.577","13.548","0.24904","0.28074","-0.15126","-1.1021","0.62309","-0.21276","0.27192"
"-10.619","12.65","-1.1487","0.17542","-0.18454","-0.15316","0.62791","-0.1951","0.26898"
"-10.207","9.3524","-1.2794","0.068549","-0.35328","0.49793","0.63349","-0.19539","0.26454"
"-9.9581","5.8829","-1.6983","-0.08992","-0.10316","0.70187","0.63553","-0.21264","0.26103"
"-9.6272","7.1268","-1.1453","0.33746","0.24131","0.84223","0.63201","-0.22873","0.26612"
"-9.7513","9.31","-1.4653","0.22973","0.24004","1.2785","0.62421","-0.25456","0.28042"
"-9.8089","9.1351","-0.92606","-0.37086","0.24284","1.6668","0.612","-0.29314","0.28946"
"-9.4774","8.9679","-0.078924","-0.68535","0.24506","1.9756","0.59304","-0.3462","0.29547"
"-9.1582","8.2683","0.73854","-0.48787","0.017811","2.3569","0.57223","-0.40093","0.29242"
"-8.4052","7.1385","0.81491","-0.29863","-0.2784","2.636","0.54899","-0.45239","0.2848"
"-6.967","6.2302","0.5747","-0.51586","-0.29649","2.5818","0.52155","-0.50599","0.27087"
"-4.9372","3.6886","0.52822","-0.80043","-0.27454","2.1278","0.49475","-0.55539","0.24705"
"-2.8586","0.32289","0.31855","-0.69452","0.19471","1.3468","0.47053","-0.59325","0.22385"
"-0.99904","-1.0498","0.3424","-0.24599","0.34324","0.53394","0.45674","-0.61413","0.21726"
"0.35349","0.33492","0.48811","0.61759","0.49414","-0.34973","0.45106","-0.61525","0.22886"
"-0.61145","2.145","0.72184","1.2255","0.59018","-1.2195","0.45273","-0.59164","0.26538"
"-3.2105","3.8714","1.493","1.1801","0.26803","-2.0146","0.47006","-0.55114","0.30208"
"-5.8757","3.7545","1.8147","0.78488","-0.27959","-2.2901","0.49636","-0.49246","0.32716"
"-8.119","4.7667","-0.25714","0.452","-0.52573","-2.687","0.53075","-0.43829","0.32681"
"-11.682","6.067","-0.73528","0.044222","-0.41708","-2.8632","0.56298","-0.3835","0.3175"
"-12.584","8.2335","-1.3935","-0.32187","-0.42051","-2.7658","0.59309","-0.32309","0.30181"
"-10.952","9.9318","-2.4504","-0.32639","-0.044336","-2.3659","0.61291","-0.26757","0.28422"
"-13.111","14.63","-1.7937","-0.05149","0.30893","-1.7552","0.62113","-0.21458","0.27705"
"-11.698","15.198","0.1698","-0.53719","-0.12681","-0.37808","0.62107","-0.19301","0.26996"
"-8.8743","8.1577","0.53429","-0.51609","-0.16307","0.36666","0.62357","-0.20453","0.26332"
"-9.6682","8.3963","0.11293","0.71414","-0.039212","0.46826","0.62162","-0.21139","0.26663"
"-9.983","8.4267","-0.26855","0.56771","-0.078233","0.90917","0.61996","-0.22179","0.27571"
"-9.0595","8.5986","-1.0605","0.056524","0.23291","1.3154","0.61506","-0.25975","0.28261"
"-9.1909","8.0875","-0.91251","-0.30283","0.43336","1.5108","0.60379","-0.29354","0.29624"
