"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-8.0436","0.80668","4.2","-1.6692","-1.2642","0.071601","0.89231","0.33107","0.27966"
"-3.3853","-0.3833","-2.7574","0.53989","-0.17758","0.89569","0.91259","0.30417","0.23754"
"-9.4802","-2.5212","-1.212","-0.33121","-0.68772","0.60426","0.9238","0.2807","0.22227"
"-22.838","-7.3452","-13.509","1.2016","1.7098","-0.35773","0.92233","0.26628","0.23796"
"-29.195","1.8655","3.5189","0.34509","0.45378","-1.4154","0.89087","0.30861","0.30316"
"-17.662","1.9634","-5.395","0.45909","-0.45866","-0.88963","0.88813","0.34223","0.27502"
"-11.154","2.3881","3.2656","-0.3186","0.54294","-1.0165","0.85891","0.38435","0.31435"
"-2.585","6.0697","2.5784","-0.34509","-0.10517","-0.50178","0.85447","0.41404","0.2968"
"2.9694","6.839","3.1993","-1.699","-1.1686","-0.53312","0.86051","0.41005","0.2928"
"5.1424","0.95378","-0.56184","2.284","-0.32277","-0.34838","0.86468","0.43135","0.2519"
"-1.4908","-3.9091","1.1108","1.0595","0.18124","-0.087105","0.85626","0.45459","0.23821"
"0.59614","-1.7117","-2.3308","0.44433","-0.32622","-0.27578","0.85813","0.46388","0.21359"
"-2.0672","1.3882","-3.7081","-1.0496","0.24741","-0.18211","0.8489","0.47322","0.2186"
"-9.341","5.3788","-7.2497","-3.1816","1.7994","0.087109","0.82856","0.45657","0.29692"
"-48.565","-0.18438","-5.3083","-0.88001","3.9615","1.5859","0.80617","0.39234","0.41138"
"-19.842","-1.8136","2.6904","0.55905","-1.4296","-0.11667","0.80665","0.40042","0.40592"
"-11.161","-1.2751","-4.9233","1.187","-1.6663","0.23236","0.82802","0.40746","0.363"
"-6.9011","3.4834","3.6199","0.56895","0.50489","-0.48014","0.82264","0.43151","0.34711"
"-3.2536","3.8095","-0.9737","-0.068381","-0.97288","0.18513","0.83386","0.446","0.30239"
"-0.24734","-1.0784","-3.924","0.15005","-0.027928","-0.19246","0.84381","0.44738","0.27895"
"-4.4681","-0.083207","-2.0142","-0.076037","0.29494","-0.1492","0.83698","0.45275","0.28745"
