"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-0.97993","3.5678","-0.75793","-3.981","-0.93271","0.35966","0.68223","-0.09575","0.48252"
"1.7796","-1.9864","1.1492","-1.4369","-0.068491","0.40533","0.66307","-0.18798","0.46881"
"1.7044","-10.534","4.3081","1.1978","1.3048","0.2688","0.63922","-0.20576","0.51597"
"-11.553","1.8449","-9.5215","-0.9463","1.176","-0.1182","0.64673","-0.18142","0.56488"
"-35.551","4.094","18.264","-0.18831","-0.46262","1.1807","0.52624","-0.2818","0.66456"
"-12.231","-15.793","-6.8225","1.0255","0.27702","0.43165","0.55117","-0.30916","0.63372"
"-19.869","-6.4314","-16.432","-0.77986","2.3368","-1.7143","0.49205","-0.25108","0.71789"
"-13.393","3.9561","0.43276","-0.4399","-2.5476","-1.7438","0.53408","-0.22419","0.66974"
"-10.15","0.6042","3.4126","-0.52306","-0.28832","-1.2769","0.60482","-0.19975","0.58539"
"-6.6528","2.8256","-0.82608","4.259","-1.0393","-0.052524","0.61581","-0.13817","0.57546"
"-1.8271","8.8452","-6.4227","5.6734","-2.0995","0.51365","0.63736","-0.02754","0.55352"
"-2.4137","7.1397","0.965","-1.2936","-0.46618","1.767","0.6534","-0.017703","0.53392"
"-0.48773","-2.0399","-0.78695","-3.6481","-0.25279","0.79917","0.65966","-0.11711","0.52258"
"0.99821","-5.3202","1.3472","-3.4064","0.020308","-0.10486","0.65551","-0.21526","0.51193"
"-5.4907","-8.8098","-2.4857","1.9372","0.45835","-0.010329","0.65116","-0.23988","0.54411"
"-40.868","13.916","-23.973","-3.0851","6.8437","2.9276","0.55678","-0.29501","0.64894"
"-14.363","-5.6068","5.1203","4.7533","-4.2265","0.71207","0.53704","-0.22027","0.69007"
"-20.804","-13.177","-12.91","-3.1379","2.4683","-2.5106","0.55106","-0.1815","0.6922"
"-15.945","4.6451","0.028128","1.3805","-1.2831","-1.9958","0.55935","-0.16859","0.6717"
"-7.0345","0.72427","-2.6471","0.81068","-2.1525","-1.0829","0.63323","-0.079908","0.58735"
"-3.8851","1.6477","-1.6845","2.6423","-0.13842","-0.45528","0.643","-0.013419","0.56275"
"-0.8825","18.106","-3.4577","1.2668","0.21404","-0.67034","0.66189","0.007218","0.51614"
"-0.92268","1.0271","-1.0991","-2.5865","-1.408","2.0492","0.67705","-0.06551","0.49772"
"0.6176","-6.5199","-4.4737","-0.80229","-0.35002","1.5846","0.67227","-0.10899","0.49878"
"0.7862","-8.7871","5.2481","0.50324","0.34532","0.85898","0.65814","-0.14551","0.52531"
"-6.8347","-7.8233","-6.5351","2.4128","1.0547","-0.56817","0.64569","-0.11692","0.58345"
"-72.748","19.144","26.533","5.6778","4.1882","1.0136","0.49107","-0.27131","0.69991"
"-19.993","-11.811","-1.4983","-0.035893","0.49609","0.036478","0.58201","-0.26165","0.62136"
"-18.131","-6.7014","1.4446","-2.0371","-2.589","-1.44","0.56949","-0.15011","0.65167"
"-2.5739","7.5642","-9.2873","3.608","-2.3483","-2.2646","0.63894","-0.022337","0.56727"
"0.45181","9.8989","-6.9482","1.0149","0.58148","-0.47379","0.64586","0.017876","0.54365"
"-0.89075","10.28","1.2323","-2.1721","-0.64172","0.40741","0.69309","0.009366","0.49556"
"-2.0924","-0.34104","0.34937","-3.3271","-0.25028","1.292","0.70321","-0.093016","0.47372"
"1.6345","-9.463","-0.93131","-0.96808","-0.17986","0.86886","0.66773","-0.18363","0.48727"
"-1.0926","-7.0472","10.67","0.83353","0.003987","-0.069198","0.66247","-0.19948","0.5173"
"-7.9095","-0.85383","-9.9255","3.3059","0.14636","2.0758","0.6602","-0.16955","0.57708"
"-42.796","3.8697","14.787","1.2805","3.7439","1.4255","0.57542","-0.24154","0.67588"
"-20.928","-11.76","-18.278","3.4297","1.1111","0.14348","0.58277","-0.19152","0.68979"
"-20.625","-0.49388","-4.0142","-2.0788","-0.50226","-2.2856","0.52696","-0.093267","0.73909"
"-12.856","3.6793","6.1684","-3.3701","-2.9068","-2.0905","0.5766","-0.11723","0.6703"
"-3.5145","6.4361","1.4088","0.24801","1.0884","-1.6238","0.63024","-0.054358","0.59079"
"-1.7045","5.574","-5.974","3.8371","-1.6611","-0.12557","0.68682","0.061618","0.50922"
"0.43493","14.653","9.4545","-0.90341","0.95418","2.0558","0.68793","0.092409","0.49395"
"-0.93399","-5.1729","-7.0497","-2.0641","-0.48079","1.3615","0.68448","-0.01494","0.50382"
"2.183","-13.624","-2.4163","-1.7397","0.22427","0.073007","0.68208","-0.067924","0.51269"
"-0.92158","-2.883","6.7754","0.51477","-0.31331","-1.1367","0.69601","-0.08944","0.52369"
"-7.5627","-4.8687","-14.386","1.2934","0.85355","-0.87559","0.72762","-0.056469","0.55859"
"-68.236","16.726","24.436","-1.1383","0.58545","3.7218","0.54892","-0.16579","0.73312"
"-26.361","-12.516","-11.289","-1.2445","0.8672","1.2598","0.56747","-0.22999","0.6734"
"-13.369","-14.039","-4.0188","2.6646","-0.75611","0.24685","0.55972","-0.2258","0.65282"
"-7.1672","3.2215","-2.75","2.2916","-0.91075","-1.4901","0.60092","-0.13184","0.62272"
"-0.18078","1.8562","-1.4077","-1.0262","-0.86423","-0.25067","0.65046","-0.14754","0.53448"
"0.17593","-2.5494","-5.6648","-0.88832","-0.20801","0.038696","0.66167","-0.17383","0.51043"
"3.7256","0.87165","2.8283","-0.59359","-0.67984","-0.14359","0.66713","-0.1252","0.52125"
"1.3257","2.4903","-0.96552","-2.1966","-0.74611","0.18078","0.68649","-0.17455","0.49712"
