"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-1.8982","-5.6636","-0.06229","-0.44034","0.26564","0.072112","0.46179","0.22426","0.58614"
"-14.3","-12.956","-8.6661","1.7551","1.3512","-1.0816","0.43041","0.23116","0.60516"
"-26.826","-5.3854","0.72007","0.17306","2.4823","-0.005555","0.37054","0.24556","0.63746"
"-17.823","27.169","-2.5662","-0.59583","-0.14287","0.58934","0.34454","0.23778","0.65653"
"-21.173","-0.45982","-3.3697","0.61874","-1.2645","-0.55094","0.37435","0.23426","0.64031"
"-14.58","-5.7557","0.50015","-0.087563","-0.82629","0.42786","0.41671","0.2444","0.61097"
"-6.9718","2.7477","-1.7913","-0.54853","-1.003","-0.23084","0.44308","0.22842","0.60177"
"1.1839","-2.451","-2.1755","-0.4716","-0.96585","0.017191","0.47704","0.21601","0.58426"
"2.0536","-3.1875","0.078392","0.024514","0.2264","0.14028","0.48491","0.21916","0.57809"
"-0.39683","0.52836","0.30848","0.4032","0.046741","0.10564","0.48075","0.22438","0.57839"
"-0.08513","-1.9882","1.7787","0.069748","0.009027","0.03926","0.47384","0.2272","0.57891"
"-3.4817","-5.6597","-3.3388","-1.0385","0.46404","-0.31697","0.46052","0.21341","0.59226"
"-31.371","-30.492","0.084038","0.58623","0.1126","-2.3231","0.42039","0.24929","0.60291"
"-16.796","22.303","-1.1933","-0.40549","2.3438","0.47502","0.35983","0.22564","0.65354"
"-19.386","17.22","-5.4867","0.026348","-0.74356","-0.18845","0.37034","0.21577","0.65008"
"-21.766","-11.497","0.45443","0.14883","-2.4686","0.42703","0.40947","0.23918","0.6188"
"-12.489","-0.91155","0.80406","0.12685","-0.64514","0.42381","0.43102","0.22526","0.6094"
"-4.1459","-1.0207","-0.49712","-0.58456","-0.65944","-0.16803","0.45604","0.2209","0.59463"
"2.1992","-4.7657","-1.6715","-0.62805","-0.23471","0.40741","0.48889","0.21014","0.57639"
"0.54678","0.80295","-0.43684","-0.26068","0.024493","0.15733","0.48934","0.19326","0.58123"
"0.88528","-3.0323","-0.008167","0.3307","0.16305","0.037419","0.48814","0.1943","0.58144"
"-2.0849","-5.3568","0.047444","0.095908","0.42089","0.02668","0.4624","0.19248","0.59603"
"-15.085","-9.3197","-5.0089","0.5317","1.5092","-0.88736","0.42985","0.20055","0.61566"
"-26.851","-7.1815","1.6711","-0.47568","1.7995","-0.19023","0.39635","0.21731","0.63284"
"-19.683","34.957","-3.5179","-0.12259","0.10759","1.1566","0.36354","0.19531","0.65978"
"-22.263","-7.0376","-3.0756","0.53939","-2.1237","-0.89398","0.41079","0.19843","0.63141"
"-10.78","-1.1632","2.1396","0.96646","0.037332","0.41109","0.43483","0.20526","0.61428"
"-5.551","2.2371","-3.1418","-0.84624","-1.1804","0.014111","0.45846","0.20364","0.59914"
"2.5541","-6.7966","-2.6258","-0.09742","-0.49697","0.36811","0.50186","0.19417","0.57139"
"1.5016","-2.6321","2.0145","0.039929","0.24935","0.028517","0.50008","0.19017","0.57539"
"0.45946","-1.8038","-0.60072","0.65541","0.22555","0.001017","0.4933","0.19653","0.57824"
"-0.47701","-1.6786","-0.98974","0.60283","0.34262","-0.019367","0.47089","0.20861","0.58658"
"-7.8172","-7.9869","-5.1351","0.52945","1.0575","-0.79238","0.44635","0.21522","0.60106"
"-28.567","-15.37","-0.1864","-0.19785","2.4341","-0.27059","0.4064","0.25286","0.61566"
"-18.611","26.268","-2.5207","-0.067281","1.7167","1.0965","0.35728","0.23931","0.65201"
"-20.557","9.635","-2.9869","-0.50119","-1.415","-0.68371","0.38316","0.205","0.64724"
"-16.46","-11.291","2.6962","0.43757","-1.1968","0.77434","0.41112","0.23724","0.61743"
"-11.278","4.1322","-3.3604","-0.50401","-0.90408","0.23831","0.43561","0.23469","0.60487"
"-0.34585","-2.7402","-3.0672","-0.779","-1.1731","-0.18714","0.48011","0.22562","0.57754"
"1.7508","-6.3939","2.9349","-0.15432","0.30858","0.38129","0.49549","0.21227","0.57112"
"0.31834","-1.3116","-0.18341","0.055195","0.082729","-0.038209","0.49362","0.21025","0.57428"
"0.97916","-0.087953","-0.64707","0.2359","0.11642","-0.16903","0.47595","0.20892","0.58674"
"-0.90623","-6.5411","-2.7134","-0.45852","0.30942","-0.06003","0.46704","0.20432","0.59132"
"-17.06","-14.904","-7.7528","1.9611","1.8433","-1.2873","0.43341","0.22753","0.60798"
"-24.579","-1.4582","2.3988","-0.01598","2.6053","0.42424","0.38097","0.24759","0.63405"
"-17.031","36.032","-4.9031","-0.66612","-0.95126","0.42601","0.36129","0.23212","0.65108"
"-24.704","-11.301","-2.583","1.9552","-2.1952","-0.2997","0.38712","0.2453","0.6323"
"-12.56","-2.5536","0.49214","0.043036","-0.20384","0.456","0.42994","0.24251","0.60679"
"-5.4497","-0.51661","-1.9223","-0.51243","-1.1479","0.14655","0.47046","0.24209","0.57945"
"1.6953","-5.9608","-1.2261","-0.46788","-0.2372","0.15948","0.49334","0.22831","0.56996"
"2.429","1.8593","0.26421","-0.47474","0.14829","0.052907","0.49348","0.21933","0.57398"
"-0.27411","-2.2385","0.77527","-0.14615","-0.1464","-0.037119","0.48151","0.19884","0.58644"
