"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-4.2474","-0.11825","2.0003","1.7984","1.7703","-1.0241","0.49487","0.57305","0.1227"
"-15.859","7.1751","3.9903","-2.2463","0.98339","-2.5521","0.43738","0.61102","0.15757"
"-16.501","21.473","-3.7291","-0.93262","-1.0627","2.0888","0.42045","0.62321","0.20802"
"-27.033","-5.9699","-3.1667","-0.47234","-1.3776","3.4662","0.56074","0.59627","0.16578"
"-20.222","3.8406","-10.765","0.039725","0.11225","4.4771","0.6947","0.54834","0.089896"
"-19.233","-10.394","-0.25283","-0.063981","-1.7954","5.3404","0.84087","0.40874","0.019025"
"-5.8661","-12.855","-0.003741","-1.6996","-1.2913","2.7279","0.92503","0.27011","-0.052524"
"-0.44939","-17.631","-6.6039","-0.50269","-0.42502","0.92308","0.97752","0.18536","-0.087745"
"4.7079","-15.835","-5.7947","-1.1157","0.50581","-1.3201","0.96541","0.20044","-0.079789"
"-3.046","-2.4445","1.2523","-2.3103","0.27602","-2.5214","0.91123","0.28337","-0.033576"
"-18.219","-2.461","-3.6508","0.098866","1.2841","-2.9705","0.83813","0.38474","0.053482"
"-12.54","-4.8148","1.7729","0.44698","1.7402","-3.2493","0.72522","0.49648","0.11068"
"-32.366","-3.1819","-7.1939","1.1665","1.9417","-4.9613","0.56856","0.61478","0.1978"
"-26.658","2.5834","-1.5087","0.97206","1.7999","-4.3133","0.41046","0.66128","0.24162"
"-13.381","3.9938","0.40032","1.5277","1.321","-1.6936","0.3285","0.65254","0.24446"
"-4.7636","10.448","-0.39294","2.2818","-0.40263","0.20455","0.34279","0.64766","0.2137"
"4.0016","12.351","5.5949","1.9961","-1.6602","2.2307","0.40607","0.64629","0.10324"
"-0.078611","-6.4862","1.6502","-1.3687","-1.0369","2.6608","0.50078","0.58997","0.056109"
"-5.0351","-6.8488","-3.3951","-0.2861","1.8715","0.95042","0.52298","0.58039","0.096005"
"-14.73","-13.728","-1.2466","1.2053","0.98142","-0.29637","0.50011","0.61008","0.092067"
"-5.4805","13.301","5.0114","-3.7748","0.28385","-3.2507","0.43115","0.64071","0.15775"
"-20.042","18.608","-4.1179","-1.9843","-1.2619","2.7918","0.43184","0.65393","0.20025"
"-32.163","-13.125","3.3613","-0.018809","-0.71755","3.0453","0.56525","0.63307","0.17771"
"-19.803","2.4251","-8.1319","0.74943","-0.091609","4.2957","0.69935","0.56258","0.12494"
"-17.716","-13.17","1.1175","1.4353","-2.0552","4.7881","0.84796","0.42969","0.025232"
"-5.9418","-11.905","-2.6023","-1.0003","-0.7886","2.8978","0.92634","0.28956","-0.047536"
"4.3484","-23.851","-7.3913","-1.5034","-0.7297","0.55346","0.94732","0.2284","-0.076775"
"3.5946","-11.629","-2.276","-1.1967","0.11502","-1.8395","0.909","0.24521","-0.070752"
"-3.2166","-1.7356","1.7146","-2.9099","0.33605","-2.8966","0.846","0.33586","0.003428"
"-26.09","-4.6136","-5.6274","0.75811","1.1572","-3.3637","0.77664","0.43735","0.096175"
"-14.046","-4.2207","0.52382","0.93576","1.909","-3.4351","0.65038","0.52919","0.15623"
"-31.311","0.11368","-6.8086","1.2699","2.0188","-4.5212","0.48742","0.59886","0.2268"
"-24.29","3.2752","-1.6984","1.6666","1.605","-3.3749","0.31886","0.64855","0.28615"
"-11.882","4.4071","-0.17091","1.3536","1.0607","-1.0019","0.25969","0.67176","0.28834"
"-4.4047","14.502","-0.35353","1.7868","-0.28458","0.59697","0.27437","0.68103","0.25096"
"3.568","3.2195","6.9376","1.0446","-0.98468","2.3901","0.34363","0.67853","0.14204"
"0.93032","-7.9416","-6.4798","-3.2661","-1.9283","2.7025","0.42573","0.62444","0.12816"
"-5.4381","-9.2436","2.6877","1.1794","1.441","1.0284","0.47117","0.61581","0.16056"
"-26.228","-25.633","-3.6395","0.60071","1.3425","-0.49035","0.44223","0.65091","0.14757"
"-4.5579","21.955","-1.4342","-3.062","1.7666","-3.0499","0.3376","0.674","0.23825"
"-19.957","10.718","-3.9734","-2.238","-1.9659","3.3813","0.38473","0.65931","0.25835"
"-24.902","-11.381","3.3617","-0.068245","-1.3052","2.5949","0.5373","0.62377","0.18641"
"-21.384","-2.4325","-7.589","0.60064","-0.10896","3.8021","0.65288","0.55524","0.14429"
"-14.154","-11.037","1.5943","-0.014407","-1.7166","4.217","0.77404","0.43286","0.061812"
"-3.4898","-9.9259","-3.4968","-0.3881","-0.94497","2.5322","0.86529","0.31365","-0.00934"
"4.8308","-21.759","-7.9751","-0.39899","-0.27142","0.41873","0.88173","0.26007","-0.037538"
"1.173","-10.015","0.72051","-1.467","0.038683","-1.9541","0.85128","0.30217","-0.006657"
"-4.3072","0.57324","0.86564","-1.9358","0.14388","-3.0229","0.76279","0.38534","0.064855"
"-35.013","-11.451","-3.6824","0.37009","1.6318","-4.135","0.66042","0.49593","0.14762"
"-22.498","-3.8561","-2.7258","0.043814","2.0654","-3.9002","0.54656","0.58647","0.23702"
"-28.216","4.2432","-4.1154","1.0634","1.5073","-4.5582","0.38172","0.64662","0.30917"
"-21.476","1.3825","-0.38597","1.6855","1.675","-2.4929","0.25318","0.68756","0.32923"
"-8.692","2.8163","1.8734","1.8415","0.36827","-0.1489","0.19971","0.69725","0.3016"
"-1.8239","17.362","-1.2884","3.2151","-0.36484","0.82861","0.24221","0.71157","0.2276"
