"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-1.1205","6.5739","4.0355","-0.10691","2.2527","-2.2278","0.49405","-0.71705","0.14921"
"-10.408","10.433","4.8501","-3.7541","-2.3454","0.2893","0.52222","-0.71315","0.076197"
"-6.1385","27.673","-15.91","-3.2239","2.4591","-1.0301","0.55468","-0.70322","-0.07771"
"-7.53","-80.885","-5.819","7.4205","-1.3504","0.89632","0.51115","-0.74733","-0.04085"
"-10.925","13.238","-2.7109","-2.4403","0.65291","-5.192","0.5976","-0.69754","0.06822"
"-22.914","-13.648","-5.1433","-2.684","-0.46521","-3.1226","0.7029","-0.60918","0.03895"
"-26.648","4.7256","3.9448","-1.5134","0.81692","-3.967","0.79426","-0.48072","0.052145"
"-13.758","4.3475","2.5686","0.22081","-0.13143","-3.524","0.87037","-0.33754","0.13683"
"-8.7357","16.302","-1.755","3.3686","-0.65006","-1.8894","0.88279","-0.23619","0.18727"
"3.8914","35.418","-2.1373","1.7712","0.27602","0.13316","0.8709","-0.18984","0.17464"
"-0.51583","1.0714","7.6849","1.6708","-0.73484","1.8818","0.86515","-0.24401","0.14743"
"-7.722","-2.1945","-5.5108","2.4839","0.22315","2.2458","0.85435","-0.32264","0.10845"
"-30.74","1.6905","-2.2712","0.21783","0.1275","3.9099","0.82075","-0.4476","0.096901"
"-32.768","-16.82","-0.28111","-2.5058","-0.053793","4.2481","0.72301","-0.58031","0.015872"
"-16.99","-13.136","-3.6594","1.6231","-0.34483","4.4494","0.59891","-0.68383","-0.009059"
"-9.0223","-11.02","0.18964","1.8967","0.30534","1.8107","0.49565","-0.74128","0.081793"
"2.938","-11.6","3.0865","-0.51823","-0.74348","0.9707","0.46126","-0.74304","0.1575"
"5.7171","-8.1932","-1.9481","-0.50524","0.45066","-1.4216","0.45259","-0.7405","0.1472"
"-2.2623","4.8439","0.56329","0.64558","1.3792","-1.6802","0.50129","-0.70318","0.18114"
"-2.1796","4.8597","4.0686","-0.89325","-1.8901","0.40242","0.54252","-0.70339","0.12475"
"-46.866","48.468","-3.8315","-5.2663","6.113","-0.009407","0.56915","-0.70409","0.072767"
"5.8712","-48.553","-13.215","5.2639","0.34469","-0.8854","0.51121","-0.74697","0.11585"
"-19.146","3.9182","-9.3331","-3.1823","0.67661","-5.4498","0.64291","-0.65466","0.14858"
"-16.516","-5.5413","-4.4084","-2.4607","-1.2677","-3.102","0.74759","-0.55317","0.12927"
"-23.55","2.4472","4.7598","-0.47237","-0.33371","-3.9295","0.83395","-0.42395","0.15785"
"-12.894","7.0643","1.12","1.0978","-0.41103","-3.3384","0.86824","-0.29196","0.18881"
"-3.0736","26.788","-3.8134","1.9687","-1.2519","-1.5592","0.88056","-0.19015","0.21023"
"0.040509","14.753","7.7262","0.94493","0.24999","1.6188","0.8623","-0.19338","0.18726"
"-3.7083","-0.71862","2.2809","2.7893","-0.55897","1.8253","0.85312","-0.27037","0.14133"
"-24.4","4.1657","-7.1282","1.122","1.5495","1.6514","0.85274","-0.3465","0.13043"
"-20.728","8.6334","-4.9511","-2.0036","0.008951","3.3549","0.77919","-0.49682","0.10289"
"-20.2","-21.152","-1.5319","-1.3068","0.36663","3.4212","0.66074","-0.61994","0.010982"
"-14.952","-13.643","-2.2974","3.009","-0.071019","3.1912","0.51962","-0.71701","0.061248"
"-3.7007","-8.3788","1.239","1.0301","0.83289","0.20699","0.47216","-0.72178","0.17111"
"4.6238","-7.2995","2.1178","-2.2508","-0.13209","-0.53238","0.46147","-0.72225","0.19078"
"4.9706","0.99209","-0.4576","0.12022","2.3641","-1.3277","0.50772","-0.68832","0.18999"
"-7.7144","13.993","-4.5679","-3.1952","-1.1576","0.53517","0.52825","-0.68735","0.13655"
"1.11","-5.1097","2.3975","-1.1148","-0.10661","0.34467","0.54185","-0.70217","0.007587"
"-39.78","-13.612","17.018","1.6379","1.075","2.2947","0.54503","-0.70955","-0.024523"
"-6.0021","-5.4931","-2.3516","0.49659","0.57863","-3.8551","0.57722","-0.69288","0.080274"
"-31.193","-2.3991","-3.9564","-2.8391","0.29794","-3.232","0.70301","-0.58907","0.04932"
"-22.613","-2.0524","5.6088","-1.4798","1.0728","-3.9966","0.78022","-0.47192","0.066958"
"-16.101","6.0487","0.62156","1.3271","-0.45896","-3.1129","0.85355","-0.30994","0.18765"
"-7.2254","22.852","0.7591","3.4169","-1.0266","-2.1341","0.86659","-0.19371","0.22859"
"3.6305","27.845","-2.7945","2.1606","-0.32482","0.14242","0.85413","-0.14608","0.20915"
"-0.16741","5.782","4.2056","1.3884","-0.088557","2.0018","0.85513","-0.20203","0.1794"
"-6.8136","0.61221","-6.9061","1.9225","0.41162","1.9846","0.85292","-0.2889","0.13967"
