"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-3.5181","15.989","0.77058","-2.1594","-0.075838","0.79907","0.79058","-0.013604","0.43872"
"-5.8289","3.4341","3.7466","-1.7608","-0.38583","2.5938","0.78275","-0.12066","0.41075"
"-7.6781","-3.7883","1.8865","1.1482","0.14124","2.9032","0.769","-0.21199","0.38629"
"-43.459","-11.845","-3.0705","1.3613","-0.48759","3.7629","0.74491","-0.29354","0.38376"
"-26.236","-10.964","-9.0506","-1.173","0.17638","2.9055","0.68567","-0.38643","0.38884"
"-15.929","-11.321","-7.2525","-0.27921","0.30634","2.2231","0.62633","-0.46851","0.40234"
"-5.3509","-11.019","-2.9735","0.60999","-0.094838","0.96732","0.57076","-0.49904","0.44916"
"2.055","-12.748","-2.3126","0.8194","-0.63099","-0.074658","0.5671","-0.49256","0.47723"
"3.4916","-4.2369","4.9702","0.83242","-0.62134","-1.1667","0.60389","-0.46325","0.48919"
"-2.7066","18","-2.3667","1.5281","0.55398","-1.5035","0.63562","-0.41074","0.48463"
"-19.191","12.202","1.7579","-1.7095","-0.15826","1.3957","0.58761","-0.42434","0.51909"
"-1.0635","-9.9019","-0.61507","0.59819","1.0067","0.41401","0.60283","-0.43829","0.47258"
"-12.744","-23.684","1.8064","1.6337","0.87995","-0.72827","0.60004","-0.41988","0.48587"
"-20.545","-8.986","-4.9692","1.2331","-0.66763","-2.1515","0.62436","-0.37398","0.48757"
"-19.567","-8.0054","-12.581","0.009004","-0.80352","-3.9996","0.67937","-0.28072","0.47067"
"-22.034","5.4733","-2.4713","-0.31116","-0.95626","-4.1491","0.73415","-0.14569","0.46053"
"-11.521","9.889","-0.97427","-0.17891","-0.77236","-3.0495","0.76813","0.001725","0.46165"
"-2.7209","17.352","-3.5518","-0.047627","-0.38451","-0.63765","0.77524","0.059593","0.46066"
"-2.6131","15.909","1.089","-2.1134","-0.2959","0.1313","0.7746","0.018628","0.44673"
"-4.7642","5.3974","3.4057","-2.0742","-0.40036","2.0205","0.7802","-0.064607","0.42356"
