"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-2.9073","-8.7406","-3.3491","0.001875","0.010796","0.006825","0.29222","0.42839","0.71212"
"-2.9223","-8.7331","-3.3493","-0.001679","-0.002804","-0.000487","0.29362","0.42774","0.71284"
"-2.9372","-8.7031","-3.357","-0.005249","-0.005575","-0.004109","0.29356","0.42643","0.7118"
"-2.9373","-8.748","-3.3347","-0.001449","0.002245","-0.016727","0.29336","0.42734","0.71284"
"-2.9223","-8.7032","-3.3642","0.001958","0.005276","-0.000443","0.2931","0.42812","0.71308"
"-2.9073","-8.7108","-3.349","-0.003468","-0.005541","-0.002317","0.29277","0.42813","0.71227"
"-2.9223","-8.7406","-3.3494","-0.005249","0.002523","-0.002251","0.29208","0.42786","0.71186"
"-2.9523","-8.733","-3.3499","0.001988","0.008832","-0.002213","0.29334","0.42853","0.71281"
"-2.9223","-8.7032","-3.3642","-0.010683","0.003437","-0.000424","0.29324","0.42747","0.7131"
"-2.9223","-8.7181","-3.3642","0.001953","0.003484","-0.000454","0.2915","0.42746","0.71118"
"-2.9223","-8.7182","-3.3493","0.011906","0.008878","-0.001347","0.2922","0.4276","0.71173"
"-2.9223","-8.7406","-3.3494","-0.012497","0.001637","-0.00043","0.29314","0.42773","0.71362"
"-2.9372","-8.7031","-3.3495","-0.003429","-0.000192","-0.004077","0.29399","0.42801","0.71258"
"-2.9522","-8.718","-3.3648","-0.006086","-0.00027","-0.007682","0.29368","0.42786","0.71377"
"-2.9523","-8.733","-3.3499","-0.006914","0.017615","-0.009369","0.29364","0.42787","0.71323"
"-2.9223","-8.7331","-3.3493","-0.02132","-0.004105","-0.016728","0.2941","0.42762","0.71219"
"-2.9298","-8.718","-3.3793","-0.00969","-0.016495","-0.01141","0.29438","0.42722","0.71221"
"-2.9223","-8.733","-3.3643","-0.002476","0.006942","-0.005847","0.29277","0.42642","0.7119"
"-2.9297","-8.7032","-3.3569","0.00188","0.012595","0.006845","0.29442","0.42788","0.71286"
"-2.9373","-8.748","-3.3496","-0.001634","0.012437","-0.000378","0.293","0.42787","0.71175"
"-2.9372","-8.7182","-3.3271","-0.000673","0.001536","-0.00769","0.29222","0.42811","0.71385"
"-2.9223","-8.733","-3.3792","-0.010021","-0.00519","0.015798","0.29354","0.42681","0.71338"
"-2.9372","-8.7181","-3.3496","-0.005307","-8.8e-05","0.001355","0.29237","0.4276","0.71213"
"-2.9223","-8.7331","-3.3493","-0.001693","0.008921","0.00321","0.29354","0.42893","0.71201"
"-2.9372","-8.7181","-3.3496","-0.017976","0.005317","0.005041","0.29457","0.42761","0.71314"
"-2.9372","-8.7106","-3.357","-0.007032","0.001588","-0.004056","0.29428","0.42774","0.71273"
"-2.9222","-8.6883","-3.3492","-0.008907","-0.009123","-0.001417","0.29279","0.42826","0.71254"
"-2.9223","-8.748","-3.3643","-0.007123","-0.005475","0.001318","0.29462","0.42789","0.71207"
"-2.9373","-8.7331","-3.3421","0.001939","-0.007305","-0.002328","0.29338","0.42655","0.71298"
"-2.9223","-8.7331","-3.3568","-0.007005","-0.002056","-0.0068","0.2932","0.42655","0.71245"
"-2.9223","-8.7181","-3.3642","0.001953","0.003484","-0.000454","0.29326","0.42801","0.71162"
"-2.9223","-8.7406","-3.3344","0.001898","0.003555","0.003165","0.29322","0.4292","0.71134"
"-2.9373","-8.7331","-3.3347","-0.023359","0.000741","0.001406","0.29231","0.42852","0.71158"
"-2.9373","-8.733","-3.3496","-0.014168","-0.002171","-0.011299","0.29432","0.42787","0.71339"
"-2.9223","-8.7181","-3.3642","-0.003468","0.001671","-0.000453","0.29339","0.42814","0.71163"
"-2.9447","-8.7031","-3.3496","-0.00156","0.005121","-0.007661","0.29229","0.42866","0.71132"
"-2.9373","-8.748","-3.3496","-0.00896","0.009869","0.006859","0.29197","0.42732","0.71386"
"-2.9073","-8.7332","-3.3491","-0.014261","0.006967","-0.002206","0.29295","0.42707","0.71269"
"-2.9223","-8.7181","-3.3642","-0.008786","0.001504","-0.007677","0.29241","0.42786","0.7128"
"-2.9223","-8.7181","-3.3642","-0.00892","-0.010896","-0.000524","0.29385","0.42761","0.71232"
"-2.9223","-8.7406","-3.3494","0.008316","0.003432","-0.004087","0.29297","0.42773","0.71308"
"-2.9223","-8.7182","-3.3493","-0.003391","0.012352","-0.004","0.29297","0.4276","0.71308"
"-2.9223","-8.7032","-3.3642","-0.008956","0.001762","0.004987","0.29265","0.42786","0.7124"
"-2.9373","-8.748","-3.3496","6e-06","0.00639","0.010432","0.29343","0.42827","0.71216"
"-2.9223","-8.748","-3.3494","-0.003546","0.000885","0.00497","0.2935","0.42655","0.71286"
"-2.9372","-8.7032","-3.3346","-0.002556","-0.004652","-0.003205","0.29397","0.42761","0.71219"
"-2.9223","-8.7106","-3.3642","-0.014212","-0.002101","-0.007688","0.29274","0.42601","0.71324"
"-2.9223","-8.7182","-3.3418","-0.001625","-0.00019","-0.004088","0.29305","0.428","0.71242"
"-2.9222","-8.7032","-3.3493","-0.00713","-0.006373","0.001311","0.29242","0.42838","0.71305"
"-2.9148","-8.7406","-3.3642","-0.001604","0.008791","-0.003126","0.29398","0.42748","0.71232"
"-2.9223","-8.7106","-3.3642","-0.001566","0.001531","-0.007695","0.29297","0.42865","0.71333"
"-2.9522","-8.733","-3.3349","0.000198","-0.001108","-0.005893","0.29185","0.4272","0.71226"
"-2.9373","-8.733","-3.3496","5.5e-05","-0.001787","0.004949","0.29189","0.4268","0.71267"
"-2.9372","-8.7106","-3.3495","-0.006264","-0.00181","0.004964","0.29488","0.42695","0.71356"
"-2.9148","-8.7107","-3.3641","-0.005049","0.003124","-0.016724","0.29282","0.4272","0.71282"
"-2.9148","-8.7331","-3.3492","-0.003531","0.009863","0.00593","0.29268","0.42825","0.71293"
"-2.9223","-8.7331","-3.3493","-0.016045","-0.002072","-0.005873","0.29313","0.42799","0.71348"
"-2.9223","-8.7107","-3.3493","9.6e-05","0.00355","0.003168","0.29407","0.42774","0.71352"
"-2.9223","-8.7479","-3.3793","-0.013392","0.001636","-0.000428","0.29361","0.42774","0.7127"
"-2.9222","-8.6883","-3.3492","0.005619","-0.001096","-0.005922","0.29311","0.42694","0.7131"
"-2.9298","-8.7405","-3.3495","-0.001621","0.008813","-0.002215","0.29398","0.42734","0.71405"
"-2.9223","-8.7182","-3.3493","0.001981","0.001635","-0.00318","0.29276","0.42773","0.71201"
"-2.9148","-8.7033","-3.3491","-0.014269","-0.003823","-0.004085","0.29332","0.42747","0.71243"
"-2.9298","-8.733","-3.3644","-0.006946","0.005061","-0.009463","0.29333","0.42734","0.71244"
"-2.9298","-8.7256","-3.3345","0.004642","-9.1e-05","-0.000481","0.29227","0.42838","0.71278"
"-2.9223","-8.733","-3.3643","-0.010626","0.006053","-0.004024","0.29357","0.42746","0.71391"
"-2.9148","-8.7331","-3.3567","-0.006172","0.007055","0.000491","0.29346","0.42761","0.71244"
"-2.9223","-8.7331","-3.3568","-0.012414","0.012319","-0.003977","0.29402","0.42734","0.71286"
"-2.9149","-8.763","-3.3493","-0.003611","-0.008921","0.007615","0.29215","0.42746","0.7128"
"-2.9372","-8.7181","-3.3496","-0.012532","-0.00551","0.000433","0.29329","0.42694","0.71364"
"-2.9223","-8.748","-3.3718","-0.001665","-0.000114","-0.000468","0.29344","0.42774","0.7123"
"-2.9372","-8.6882","-3.3495","-0.007148","-0.003643","0.003144","0.29273","0.42825","0.7136"
"-2.9073","-8.7183","-3.3341","-0.000642","0.002387","-0.009507","0.29296","0.42694","0.71283"
"-2.9373","-8.733","-3.3496","-0.016067","-0.009237","-0.005914","0.29264","0.42734","0.71215"
"-2.9222","-8.7032","-3.3493","-0.006189","0.002575","0.000464","0.29261","0.42879","0.71199"
"-2.9223","-8.733","-3.3643","0.001021","0.009828","0.003209","0.29357","0.42667","0.71379"
"-2.9373","-8.733","-3.3571","0.001965","0.012469","0.000517","0.29424","0.42735","0.7122"
"-2.9522","-8.7031","-3.3498","0.000238","-0.009266","-0.010472","0.29401","0.42748","0.71272"
"-2.9148","-8.7181","-3.3641","0.007464","0.002458","-0.007714","0.29465","0.42907","0.71258"
"-2.9223","-8.7032","-3.3642","-0.019711","0.002508","-0.000408","0.29257","0.42759","0.71307"
"-2.9223","-8.7332","-3.3344","-0.003529","0.016157","0.006881","0.29299","0.42748","0.71149"
"-2.9222","-8.7182","-3.3269","0.008251","-8.1e-05","-0.000493","0.29209","0.4276","0.71199"
"-2.9298","-8.7181","-3.3644","0.012751","0.008977","0.003177","0.29299","0.42734","0.71149"
"-2.9223","-8.7331","-3.3493","-0.014251","0.002453","-0.004039","0.29404","0.42734","0.71313"
"-2.9148","-8.7406","-3.3492","-0.010545","0.001421","-0.011294","0.29261","0.428","0.71187"
"-2.9523","-8.7404","-3.3499","-0.015869","0.008472","-0.016643","0.29292","0.42785","0.71428"
"-2.9372","-8.7031","-3.357","-0.000793","-7.1e-05","0.001344","0.29477","0.4271","0.71209"
