"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-4.0004","8.5223","2.7279","0.001674","0.008027","-0.007023","0.31629","-0.7041","-0.67556"
"-4.0303","8.5297","2.7273","0.003635","-0.006051","-0.016825","0.31604","-0.70399","-0.67492"
"-4.0302","8.5073","2.7123","0.007151","-0.002534","-0.014158","0.31561","-0.70435","-0.67533"
"-4.0302","8.5071","2.7423","-0.005312","0.003645","-0.013232","0.31511","-0.70337","-0.67378"
"-4.0301","8.5071","2.7573","0.00185","0.013318","-0.014928","0.31644","-0.70386","-0.67503"
"-4.0153","8.5222","2.7426","0.003459","0.015074","-0.006972","0.31581","-0.70416","-0.67374"
"-4.0152","8.5072","2.7501","0.005099","0.011555","-0.000823","0.31482","-0.70437","-0.67445"
"-4.0152","8.4998","2.7201","-0.003584","-0.007807","-0.01155","0.31437","-0.70383","-0.67513"
"-4.0153","8.5073","2.7276","-0.000187","0.01332","-0.002577","0.31468","-0.70335","-0.67419"
"-4.0152","8.4996","2.7576","-0.011454","0.008046","-0.016733","0.3158","-0.7039","-0.67388"
"-4.0003","8.4998","2.7279","0.002776","0.006258","-0.016746","0.31497","-0.70375","-0.67392"
"-4.0154","8.5223","2.7201","0.005308","0.008027","-0.010552","0.31522","-0.70285","-0.67417"
"-4.0003","8.4998","2.7279","-0.009352","0.00805","0.009737","0.3152","-0.70359","-0.67496"
"-4.0152","8.5072","2.7426","-0.001864","0.008038","-0.007907","0.31631","-0.70386","-0.67504"
"-4.0301","8.4996","2.7498","-0.000114","0.002762","-0.007062","0.31577","-0.70349","-0.6744"
"-4.0153","8.5223","2.7276","-0.007973","0.007162","-0.013206","0.31673","-0.70286","-0.67449"
"-4.0301","8.4996","2.7423","-0.010754","0.006296","-0.007921","0.31597","-0.70228","-0.67584"
"-4.0077","8.5072","2.7578","0.001628","0.017715","-0.004309","0.31465","-0.70308","-0.67472"
"-4.0152","8.5072","2.7426","-0.000869","0.024759","-0.01132","0.31534","-0.70169","-0.67417"
"-4.0303","8.5221","2.7423","0.003486","-0.002525","-0.009742","0.31504","-0.70281","-0.67523"
"-4.0227","8.5072","2.7424","0.003467","0.006275","-0.007919","0.31586","-0.70281","-0.67545"
"-4.0152","8.5072","2.7426","-0.004696","0.001004","-0.000897","0.3143","-0.70263","-0.67631"
"-4.0152","8.5071","2.7576","-0.01258","-0.006031","-0.007123","0.31418","-0.70163","-0.67553"
"-4.0301","8.4921","2.7423","-0.007057","0.020372","-0.013118","0.31502","-0.70304","-0.67575"
"-4.0153","8.5222","2.7426","0.003445","0.017715","-0.006071","0.31532","-0.70344","-0.67548"
"-4.0003","8.5072","2.7429","0.001734","0.009786","-0.00966","0.31563","-0.70361","-0.67467"
"-4.0376","8.5071","2.7421","-0.000987","0.001006","-0.007956","0.31563","-0.70386","-0.67467"
"-4.0004","8.5222","2.7429","-0.000157","0.013313","-0.004338","0.31454","-0.70424","-0.67446"
"-4.0152","8.5072","2.7426","-3.5e-05","0.015077","-0.009623","0.31577","-0.70348","-0.67454"
"-4.0152","8.5072","2.7426","0.002553","0.002752","-0.007061","0.31547","-0.70346","-0.67521"
"-4.0004","8.5222","2.7429","-0.005335","0.015075","-0.011385","0.31645","-0.70273","-0.67437"
"-4.0378","8.5222","2.7271","0.000655","0.01069","-0.000826","0.31718","-0.70467","-0.6742"
"-4.0152","8.5072","2.7426","0.006269","-0.0043","-0.015052","0.31601","-0.70396","-0.67557"
"-4.0152","8.5072","2.7426","-0.010833","0.006291","-0.004391","0.31629","-0.70296","-0.67504"
"-4.0302","8.5146","2.7498","0.008526","0.004519","0.004425","0.31476","-0.7028","-0.67537"
"-4.0302","8.5071","2.7423","-0.001772","0.016845","-0.011375","0.31475","-0.70241","-0.67537"
"-4.0153","8.5222","2.7426","-0.000884","0.018598","-0.01136","0.31478","-0.70484","-0.67563"
"-4.0078","8.5073","2.7277","0.000124","0.015948","-0.016677","0.31576","-0.70398","-0.67506"
"-4.0377","8.5072","2.7271","-0.000132","0.001005","-0.006191","0.31576","-0.7031","-0.67454"
"-4.0152","8.4998","2.7276","-0.003508","0.015078","-0.013155","0.31515","-0.70215","-0.67562"
"-4.0153","8.5147","2.7426","0.001523","0.000116","-0.000902","0.31686","-0.70424","-0.67527"
"-4.0152","8.4997","2.7426","-0.003579","0.009799","-0.010544","0.31573","-0.7032","-0.67533"
"-4.0078","8.5072","2.7427","0.003588","0.009785","-0.013189","0.31467","-0.70424","-0.67458"
"-4.0302","8.4997","2.7273","0.008963","0.029153","-0.013055","0.31454","-0.70424","-0.67459"
"-4.0153","8.5073","2.7276","-0.016169","0.002776","-0.004416","0.31473","-0.70315","-0.67616"
"-4.0377","8.5146","2.7496","-0.007468","-0.013063","0.002536","0.31559","-0.7037","-0.67559"
"-4.0302","8.5146","2.7423","-0.005444","0.00629","-0.007035","0.31587","-0.7032","-0.67532"
"-4.0152","8.4922","2.7351","0.001945","0.017709","-0.018432","0.31628","-0.70345","-0.67556"
"-4.0303","8.5221","2.7423","-0.007351","0.009817","-0.000833","0.31505","-0.70357","-0.67536"
"-4.0003","8.5073","2.7279","0.014837","0.006254","0.000904","0.31363","-0.70276","-0.67595"
"-4.0452","8.5221","2.742","-0.003448","0.011571","-0.016703","0.31452","-0.70358","-0.67486"
"-4.0154","8.5223","2.7126","-0.010674","-0.014841","-0.01336","0.31534","-0.70347","-0.67482"
"-4.0152","8.4923","2.7276","-0.007024","0.015081","-0.014921","0.31535","-0.7017","-0.67403"
