"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-5.0434","8.1838","1.9233","0.01325","0.011499","-0.001288","0.52254","-0.086983","-0.48303"
"-5.0435","8.1988","1.9233","0.008072","0.004459","-0.009276","0.52277","-0.086941","-0.4842"
"-5.0434","8.1838","1.9233","0.00261","-0.005214","-0.004053","0.52265","-0.087463","-0.48394"
"-5.0434","8.1763","1.9158","0.007999","0.00182","-0.00577","0.52278","-0.088476","-0.48432"
"-5.021","8.1764","1.9238","0.003501","0.016781","-0.002137","0.52316","-0.087061","-0.48457"
"-5.0508","8.1762","1.9382","-0.009659","0.009766","-0.011009","0.52263","-0.088587","-0.48472"
"-5.0359","8.1689","1.916","0.007995","0.020302","-0.003878","0.52194","-0.087181","-0.48437"
"-5.0508","8.1688","1.9232","-0.006116","0.020325","-0.009173","0.5225","-0.087702","-0.48434"
"-5.0508","8.1688","1.9232","0.00815","0.011502","-0.01188","0.52358","-0.087195","-0.48455"
"-5.0509","8.1838","1.9232","0.001137","0.026474","-0.015303","0.52362","-0.088242","-0.48402"
"-5.021","8.169","1.8938","0.004414","0.023821","-0.002091","0.52325","-0.087136","-0.4826"
"-5.0509","8.1689","1.8857","0.00109","0.023833","-0.012679","0.52327","-0.088296","-0.48247"
"-5.051","8.2062","1.9307","0.000834","0.022081","-0.002093","0.52363","-0.089643","-0.48428"
"-5.0136","8.1765","1.8939","0.004661","0.013247","-0.014517","0.52364","-0.088134","-0.4835"
"-5.0509","8.1763","1.9082","-0.00603","0.002716","-0.014589","0.52408","-0.087785","-0.48269"
"-5.051","8.1988","1.9082","-0.002616","0.012399","-0.007457","0.52381","-0.088037","-0.4827"
"-5.0508","8.1688","1.9157","-0.002745","0.000959","-0.002249","0.52327","-0.088552","-0.48247"
"-5.0508","8.1688","1.9232","-0.002674","0.00976","-0.004834","0.52326","-0.088039","-0.48247"
"-5.0211","8.1988","1.9388","0.002821","0.010615","-0.012763","0.5232","-0.087224","-0.48365"
"-5.036","8.184","1.8935","-0.00974","0.022084","-0.00563","0.52378","-0.088264","-0.48349"
"-5.066","8.1988","1.9079","-0.006224","0.00449","-0.005748","0.52324","-0.086756","-0.48247"
"-5.0508","8.1688","1.9157","-0.00256","0.007996","-0.010141","0.52323","-0.087249","-0.483"
"-5.0582","8.1687","1.9456","-0.00117","-0.000793","0.006565","0.52199","-0.086974","-0.48305"
"-5.0434","8.1763","1.9309","0.006346","-0.000822","-0.011965","0.52395","-0.087536","-0.48244"
"-5.0209","8.154","1.8938","0.002109","0.009729","-0.01984","0.52332","-0.086955","-0.48404"
"-5.0509","8.1763","1.9157","0.000779","-0.005206","-0.001408","0.52334","-0.086718","-0.48351"
"-5.0359","8.1689","1.916","0.0001","0.015028","-0.00921","0.52269","-0.087754","-0.48302"
"-5.036","8.1839","1.916","0.004491","-0.013145","-0.009403","0.52374","-0.088737","-0.48454"
"-5.0359","8.1689","1.9085","-0.00447","0.007994","-0.003965","0.52349","-0.088506","-0.48377"
"-5.036","8.1764","1.9085","-0.011533","0.015044","-0.00568","0.5243","-0.087867","-0.48399"
"-5.0359","8.1838","1.931","0.000718","-0.003451","0.001254","0.52513","-0.087371","-0.48382"
"-5.0358","8.1687","1.946","-0.004499","-0.01313","-0.004993","0.52308","-0.087617","-0.48339"
"-5.0434","8.1688","1.9234","-0.013392","-0.007834","-0.004075","0.52388","-0.087856","-0.48414"
"-5.0208","8.1538","1.9388","-0.007089","-0.005214","-0.007589","0.52248","-0.088072","-0.48473"
"-5.036","8.1988","1.9385","-0.000816","0.007988","-0.009252","0.52355","-0.086539","-0.48495"
"-5.0359","8.1763","1.9385","-0.004395","0.002712","-0.008411","0.52359","-0.087329","-0.48442"
"-5.0209","8.1763","1.9463","-0.002545","-0.009623","-0.012909","0.5222","-0.087298","-0.48475"
"-5.0209","8.1613","1.9388","-0.013365","0.00888","-0.00396","0.52216","-0.088279","-0.48593"
"-5.0434","8.1763","1.9233","-0.003555","0.004476","-0.005752","0.523","-0.089313","-0.48601"
"-5.0508","8.1762","1.9307","0.007259","0.013264","-0.011866","0.52207","-0.087434","-0.48449"
"-5.0582","8.1686","1.9531","-0.000978","0.000962","-0.002247","0.52327","-0.088172","-0.48574"
"-5.0209","8.1763","1.9538","-0.011715","0.006241","0.001319","0.52304","-0.087449","-0.48444"
"-5.0358","8.1688","1.9385","0.000984","0.015908","-0.009203","0.52256","-0.087387","-0.48591"
"-5.021","8.1839","1.9313","0.006884","0.007979","0.004863","0.52187","-0.086104","-0.48568"
"-5.0359","8.1688","1.9235","-0.000778","0.000944","-0.011073","0.52245","-0.088042","-0.48552"
"-5.021","8.1838","1.9388","0.009714","0.025577","-0.00119","0.52298","-0.087019","-0.48563"
"-5.021","8.1764","1.9238","0.002523","0.009743","0.001343","0.52304","-0.087577","-0.48444"
"-5.0209","8.1689","1.9238","-0.000786","0.029106","-0.008229","0.52246","-0.087287","-0.48513"
"-5.036","8.1988","1.9235","0.001021","-0.00434","-0.012868","0.52219","-0.087549","-0.48488"
"-5.0434","8.1837","1.9383","0.002482","0.011516","0.003124","0.52259","-0.087536","-0.48538"
"-5.0107","8.1686","1.9237","-0.0017832","0.016048","0.0051204","0.50735","-0.077059","-0.47447"
"-5.0258","8.2012","1.9084","0.0039939","0.023349","0.025585","0.53117","-0.092379","-0.48127"
"-5.0597","8.1862","1.9174","0.011207","0.018842","-0.01609","0.50628","-0.095615","-0.4828"
"-5.0531","8.1949","1.8932","-0.019293","0.01598","-0.025689","0.5254","-0.087742","-0.49277"
"-5.0432","8.1703","1.921","-0.018897","0.0040055","-0.0081462","0.52572","-0.073543","-0.49347"
"-5.0247","8.1533","1.9386","-0.006604","0.028694","-0.011698","0.52843","-0.079832","-0.47263"
"-5.0423","8.1857","1.9026","-0.020576","-0.007128","-0.0067213","0.5238","-0.092514","-0.48105"
"-5.0743","8.1372","1.938","-0.012908","0.025405","-0.0095663","0.52967","-0.085476","-0.47075"
"-5.0473","8.1673","1.9085","-0.0052468","0.0056926","-0.018819","0.52978","-0.097328","-0.48931"
"-5.0587","8.171","1.9419","-0.0045743","-0.0015862","0.0046161","0.52933","-0.082278","-0.491"
"-5.032","8.1689","1.9182","-0.00047402","0.0052353","-0.019206","0.50901","-0.082024","-0.48384"
"-5.0186","8.166","1.893","0.023693","0.0026441","0.0085741","0.53743","-0.078943","-0.48706"
"-5.0493","8.178","1.9254","-0.0085607","-0.0030716","-0.010493","0.53017","-0.089273","-0.49037"
"-5.0243","8.1898","1.893","-0.023895","-0.0047887","-0.0048108","0.53123","-0.097825","-0.48313"
"-5.0476","8.1678","1.9148","-0.0019229","-0.0043344","-0.015163","0.51806","-0.090987","-0.48087"
"-5.0368","8.1662","1.9031","0.00086946","0.023573","-0.0013233","0.5202","-0.077412","-0.48176"
"-5.0338","8.1657","1.9032","-0.012451","0.029597","0.00055957","0.53911","-0.078926","-0.47698"
"-5.037","8.2076","1.9277","0.010026","0.012914","-0.018797","0.50615","-0.064466","-0.48178"
"-5.0556","8.1863","1.9424","0.0019793","0.016024","-0.013194","0.4961","-0.078196","-0.48221"
"-5.055","8.1731","1.876","-0.0076002","-0.014802","-0.0095523","0.52408","-0.083747","-0.47959"
"-5.0432","8.1617","1.9005","0.0077286","0.011641","-0.0064264","0.52727","-0.068455","-0.4753"
"-5.0357","8.1827","1.9025","-0.020079","0.027124","-0.016025","0.52223","-0.082728","-0.48096"
"-5.0358","8.1669","1.9462","0.011092","-0.0077937","0.013558","0.53143","-0.09766","-0.47021"
"-5.0191","8.1702","1.9364","0.0020179","-0.022739","-0.0058491","0.53066","-0.097855","-0.4979"
"-5.0269","8.1669","1.8914","0.0023431","-0.0024504","-0.012798","0.51106","-0.098365","-0.48899"
"-5.0368","8.1905","1.9448","-0.0096638","0.0058397","-0.035601","0.52488","-0.065923","-0.46164"
"-5.0747","8.1744","1.9428","-0.010534","0.0096616","0.0041374","0.54258","-0.085207","-0.46731"
"-5.0617","8.168","1.8977","-0.004904","0.016831","-0.007062","0.51705","-0.088987","-0.48584"
"-5.0593","8.1778","1.8977","-0.00016034","0.019747","-0.012688","0.52161","-0.087475","-0.49068"
"-5.033","8.1621","1.8897","-0.0097376","0.026716","0.011874","0.52382","-0.095833","-0.46464"
"-5.0567","8.1675","1.9375","-0.001516","0.0051682","0.0075869","0.53684","-0.0931","-0.48"
"-5.0405","8.1635","1.9078","-0.0026378","0.027836","-0.010071","0.52305","-0.10168","-0.49873"
"-5.0215","8.1929","1.9161","-0.0091959","0.029679","0.0022052","0.52547","-0.082598","-0.48573"
"-5.0778","8.16","1.9476","0.023524","0.035521","0.00049788","0.52718","-0.082136","-0.48389"
"-5.068","8.1707","1.9396","0.0047251","0.017569","-0.01616","0.52513","-0.099597","-0.48326"
"-5.0355","8.1651","1.9338","-0.004644","0.021248","-0.0077301","0.53571","-0.076318","-0.47802"
"-5.0632","8.1624","1.9294","-0.0062712","-0.01103","-0.0032472","0.52119","-0.087187","-0.47655"
"-5.0361","8.1642","1.9415","0.0068247","0.016494","-0.013969","0.53984","-0.086527","-0.48075"
"-5.0254","8.1582","1.9427","-0.015834","0.020269","-0.0037834","0.52618","-0.098612","-0.48873"
"-5.052","8.2097","1.9445","-0.018443","0.011069","-0.0045379","0.52877","-0.08522","-0.4951"
"-5.0641","8.1811","1.9311","0.0048175","0.023475","-4.7119e-05","0.52075","-0.10069","-0.4918"
"-5.0799","8.1753","1.9148","-0.00016754","0.00923","-0.008709","0.51695","-0.11157","-0.49446"
"-5.0397","8.1515","1.9317","-0.0034028","0.017158","-0.0026596","0.54174","-0.10255","-0.49084"
"-5.0263","8.1543","1.9681","-0.01368","0.0081189","0.00026314","0.53903","-0.074537","-0.49775"
"-5.0539","8.1774","1.973","-0.0097799","0.0042902","0.018175","0.52615","-0.084019","-0.48113"
