"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"9.392","1.987","-3.092","0.0085","0.0015","0.007","-40.506","-19.716","1.906"
"9.392","1.9495","-3.1295","0.0385","0.013","-0.0005","-40.699","-19.72","1.9035"
"9.392","1.837","-3.166","0.0595","0.019999999999999997","-0.0115","-40.506","-19.712","1.705"
"9.43","1.7625","-3.24","0.059","0.031","-0.0235","-40.506","-19.716","1.693"
"9.468","1.65","-3.0895","0.101","0.0245","-0.068","-40.699","-19.72","1.4825"
"9.392","2.0244999999999997","-3.1675","0.066","0.0065","-0.0985","-40.892","-19.724","1.48"
"9.43","1.7999999999999998","-3.1285","0.0475","0.002","-0.089","-41.085","-19.288","1.7075"
"9.544","1.313","-3.01","0.057","0.013","-0.026000000000000002","-40.892","-19.288","1.499"
"9.544","1.388","-3.0484999999999998","-0.0445","-0.005","0.018000000000000002","-40.892","-19.724","1.48"
"9.544","1.612","-3.1254999999999997","-0.063","-0.017","0.0555","-40.892","-19.503999999999998","1.499"
"9.544","1.537","-3.1995","-0.056499999999999995","-0.041","0.063","-40.892","-19.724","1.48"
"9.392","1.7999999999999998","-3.316","-0.08399999999999999","-0.0305","0.046","-40.892","-19.724","1.48"
"9.239","2.025","-3.2815000000000003","-0.10450000000000001","-0.019","-0.0005","-40.892","-19.284","1.499"
"9.354","2.287","-3.1325","-0.033","0.0035","-0.021","-40.892","-19.724","1.901"
"9.544","1.762","-2.9764999999999997","0.027000000000000003","0.008","-0.014","-40.892","-19.288","1.4965000000000002"
"9.468","1.613","-3.0515","-0.012499999999999999","-0.019","0.0045000000000000005","-41.278","-19.292","1.494"
"9.544","1.5745","-3.162","-0.003000000000000001","-0.0095","0.011","-41.085","-19.728","1.4769999999999999"
"9.544","1.5375","-3.0490000000000004","0.010499999999999999","0.0015","0.0135","-40.892","-19.288","1.4965000000000002"
"9.506","1.463","-3.0125","0.0015","0.010499999999999999","0.016","-40.892","-19.503999999999998","1.48"
"9.506","1.687","-3.014","-0.017","0.0085","0.007","-40.892","-19.288","1.499"
"9.43","1.837","-3.091","0.0155","0.026","0.0","-40.892","-19.503999999999998","1.4895"
"9.468","1.8744999999999998","-2.9779999999999998","0.055","0.031","-0.007","-40.892","-19.284","1.4865"
"9.468","1.65","-3.1265","0.0525","0.022","0.014","-40.892","-19.508000000000003","1.487"
"9.544","1.463","-3.1985","0.0175","0.015","0.027999999999999997","-40.892","-19.288","1.499"
"9.468","1.613","-3.0895","-0.003","-0.0075","0.035","-40.892","-19.503999999999998","1.4895"
"9.468","1.65","-3.2015000000000002","-0.04","-0.01","0.041499999999999995","-40.892","-19.724","1.48"
"9.468","1.538","-3.238","-0.042499999999999996","-0.005","0.0325","-40.892","-19.503999999999998","1.4895"
"9.392","1.7254999999999998","-3.091","-0.054","-0.012","0.0275","-40.892","-19.724","1.4825"
"9.468","2.062","-3.0925000000000002","-0.047","-0.003","0.021","-40.892","-19.72","1.4825"
"9.392","1.763","-3.091","0.006","0.006","0.021","-40.892","-19.724","1.48"
"9.468","1.837","-3.015","-0.015","0.0015","0.0275","-40.699","-19.716","1.485"
"9.43","1.763","-3.1654999999999998","-0.04","-0.001","0.0325","-40.892","-19.724","1.4895"
