"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-9.6449","-1.0366","-1.4268","-0.01987","-0.005429","-0.007015","1.1269","0.36813","-0.003819"
"-9.6744","-0.78256","-1.3967","-0.023427","0.01697","-0.006853","1.1262","0.36759","-0.002904"
"-9.7643","-0.79716","-1.3759","-0.059571","-0.017306","-0.012378","1.1262","0.36798","-0.002114"
"-9.6001","-1.1113","-1.4711","-0.030572","-0.000248","-0.014207","1.128","0.3667","-0.003758"
"-9.6298","-0.95427","-1.4861","-0.043325","-0.006412","-0.006974","1.1282","0.36683","-0.003752"
"-9.6598","-0.99177","-1.4045","-0.025261","-0.002794","-0.008787","1.1285","0.36815","-0.003237"
"-9.6449","-1.074","-1.4119","-0.016188","0.011576","-0.008717","1.1282","0.36841","-0.003649"
"-9.7045","-0.83448","-1.4646","-0.01444","-0.000909","-0.006979","1.1252","0.36942","-0.00257"
"-9.6148","-0.97717","-1.3664","-0.012802","-0.007005","0.002892","1.127","0.36918","-0.00251"
"-9.6298","-0.97702","-1.389","-0.002114","-0.011239","0.012793","1.1281","0.36813","-0.002057"
"-9.6449","-1.0066","-1.4566","0.007036","-0.007759","0.005565","1.129","0.36749","-0.002812"
"-9.6374","-1.0518","-1.3669","0.025199","-0.004299","-0.003502","1.1296","0.36723","-0.00252"
"-9.6147","-0.96223","-1.3663","0.01266","0.02431","-0.004198","1.1285","0.36959","-0.002599"
"-9.6372","-0.91715","-1.4114","0.029738","-0.002506","-0.004412","1.1284","0.3696","-0.004195"
"-9.6447","-0.91685","-1.4862","0.037826","0.000311","0.000112","1.1277","0.3688","-0.003673"
"-9.7046","-0.87175","-1.4871","0.030428","-0.000337","0.012814","1.1295","0.37013","-0.003373"
"-9.5849","-0.96206","-1.4555","0.028709","0.011198","0.009227","1.1279","0.37039","-0.004227"
"-9.6672","-0.93942","-1.412","0.017923","0.015587","0.005702","1.1299","0.36856","-0.004394"
"-9.7047","-0.96155","-1.4425","-0.023587","-0.007966","0.000237","1.1299","0.36829","-0.002665"
"-9.6299","-1.0367","-1.4265","-0.01444","-0.000932","-0.007005","1.1294","0.36973","-0.002971"
"-9.6598","-0.99169","-1.4269","-0.012538","0.007935","-0.012365","1.129","0.36972","-0.001924"
"-9.6749","-1.0363","-1.4646","0.007279","0.008089","-0.008787","1.1299","0.36973","-0.001894"
"-9.6298","-0.977","-1.3965","-0.012582","0.011583","-0.008737","1.1293","0.36946","-0.001778"
"-9.555","-1.022","-1.4327","0.010035","0.024195","-0.00874","1.1296","0.36998","-0.000582"
"-9.7567","-0.69977","-1.4651","0.001776","0.015409","-0.001465","1.129","0.37273","0.000674"
"-9.8239","-0.66265","-1.3093","-0.038573","-0.036049","0.030883","1.1301","0.37196","-0.000337"
"-9.5247","-0.73788","-1.5584","-0.038307","-0.020189","0.020903","1.1301","0.36998","-0.000565"
"-9.6448","-0.91649","-1.5908","-0.057777","-0.026209","-0.008876","1.1292","0.36986","-0.002184"
"-9.6372","-0.8869","-1.5159","-0.089437","-0.019052","-0.003327","1.1306","0.36934","-0.001866"
"-9.5703","-1.1486","-1.5454","0.005228","-0.002329","0.009195","1.1309","0.36777","-0.002093"
"-9.7049","-1.0811","-1.4429","0.039705","0.004705","-0.005256","1.1307","0.36645","-0.002737"
"-9.6297","-0.87205","-1.5008","0.039722","-0.003418","-0.007162","1.1277","0.36749","-0.00418"
"-9.6597","-0.99942","-1.3522","0.050518","-0.002482","-0.007162","1.1282","0.36618","-0.004271"
"-9.7273","-1.0963","-1.3238","0.057723","0.003874","-0.005293","1.128","0.36672","-0.006276"
"-9.6746","-0.91697","-1.412","0.083222","0.015349","-0.017974","1.1279","0.36883","-0.006586"
"-9.6749","-1.1116","-1.308","0.018172","-0.015441","-0.021629","1.1274","0.36685","-0.007359"
"-9.6671","-0.87201","-1.4641","0.061479","0.008211","-0.012547","1.1262","0.36712","-0.010058"
"-9.7046","-0.99952","-1.2633","0.014401","-0.007125","-0.008891","1.1239","0.36802","-0.010014"
"-9.6745","-0.91731","-1.3149","0.048023","-0.001029","-0.023423","1.1238","0.3691","-0.012424"
"-9.6673","-0.96167","-1.4568","0.012715","-0.004534","-0.013413","1.1235","0.36843","-0.011626"
"-9.5923","-0.97744","-1.3212","-0.019729","-0.015605","-0.021579","1.1236","0.36896","-0.01243"
"-9.6599","-1.0966","-1.3376","-0.006957","-0.003136","-0.028728","1.123","0.3708","-0.012615"
"-9.6","-1.0516","-1.4709","0.002081","0.013131","-0.023245","1.1227","0.37079","-0.011697"
"-9.6449","-1.0515","-1.4268","0.000284","-0.012108","-0.030625","1.1231","0.37159","-0.01236"
"-9.6448","-1.0369","-1.3371","-0.019687","0.005959","-0.019601","1.1228","0.3721","-0.011186"
"-9.6448","-1.0068","-1.4118","0.01995","-0.017156","-0.018046","1.1223","0.37315","-0.011223"
"-9.5625","-1.0069","-1.4851","0.011847","0.006208","-0.012481","1.1222","0.3721","-0.012133"
"-9.6449","-1.0591","-1.397","-0.016229","-0.000973","-0.008801","1.1205","0.37209","-0.012588"
"-9.6897","-1.0518","-1.2931","-0.003697","-0.009809","-0.005252","1.1203","0.3713","-0.013109"
"-9.6002","-1.1563","-1.4338","0.026249","0.013513","-0.008826","1.1222","0.37251","-0.013998"
"-9.6898","-1.0213","-1.4723","0.014455","0.01359","-0.004239","1.1207","0.37144","-0.013364"
"-9.6148","-1.0521","-1.3068","-0.003583","-0.015392","-0.014368","1.1203","0.37171","-0.014974"
"-9.6148","-1.007","-1.3888","-0.0325","-0.001005","-0.006968","1.1198","0.37275","-0.01408"
"-9.6749","-1.0514","-1.4273","-0.024428","-0.00357","-0.003359","1.1188","0.37327","-0.013592"
"-9.6674","-1.0816","-1.3526","-0.009072","-0.017972","-0.008921","1.12","0.37512","-0.013589"
"-9.615","-1.0891","-1.4115","-0.027204","-0.018798","-0.00167","1.1183","0.37393","-0.014415"
"-9.6301","-1.1563","-1.4044","-0.018111","0.004542","-0.001527","1.1178","0.37484","-0.013785"
"-9.6599","-1.0889","-1.3973","-0.016332","-0.002613","-0.001568","1.1192","0.37329","-0.016496"
"-9.6749","-1.1114","-1.3677","-0.03063","-0.017299","-0.016095","1.119","0.3725","-0.015692"
"-9.6599","-1.0667","-1.3524","-0.003926","-0.010342","0.012821","1.1177","0.37472","-0.015777"
"-9.6448","-1.0369","-1.3222","-0.009464","-0.016495","0.020022","1.118","0.37354","-0.015746"
"-9.6449","-1.0591","-1.397","-0.009517","-0.032586","0.021723","1.1176","0.37302","-0.01734"
"-9.6","-1.0969","-1.3216","0.001564","-0.013159","0.006432","1.1173","0.37278","-0.020792"
"-9.6374","-1.0968","-1.3073","-0.001122","-0.0078","0.005587","1.1167","0.37276","-0.018158"
"-9.6149","-1.067","-1.3068","0.026703","-0.011068","0.016339","1.1182","0.37055","-0.020857"
"-9.6449","-1.0817","-1.3447","0.019543","0.006842","0.01649","1.1175","0.36963","-0.021393"
"-9.6972","-1.0218","-1.3006","0.011412","0.00141","0.014687","1.1191","0.36925","-0.021335"
"-9.6147","-0.97738","-1.3066","0.000537","-0.00758","0.016423","1.1181","0.36925","-0.022029"
"-9.6447","-1.0296","-1.2848","-0.002164","-0.011204","0.014613","1.1171","0.36845","-0.022443"
"-9.6448","-1.0444","-1.3222","0.001577","-0.011372","0.005558","1.1179","0.36925","-0.022831"
"-9.6373","-1.007","-1.3444","-0.00555","-0.010632","-0.000757","1.1189","0.36754","-0.021705"
"-9.6746","-0.96963","-1.3076","-0.020108","-0.000616","0.009311","1.117","0.36793","-0.022836"
"-9.7271","-1.0218","-1.2638","-0.027164","0.009905","-0.001429","1.1211","0.36636","-0.019225"
"-9.6896","-0.96209","-1.3078","-0.037234","-0.000711","0.00755","1.1182","0.36925","-0.022158"
"-9.6448","-1.0519","-1.3222","-0.023638","0.007357","0.005745","1.1194","0.36859","-0.020117"
"-9.6597","-0.99206","-1.3223","-0.016218","0.009782","-0.008725","1.1193","0.36833","-0.020648"
"-9.6597","-0.97706","-1.3372","-0.009976","0.003624","-0.004259","1.1196","0.36833","-0.020107"
"-9.6148","-0.99224","-1.329","0.005357","0.011788","-0.001549","1.1177","0.36857","-0.019906"
"-9.6372","-0.96223","-1.3368","-0.00188","0.006391","-0.001558","1.1208","0.36899","-0.019816"
"-9.6747","-1.0219","-1.3003","-0.02018","-0.004109","0.013813","1.1193","0.36922","-0.017744"
"-9.6","-1.1266","-1.374","0.011792","0.013456","-0.008791","1.1213","0.36925","-0.018079"
"-9.6597","-0.97691","-1.3821","-0.003492","0.018721","-0.012315","1.121","0.36897","-0.016624"
"-9.6597","-0.9919","-1.3672","-0.013667","0.006449","0.003005","1.1199","0.37054","-0.017353"
"-9.6149","-1.037","-1.3441","-0.007265","0.002725","-0.00429","1.1197","0.37041","-0.01802"
"-9.6448","-1.0069","-1.3744","-0.001903","0.011847","0.002101","1.1217","0.37068","-0.015838"
"-9.6299","-1.0892","-1.3445","0.005305","0.001076","0.000199","1.121","0.37013","-0.014258"
"-9.6448","-0.97685","-1.4192","-0.008119","0.026093","-0.001408","1.121","0.37145","-0.014017"
"-9.6748","-1.0067","-1.3973","0.008945","0.008275","0.000255","1.1228","0.36976","-0.013929"
"-9.6748","-0.99917","-1.4048","-4.5e-05","-0.000812","-0.004307","1.1222","0.37","-0.012891"
"-9.7045","-0.87972","-1.3452","-0.059869","-0.034883","0.005572","1.1219","0.37027","-0.01357"
"-9.6894","-0.81995","-1.3672","-0.074563","-0.031845","0.025517","1.1231","0.36962","-0.013785"
"-9.6675","-1.1564","-1.308","-0.056729","-0.028767","0.041779","1.1254","0.36715","-0.014459"
"-9.5702","-1.1864","-1.411","-0.000306","0.001375","0.016472","1.1253","0.36479","-0.014684"
"-9.6299","-1.0217","-1.4265","0.026019","0.012059","0.007454","1.1265","0.36637","-0.014144"
"-9.6597","-0.97696","-1.3671","0.012573","0.008245","-0.001571","1.126","0.36518","-0.013345"
"-9.6672","-0.96198","-1.3672","0.008917","0.013704","0.003","1.1254","0.36544","-0.0135"
"-9.667","-0.87234","-1.367","0.01797","0.002889","-0.001621","1.125","0.36595","-0.01299"
"-9.6447","-0.94702","-1.4041","-0.030999","-0.013132","0.012857","1.1255","0.36582","-0.012443"
"-9.6373","-0.99206","-1.3518","-0.003728","0.010959","0.003","1.125","0.36594","-0.011665"
"-9.6747","-0.96203","-1.3449","0.023195","0.013997","0.014729","1.1262","0.36438","-0.012395"
"-9.6596","-0.87212","-1.4415","0.014334","0.008348","0.002943","1.1263","0.36517","-0.011873"
"-9.6969","-0.85734","-1.345","-0.020784","-0.008149","-0.008822","1.1268","0.3657","-0.012132"
"-9.6595","-0.88742","-1.337","-0.014648","0.003846","0.007508","1.1267","0.36517","-0.011595"
"-9.6298","-0.94696","-1.4412","0.014313","0.000273","0.002878","1.1261","0.3649","-0.011478"
"-9.6596","-0.91715","-1.3819","-0.010837","0.009879","-0.005123","1.1278","0.36558","-0.0121"
"-9.6297","-0.96211","-1.3815","-0.018056","0.013447","-0.004189","1.1278","0.36505","-0.011558"
"-9.66","-0.91779","-1.3879","0.014518","0.006182","-0.017849","1.1278","0.36513","-0.010774"
"-9.6452","-0.99243","-1.4252","0.001833","0.006226","-0.0133","1.1269","0.36512","-0.011069"
"-9.675","-0.91785","-1.3508","0.008993","0.013518","-0.008735","1.1268","0.36525","-0.01081"
"-9.66","-0.91782","-1.3804","-0.007191","-0.001031","-0.016035","1.1283","0.36618","-0.010116"
"-9.6452","-1.0376","-1.3207","-0.005217","0.010398","-0.026818","1.1283","0.36591","-0.009446"
"-9.6601","-0.91766","-1.4252","-0.039569","0.021204","-0.018521","1.128","0.36524","-0.008515"
"-9.6453","-1.0822","-1.3881","-0.027379","0.000304","0.009349","1.1292","0.36723","-0.008381"
"-9.6298","-0.96206","-1.3964","-0.005128","0.004053","-0.0278","1.1278","0.36607","-0.007332"
"-9.6449","-1.0516","-1.4119","-0.002638","-0.017202","-0.01618","1.1281","0.36804","-0.006563"
"-9.6298","-0.977","-1.3965","0.001981","0.011452","-0.017818","1.1276","0.36751","-0.00657"
"-9.6747","-0.94685","-1.4121","0.007215","0.024365","-0.001445","1.129","0.36844","-0.006279"
"-9.6671","-0.90207","-1.4119","-0.024054","0.009354","-0.028608","1.128","0.36922","-0.006324"
"-9.6299","-0.99173","-1.4563","-0.039643","-0.004719","-0.012397","1.1282","0.36829","-0.005504"
"-9.6154","-1.0973","-1.3951","-0.020809","0.009847","-0.006897","1.128","0.36915","-0.003677"
"-9.6601","-0.91756","-1.4551","0.005377","0.018959","-0.00508","1.129","0.37113","-0.003552"
"-9.6751","-0.96246","-1.4106","-0.005408","-0.002774","-0.014234","1.1296","0.37062","-0.003521"
"-9.6901","-1.0074","-1.3513","-0.014584","0.001","-0.003323","1.1289","0.36928","-0.00259"
"-9.6229","-1.0822","-1.425","0.010616","-0.006878","0.001961","1.1295","0.36995","-0.00232"
"-9.6303","-1.0074","-1.4399","0.018056","0.01713","-0.00875","1.1306","0.37087","-0.001372"
