"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-9.6644","-1.1831","-1.0998","-0.000816","0.011489","-0.021515","0.97846","-0.46494","0.038782"
"-9.6653","-1.1837","-1.0996","-0.001195","0.004351","-0.00734","0.97966","-0.46458","0.03621"
"-9.6877","-1.1838","-1.1","-0.013553","0.010538","-0.010827","0.97966","-0.46433","0.036472"
"-9.6728","-1.1539","-1.0547","-0.002113","0.021964","-0.005444","0.98052","-0.46538","0.036777"
"-9.6728","-1.1539","-1.0547","-0.002781","0.006114","-0.017026","0.98064","-0.46487","0.033373"
"-9.6576","-1.1914","-1.0544","-0.00026","-0.006217","-0.010943","0.98094","-0.46438","0.03391"
"-9.6725","-1.1915","-1.0397","-0.018986","0.007021","-0.007321","0.98016","-0.46467","0.035054"
"-9.6423","-1.2514","-1.024","0.00409","0.000816","-0.005611","0.98121","-0.46413","0.034054"
"-9.6951","-1.1616","-1.0402","0.005835","0.014925","-0.003728","0.98175","-0.46413","0.033685"
"-9.6577","-1.1912","-1.0844","0.011244","0.013135","-0.006397","0.97949","-0.46544","0.038696"
"-9.665","-1.1989","-1.0395","0.002977","0.009637","0.00505","0.98003","-0.46556","0.038196"
"-9.6725","-1.2064","-1.0472","-0.005092","0.00085","0.007634","0.98057","-0.46442","0.035073"
"-9.6651","-1.1914","-1.0545","0.003324","0.009627","-0.010832","0.98125","-0.46341","0.035234"
"-9.6727","-1.1689","-1.0697","-0.011817","0.005249","-0.009977","0.98114","-0.46368","0.035753"
"-9.6727","-1.1689","-1.0547","-0.006635","0.041338","-1.8e-05","0.98101","-0.46394","0.035879"
"-9.6801","-1.1839","-1.0548","0.000699","0.023721","-0.011614","0.98035","-0.46421","0.036373"
"-9.6877","-1.1614","-1.085","0.005523","0.014929","0.01127","0.98036","-0.46511","0.036507"
"-9.6728","-1.1613","-1.0772","0.007544","0.013152","-0.000213","0.98076","-0.46485","0.036132"
"-9.6728","-1.1688","-1.0847","-0.006703","-0.002675","-0.000326","0.98038","-0.46463","0.037162"
"-9.6727","-1.1912","-1.0997","-0.010111","-0.011478","-0.007452","0.97931","-0.46362","0.038158"
"-9.6654","-1.1537","-1.0996","-0.006499","0.004358","-0.009099","0.98074","-0.46432","0.039276"
"-9.6728","-1.1538","-1.0847","-0.015439","0.02198","-0.005446","0.98095","-0.4649","0.037452"
"-9.6876","-1.1913","-1.1","-0.004902","0.004371","-0.000282","0.9805","-0.46448","0.036643"
"-9.6728","-1.1688","-1.0847","-0.010198","-0.011475","-0.003918","0.9821","-0.46306","0.035928"
"-9.6727","-1.1839","-1.0697","-0.002184","-0.025569","-0.005782","0.98036","-0.46448","0.036636"
"-9.6875","-1.1841","-1.025","-0.01945","-0.014085","0.011947","0.98158","-0.46473","0.03617"
"-9.6876","-1.1691","-1.025","-0.007476","0.007896","-0.005544","0.98094","-0.46261","0.034561"
"-9.6799","-1.2141","-1.0248","-0.008414","0.016697","-0.001962","0.98001","-0.46326","0.035175"
"-9.68","-1.199","-1.0323","0.013167","0.027226","-0.012473","0.98066","-0.46413","0.034028"
"-9.6652","-1.169","-1.032","0.004258","0.009625","-0.013473","0.98125","-0.46366","0.035234"
"-9.6951","-1.1839","-1.0701","0.009311","0.004358","-0.000278","0.98158","-0.46473","0.036039"
"-9.6577","-1.1689","-1.0394","0.007786","0.003456","-0.012634","0.98086","-0.46456","0.035349"
"-9.6728","-1.1539","-1.0697","0.000689","0.030759","-0.010677","0.98184","-0.46383","0.035917"
"-9.6728","-1.1688","-1.0847","-0.001193","0.010518","-0.007293","0.98116","-0.46459","0.036019"
"-9.6728","-1.1538","-1.0847","-0.022552","0.021109","-0.005453","0.98043","-0.46328","0.032048"
"-9.6577","-1.1912","-1.0844","-0.006518","-0.00973","-0.009205","0.98072","-0.46392","0.032063"
"-9.6727","-1.1838","-1.0772","-0.01009","-0.016759","-0.009251","0.98116","-0.4637","0.036279"
"-9.6802","-1.1688","-1.0849","-0.010939","0.029019","-0.007164","0.98306","-0.46345","0.035581"
"-9.6728","-1.1687","-1.0997","0.014838","0.002573","-0.009113","0.98086","-0.46444","0.03548"
"-9.6876","-1.169","-1.055","-0.006728","0.009658","0.001526","0.9826","-0.46353","0.037919"
"-9.6877","-1.1689","-1.07","-0.004767","0.002608","-0.007347","0.98178","-0.46402","0.03775"
"-9.6726","-1.1839","-1.0547","-0.006561","-0.006199","-0.007412","0.98138","-0.46264","0.035238"
"-9.6876","-1.169","-1.055","-0.004089","-0.006189","0.001416","0.98144","-0.46447","0.036031"
"-9.6577","-1.1839","-1.0544","-0.000726","0.00172","0.011174","0.9828","-0.46346","0.036093"
"-9.7026","-1.169","-1.0553","0.010258","0.009641","-0.002884","0.98025","-0.46564","0.033619"
"-9.6652","-1.1689","-1.0546","0.000486","0.002593","-0.003817","0.98218","-0.46389","0.034098"
"-9.6876","-1.1839","-1.085","0.000415","0.02021","0.001596","0.98193","-0.46278","0.035264"
"-9.6877","-1.1689","-1.07","0.007934","0.006106","-0.018793","0.98188","-0.46412","0.036969"
"-9.6802","-1.1689","-1.0774","0.004242","0.014913","-0.011673","0.98117","-0.46308","0.036671"
"-9.6803","-1.1389","-1.0549","-0.001095","-0.011487","-0.014498","0.9808","-0.46236","0.038094"
"-9.6802","-1.1689","-1.0549","-0.002986","0.007004","-0.007316","0.98154","-0.46317","0.039048"
"-9.6802","-1.1689","-1.0699","-0.001285","0.014926","-0.002849","0.98171","-0.46245","0.036826"
"-9.6728","-1.1539","-1.0547","0.003279","0.011393","-0.009047","0.98187","-0.46424","0.036575"
"-9.6875","-1.1989","-1.07","0.004137","0.006117","-0.007328","0.98131","-0.4646","0.036288"
"-9.6878","-1.1389","-1.0701","-0.008439","-0.004426","-0.002979","0.98128","-0.46457","0.032091"
"-9.6877","-1.154","-1.055","-0.01536","-0.004422","-0.011805","0.98097","-0.46353","0.031812"
"-9.6875","-1.1989","-1.07","-0.006795","-0.002665","0.004081","0.98238","-0.4637","0.035812"
"-9.6727","-1.154","-1.0397","0.024428","0.016653","-0.000184","0.98317","-0.46419","0.034801"
"-9.6724","-1.229","-1.0396","-0.004848","0.007005","-0.002916","0.98121","-0.46388","0.034184"
"-9.6876","-1.1839","-1.07","-0.002959","0.017569","-0.007246","0.98236","-0.46381","0.035287"
"-9.7026","-1.1541","-1.0478","0.020325","0.014022","-0.016085","0.9815","-0.46339","0.034721"
"-9.6877","-1.1689","-1.07","0.004276","0.002592","-0.014406","0.98128","-0.4642","0.035761"
"-9.6428","-1.1912","-1.0841","0.013191","0.01136","-0.014351","0.98295","-0.46499","0.035842"
"-9.6727","-1.1689","-1.0547","-0.008249","0.025491","-0.008952","0.98241","-0.46348","0.036599"
"-9.6428","-1.1837","-1.0841","0.002021","0.009628","0.00858","0.98252","-0.4651","0.038706"
"-9.6578","-1.1837","-1.0844","0.009324","0.009621","-0.000243","0.98172","-0.46485","0.039323"
"-9.7027","-1.154","-1.0553","-0.001048","0.01317","-0.014328","0.98191","-0.46427","0.037495"
"-9.6729","-1.1537","-1.0997","-0.011721","0.002604","-0.014406","0.98307","-0.46384","0.039122"
"-9.6576","-1.1988","-1.0694","-0.010289","0.010528","0.002407","0.98141","-0.46457","0.038784"
