"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-8.9854","-10.565","-5.9174","0.45577","0.85686","-0.98772","0.50336","0.68703","0.63067"
"-9.0022","-4.8483","-2.0622","1.6212","1.0233","-0.9806","0.4661","0.75648","0.60536"
"-6.9913","14.172","-0.60229","1.1723","0.074296","0.45788","0.44705","0.81664","0.57334"
"-12.353","-1.4224","-3.1257","-1.3037","-1.0265","1.9493","0.4946","0.75377","0.59992"
"-13.113","0.25581","-1.3708","-0.86542","-0.89948","1.7658","0.54789","0.67341","0.61795"
"-7.9188","-6.1362","-2.66","-1.9102","-1.1708","2.3397","0.58749","0.56202","0.66026"
"-5.8716","-6.6281","0.70533","0.46362","-1.352","1.6317","0.61929","0.47907","0.67804"
"-5.8087","-4.1962","-0.54218","0.44898","-0.88733","1.1698","0.64183","0.4366","0.68797"
"-7.2616","-3.5138","-1.4913","-0.69151","-1.2857","1.3334","0.6668","0.37141","0.69426"
"-6.0338","-3.1558","-2.9563","-0.17908","-1.0842","1.0253","0.68972","0.30018","0.69339"
"-6.4096","-3.9686","-2.8677","-0.60931","-0.70403","0.88803","0.6957","0.26364","0.66839"
"-7.4097","-1.9708","-2.4609","-1.1759","-0.45088","0.78114","0.69252","0.194","0.66718"
"-9.4165","-1.37","-2.8219","-1.9485","-0.52705","0.7617","0.6942","0.10115","0.67697"
"-10.671","1.1261","-3.5685","-2.3621","-0.25759","0.84819","0.68546","0.006594","0.67206"
"-18.576","-11.978","-5.6051","-2.3972","0.22164","1.2969","0.66361","-0.091894","0.66252"
"-21.599","-9.945","-6.0542","-0.072206","0.069256","-0.35831","0.6435","-0.11689","0.65167"
"-17.087","-5.6894","-2.7988","1.5392","-0.51321","-1.3687","0.66248","-0.061852","0.64538"
"-14.641","-5.6041","-6.9858","2.6803","-0.029943","-1.1921","0.68804","0.013018","0.65027"
"-13.717","-9.5907","-4.6799","2.5709","0.033553","-1.7308","0.7136","0.15187","0.63209"
"-10.259","3.2518","1.121","-0.75618","1.1033","-1.9001","0.71745","0.26207","0.62789"
"-6.1408","2.1936","1.2924","-0.64551","0.91728","-1.3626","0.71595","0.35988","0.64309"
"-4.0157","1.3052","0.42935","-0.21682","0.8474","-1.1498","0.70127","0.42773","0.64829"
"-5.9371","-0.38556","-0.58637","-0.22374","0.90728","-0.87889","0.67856","0.45213","0.66351"
"-6.1194","-1.6232","-1.0485","0.32633","1.0003","-1.0812","0.65737","0.49237","0.66955"
"-6.6609","-2.4392","-1.9713","0.23694","1.1181","-0.83481","0.62672","0.53815","0.6661"
"-7.2182","-4.2447","-1.881","0.6872","1.1623","-0.95288","0.59662","0.58224","0.65911"
"-16.709","-21.508","-10.859","2.3251","1.5571","-2.0493","0.54565","0.66606","0.62428"
"-10.924","0.065601","0.96673","2.3232","1.4768","-1.8704","0.48911","0.77445","0.57268"
"-3.4165","15.246","-0.68841","1.7625","1.2857","-0.30957","0.46671","0.85377","0.50791"
"-12.502","-1.3044","-2.5152","-1.3164","0.010283","1.3784","0.4783","0.82362","0.51832"
"-13.549","-4.9626","-1.7509","-1.7599","-0.44224","1.8872","0.51853","0.76666","0.55723"
"-9.2261","3.2496","0.3615","-2.7415","-1.0928","2.357","0.55682","0.65798","0.62213"
"-8.2426","-8.9776","0.68881","0.15727","-1.9379","2.3225","0.61683","0.51655","0.67313"
"-6.9494","-4.9647","-1.4302","1.3208","-0.45654","1.5509","0.64284","0.4959","0.65621"
"-7.5306","-4.0113","0.14644","-0.57862","-1.4408","1.5294","0.66028","0.43877","0.67224"
"-5.2992","-3.2665","-2.1896","-0.36047","-1.4242","1.271","0.69264","0.37482","0.66488"
"-4.8899","-3.4309","-4.8578","-0.68086","-0.82892","0.98794","0.70998","0.31121","0.66395"
"-6.1854","-3.2533","-4.7746","-0.97477","-0.35501","0.79704","0.71301","0.22874","0.68494"
"-7.6077","-2.9797","-4.2301","-1.2002","-0.57675","0.58148","0.70996","0.15513","0.68288"
"-10.517","-1.1042","-2.5783","-1.9446","-0.33292","0.64228","0.70114","0.082994","0.6718"
"-11.364","2.9392","-2.0064","-2.7356","-0.23995","1.3379","0.68201","-0.013548","0.65431"
"-17.218","-5.4781","-7.5221","-2.6006","0.40941","1.0644","0.65788","-0.12394","0.64079"
"-22.548","-13.349","-5.6087","0.20082","-0.33373","-0.62703","0.65559","-0.15667","0.64186"
"-17.531","-5.8901","-4.6297","2.6027","-0.43907","-1.4104","0.68102","-0.085482","0.64428"
"-15.072","-4.4143","-4.8532","3.1069","-0.16107","-1.3712","0.70666","0.039253","0.63744"
"-12.044","-5.1616","-2.4133","1.1272","0.17657","-1.8936","0.72952","0.18845","0.61365"
"-9.0137","4.2084","1.4734","-1.318","0.88187","-1.5209","0.73316","0.26043","0.62149"
"-4.2246","1.1824","1.6358","-0.17303","1.1442","-1.5412","0.72969","0.3158","0.64396"
"-4.785","-1.438","-0.25596","0.000687","0.91045","-1.0554","0.70953","0.38403","0.66004"
"-5.0249","-1.4663","-0.37216","-0.12153","0.8072","-0.78249","0.69552","0.43513","0.65851"
"-6.2637","-2.615","-1.3525","-0.13868","0.85329","-0.82496","0.66701","0.46065","0.67499"
"-7.384","-4.3152","-2.8552","0.43761","1.1054","-1.1136","0.6405","0.50687","0.67167"
"-8.4234","-6.845","-4.3589","1.5927","1.2017","-1.3233","0.61748","0.57832","0.64585"
"-14.05","-10.695","-6.8401","2.7444","1.2484","-1.9635","0.57715","0.69591","0.58939"
"-7.7794","7.5936","1.6528","2.0014","1.2476","-1.2253","0.53277","0.81173","0.51749"
"-8.7811","10.688","-1.8672","-0.33352","0.48077","0.33317","0.50777","0.84584","0.49257"
"-14.007","-3.7928","-4.5496","-1.4954","-0.8024","2.048","0.55395","0.76633","0.52836"
"-14.492","-0.4354","-0.5368","-1.6233","-0.71044","1.9731","0.60926","0.67034","0.56729"
"-7.4308","-5.6012","-2.4785","-1.4761","-0.98386","2.6471","0.65214","0.53705","0.62119"
"-7.3403","-8.5365","3.6638","1.6529","-1.0541","1.7274","0.6792","0.47341","0.61804"
"-5.8069","-2.8644","-1.1288","1.0544","-0.80403","1.2755","0.70939","0.43413","0.60374"
"-8.0988","-3.2985","0.026694","-1.0497","-1.1571","1.454","0.7243","0.3736","0.61029"
"-6.2953","-2.9167","-2.6239","-0.95519","-1.1548","0.99612","0.73304","0.33378","0.60211"
"-7.2688","-1.6349","-4.6989","-0.70523","-0.50965","0.70893","0.73104","0.26756","0.62116"
"-8.0845","-2.3485","-2.4882","-0.71527","-0.63763","0.84601","0.7224","0.20891","0.62758"
"-9.9517","0.35322","-1.4068","-1.4797","-0.68252","0.87186","0.72378","0.10131","0.64511"
"-11.372","2.9647","-2.8806","-2.4739","-0.72383","1.1133","0.72085","0.008729","0.63233"
"-18.486","-10.264","-8.7368","-2.65","-0.077664","1.1597","0.70277","-0.07661","0.60573"
"-16.977","-7.7856","-1.667","-0.51484","-0.56166","-0.3328","0.70583","-0.1142","0.59346"
"-15.456","-2.3814","-2.4784","1.46","-0.03574","-0.81081","0.72397","-0.074116","0.58569"
"-14.103","-6.6626","-6.2325","2.756","0.11919","-1.0902","0.74028","-0.017487","0.59236"
"-15.277","-14.726","-5.9005","3.1026","0.38702","-1.8355","0.75738","0.13044","0.57161"
"-10.753","4.3437","-0.7073","0.29547","1.1421","-1.7431","0.77189","0.26683","0.55005"
"-6.2298","2.8146","1.1282","-0.54004","1.057","-1.3872","0.7748","0.32737","0.56409"
"-3.7765","0.97506","0.50721","0.6937","0.83869","-1.476","0.76632","0.41484","0.55524"
"-5.3962","0.1623","0.1041","-0.004613","0.98754","-1.1921","0.7542","0.47847","0.54539"
"-5.6978","-0.68606","-0.42625","-0.28571","1.3516","-1.1364","0.72992","0.52088","0.55716"
"-7.4539","-2.312","-0.96833","0.13026","1.2576","-1.1471","0.70077","0.5644","0.57355"
"-8.5804","-3.7617","-1.4545","1.0375","0.92711","-1.2315","0.67464","0.60862","0.57135"
"-8.7248","-7.5434","-5.0532","1.768","1.0583","-1.6248","0.63704","0.68359","0.53512"
"-11.307","-2.6975","-3.0815","2.2775","1.2831","-1.5331","0.57831","0.76937","0.49334"
"-9.4472","5.5902","-0.016949","0.75087","0.72165","-0.010156","0.54931","0.82028","0.46437"
"-12.589","1.2257","-3.8397","-1.6813","-0.49255","1.3035","0.55139","0.81223","0.4802"
"-12.345","-1.0506","-2.6464","-2.8048","-1.1612","2.1239","0.59821","0.69902","0.55853"
"-8.5588","-0.042666","-1.1452","-0.60702","-1.1748","1.9024","0.62823","0.59907","0.59791"
"-8.271","-8.2618","1.1086","1.2185","-0.90582","2.0265","0.66684","0.50333","0.61882"
"-3.9657","-2.807","-2.9279","0.32489","-0.5253","1.7378","0.68618","0.46839","0.61036"
"-6.0464","-3.7364","0.74005","-0.9368","-1.1197","1.3219","0.69117","0.43082","0.61335"
"-5.9026","-5.5637","-2.4451","-0.54112","-1.3074","1.1785","0.71552","0.35543","0.62022"
"-6.2915","-5.1733","-2.4805","-0.33209","-0.61115","0.6926","0.71904","0.30503","0.62087"
"-6.9681","-1.9414","-2.9016","-1.0474","-0.47251","0.49285","0.71429","0.23209","0.6485"
"-9.7744","-0.021464","-3.4519","-1.284","-0.36167","0.65816","0.70496","0.16789","0.65366"
"-11.921","1.5616","-2.5201","-1.8298","-0.64999","0.74261","0.69817","0.10915","0.64173"
"-12.138","2.2302","-3.3064","-3.2908","-0.34952","1.5442","0.69071","-0.001934","0.63663"
"-22.659","-15.113","-9.3284","-1.4307","0.60127","0.50848","0.66502","-0.10064","0.63311"
"-15.997","-11.078","-5.7758","1.1813","-0.16124","-0.91353","0.66581","-0.10705","0.64073"
"-15.356","-4.0755","-5.2231","2.6478","-0.66277","-1.6374","0.69924","-0.005429","0.62123"
"-14.64","-6.9676","-3.7172","2.6729","-0.33127","-1.3677","0.72691","0.12207","0.58639"
"-11.931","-0.91713","-0.7862","0.30905","0.84228","-1.6105","0.74871","0.22284","0.55933"
"-8.1351","0.63065","2.2854","-1.479","1.1497","-1.5697","0.7508","0.28872","0.56684"
"-3.7716","2.1781","-0.59671","-0.57049","-1.1464","-1.9744","0.70511","0.71242","0.61605"
"-5.3971","1.3032","-1.0403","-0.37629","-1.1658","-1.215","0.68604","0.75203","0.6075"
"-5.7106","-0.39373","-1.9795","-0.67665","-0.50345","0.32631","0.65493","0.80739","0.60608"
"-7.4504","-1.6203","-1.8748","-0.98188","-0.64262","2.0625","0.63447","0.75097","0.6111"
"-8.5609","-2.4282","-10.852","-1.2099","-0.67152","1.9839","0.69278","0.68483","0.59949"
"-8.732","-4.2454","0.9574","-1.9406","-0.72797","2.6385","0.69752","0.55736","0.61244"
"-11.325","-21.504","-0.69279","-2.7427","-0.067428","1.7054","0.72022","0.47786","0.61714"
"-9.4344","0.084117","-2.4928","-2.5988","-0.56412","1.2804","0.71916","0.4405","0.64545"
"-12.593","15.255","-1.7496","0.19382","-0.043942","1.4546","0.7367","0.36339","0.63059"
"-12.345","-1.2895","0.36936","2.6073","0.12271","0.99776","0.72113","0.29392","0.62279"
"-8.5552","-4.9681","0.69484","3.1295","0.37111","0.7203","0.69182","0.2697","0.61755"
"-8.2558","3.2313","-1.4274","1.1241","1.1363","0.85495","0.66407","0.18766","0.57673"
"-3.9467","-8.9789","0.13544","-1.3139","1.0541","0.8868","0.63225","0.10902","0.5901"
"-6.0368","-4.9602","-2.1805","-0.15415","0.84075","1.1141","0.62843","0.028822","0.57814"
"-5.9091","-4.0032","-4.8507","0.0016264","0.97479","1.1656","0.58932","-0.096048","0.54223"
"-6.2959","-3.2784","-4.7612","-0.10835","1.3381","-0.33756","0.53129","-0.12864","0.58419"
"-6.9801","-3.4345","-4.238","-0.13563","1.2673","-0.793","0.49199","-0.071181","0.56493"
"-9.7712","-3.2521","-2.5792","0.44136","0.91868","-1.084","0.54562","0.018785","0.55676"
