"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-8.9919","1.523","-0.1103","0.066464","0.03588","-0.74128","0.84133","-0.094911","-0.45932"
"-9.6674","1.4667","-1.6469","0.1982","0.10988","-0.80258","0.84347","-0.068492","-0.47821"
"-10.304","0.50201","-1.1184","0.35169","0.027284","-0.75035","0.84162","-0.056874","-0.49554"
"-9.989","0.013439","-2.2148","-0.018927","0.28292","-0.74887","0.84295","-0.048129","-0.5093"
"-14.395","3.6165","0.063685","-0.003986","0.40505","-0.51936","0.85241","-0.040197","-0.50467"
"-15.206","4.7807","0.69138","0.34593","0.091955","-0.062385","0.85569","-0.049854","-0.50896"
"-13.961","2.9488","-1.2624","0.49385","-0.16847","0.19472","0.85554","-0.056817","-0.51526"
"-13.187","3.1945","-1.9074","-0.21429","-0.1187","0.14648","0.85499","-0.057832","-0.52224"
"-13.364","4.3023","-1.537","-0.67446","0.14886","0.38239","0.85454","-0.042696","-0.51415"
"-12.311","2.0787","0.18256","-0.26661","0.35046","0.77884","0.86458","-0.038565","-0.48083"
"-6.1776","-3.652","-2.8393","0.63647","-0.28245","0.67767","0.85501","-0.06935","-0.46978"
"-8.3382","7.6263","-0.86161","0.28496","0.24921","0.65735","0.85407","-0.092319","-0.44729"
"-9.482","2.5844","0.29887","-0.57355","-0.5244","1.0745","0.85067","-0.12745","-0.41885"
"-7.7327","0.48006","-0.60157","-0.042489","-0.4072","1.0254","0.83771","-0.16104","-0.40388"
"-9.6729","3.661","0.93912","0.26321","-0.52604","1.3695","0.82696","-0.21114","-0.38849"
"-9.0065","1.5075","-0.005535","0.16896","-0.83955","1.5874","0.80365","-0.27416","-0.38786"
"-8.2368","2.415","-1.0565","0.88339","-0.58039","1.4641","0.78166","-0.34031","-0.37954"
"-9.1639","5.486","-0.97341","0.21836","-0.54032","1.4323","0.75708","-0.40011","-0.37175"
"-10.822","5.6576","-0.52672","-0.80572","-0.84091","1.56","0.72582","-0.45205","-0.3823"
"-8.5116","3.7469","-0.58326","-1.3077","-0.75694","1.5354","0.68794","-0.49655","-0.41367"
"-6.7341","3.6505","-0.95261","-1.1876","-0.51866","1.3543","0.64606","-0.53302","-0.44499"
"-8.8044","4.2984","-0.012013","-1.6484","-0.44401","1.2712","0.61384","-0.55501","-0.48141"
"-5.6181","-1.1906","-0.83488","-1.9624","-0.22465","0.76317","0.58164","-0.55242","-0.53524"
"-7.7217","-0.83988","1.1933","0.85253","0.65952","-0.27496","0.58966","-0.55177","-0.53473"
"-12.212","6.1379","3.4664","1.3528","0.78071","-0.73829","0.62266","-0.55943","-0.4869"
"-9.2922","3.2633","3.1531","0.79349","0.57553","-1.0811","0.6443","-0.54076","-0.45728"
"-7.4093","2.4226","1.4962","0.78683","0.54432","-1.5634","0.67725","-0.50918","-0.4332"
"-9.0009","3.2778","-0.067372","0.38207","0.57019","-1.5781","0.70532","-0.47254","-0.41502"
"-8.3894","3.5345","0.1097","0.35127","0.68965","-1.5878","0.73579","-0.41644","-0.40531"
"-6.9005","4.4858","0.03354","0.34983","0.61166","-1.2926","0.75922","-0.3647","-0.40051"
"-5.7972","4.806","-0.18474","-0.020136","0.46735","-1.0942","0.77856","-0.30178","-0.41066"
"-9.0428","3.7018","-1.0591","-0.11484","0.55169","-1.1626","0.79821","-0.2488","-0.41683"
"-9.6136","3.35","0.025282","-0.16762","0.48699","-1.0819","0.81083","-0.20945","-0.4208"
"-7.8113","1.6459","0.31845","-0.026135","0.2942","-0.80124","0.82486","-0.16886","-0.43075"
"-9.7213","2.0935","-0.9209","0.023519","0.28441","-0.86651","0.83471","-0.12983","-0.44536"
"-8.879","2.6052","-0.52938","0.18246","0.002211","-0.77131","0.83913","-0.092614","-0.47165"
"-8.9915","0.36319","-2.555","0.32707","-0.091386","-0.83339","0.8409","-0.071176","-0.49475"
"-11.12","2.4924","-0.77686","0.14824","-0.003773","-0.87014","0.84147","-0.056492","-0.51237"
"-9.7754","-0.41929","-0.90424","-0.025745","0.42191","-0.64282","0.84584","-0.048385","-0.52414"
"-14.496","5.5601","-0.43537","0.22739","0.6407","-0.36545","0.85669","-0.0519","-0.51665"
"-16.461","4.6246","0.8242","0.05346","0.055886","-0.02724","0.86023","-0.054181","-0.51202"
"-13.535","1.1506","-1.4542","0.14237","-0.26427","0.26433","0.85974","-0.052965","-0.51677"
"-12.562","0.63884","-1.9068","0.10496","-0.17683","0.042418","0.85646","-0.055873","-0.52717"
"-12.36","5.309","-1.135","-0.4802","0.11627","0.21482","0.85759","-0.046141","-0.52635"
"-12.72","6.5423","1.325","-0.60809","0.52016","0.68745","0.86593","-0.033989","-0.49681"
"-7.5405","-4.0659","-2.0108","0.88356","-0.42269","1.0297","0.85906","-0.05625","-0.47737"
"-7.0907","5.7974","-1.7424","0.40122","0.11457","0.60743","0.85392","-0.08685","-0.45914"
"-9.5617","2.4607","1.1227","-0.5762","-0.29891","1.2067","0.85198","-0.12245","-0.41867"
"-8.3353","1.1256","-1.3122","0.33561","-0.46021","1.0508","0.84061","-0.16108","-0.40046"
"-9.0666","4.1946","-0.54988","-0.062753","-0.54714","1.2864","0.82786","-0.21172","-0.38359"
"-9.5269","0.92144","-0.24044","-0.033272","-0.7748","1.5825","0.80306","-0.27691","-0.38289"
