"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-11.503","-0.43627","-1.619","-0.42989","-0.1589","0.42441","0.83809","0.083281","-0.49334"
"-10.439","-0.1249","0.27028","-0.76614","-0.95556","0.33424","0.82715","0.095756","-0.51245"
"-8.4024","-1.0326","0.46225","-0.18549","-0.54701","0.49484","0.81658","0.096584","-0.52717"
"-7.3845","1.8773","1.4549","0.72907","-0.76488","0.88665","0.80902","0.076165","-0.52326"
"-7.6164","4.0735","-0.2253","0.7944","-0.23123","1.279","0.80595","0.032637","-0.52014"
"-8.0722","7.6921","-5.1229","0.54742","-0.24654","1.5406","0.80649","-0.028752","-0.5097"
"-7.0904","0.89433","3.6528","-0.32786","0.020477","2.0002","0.82346","-0.085233","-0.45768"
"-6.0303","-0.91337","-0.70572","-0.16105","-0.70918","2.1975","0.82263","-0.15081","-0.44176"
"-5.192","1.6697","-0.62416","0.64011","0.16458","2.52","0.8231","-0.24861","-0.39937"
"-7.9667","1.8372","1.5333","-0.13985","-0.24323","2.4256","0.81892","-0.32428","-0.37436"
"-12.223","1.1122","0.47319","-0.24624","-0.661","2.3582","0.80795","-0.38639","-0.38513"
"-13.355","2.867","-0.54188","-0.61884","-0.92331","2.1282","0.78238","-0.44507","-0.40977"
"-11.062","4.672","0.46265","-0.44458","-0.5383","1.8788","0.75085","-0.49615","-0.43536"
"-10.324","7.1588","1.9379","-0.16881","-0.31017","1.6754","0.71718","-0.55007","-0.44341"
"-8.1768","2.9451","3.6438","-0.52631","-0.39539","1.456","0.67878","-0.59615","-0.46249"
"-6.3643","-1.348","2.4844","-0.024718","0.31686","0.019938","0.66244","-0.62516","-0.46701"
"-9.0658","0.20894","0.65766","0.6147","1.0275","-1.6036","0.69181","-0.59812","-0.44238"
"-11.449","4.0372","-0.56487","0.82981","1.4047","-2.337","0.74765","-0.54083","-0.39511"
"-14.388","11.476","-1.2172","0.9731","1.5427","-2.0459","0.7971","-0.47211","-0.33422"
"-9.2081","2.7784","3.068","-0.45947","-0.031584","-1.6669","0.80724","-0.42423","-0.33214"
"-5.1965","0.77424","1.8753","0.38094","0.028486","-2.0041","0.82055","-0.37498","-0.33335"
"-5.7559","0.49405","-1.6171","0.69167","0.082826","-1.928","0.82674","-0.30983","-0.35033"
"-9.2058","2.4147","-3.2492","0.36932","0.37274","-1.8788","0.83843","-0.23937","-0.356"
"-9.7995","5.3152","-1.501","0.22068","-0.087636","-1.4375","0.83794","-0.17333","-0.39042"
"-5.4026","3.4815","-3.6541","-0.55501","-0.21796","-0.88145","0.82788","-0.12507","-0.43551"
"-6.4055","2.2356","-0.79171","-0.97028","0.92733","-1.0871","0.83959","-0.076743","-0.4356"
"-8.0975","2.6311","1.6799","-0.7282","0.30667","-0.82468","0.84396","-0.027557","-0.45237"
"-8.7406","1.1526","1.2934","0.2732","0.16595","-0.42264","0.84569","0.00248","-0.46645"
"-8.8957","1.889","-2.7922","1.2245","0.26244","-0.28693","0.845","0.003236","-0.48953"
"-9.4591","4.7278","-4.2172","1.3713","0.28098","-0.30567","0.84892","-0.019615","-0.49693"
"-9.2897","6.3377","-1.6269","-0.40011","0.16273","-0.26559","0.85014","-0.022397","-0.475"
"-9.3452","2.6326","-1.6616","-1.2604","0.20071","-0.35085","0.84317","0.001528","-0.44049"
"-11.104","1.8161","-1.786","-1.4796","0.56269","-0.40493","0.83713","0.036026","-0.38595"
"-28.521","12.656","1.0335","-1.6805","0.92796","0.68411","0.83665","0.061548","-0.29728"
"-11.599","-7.0696","-6.3557","0.91296","-0.087496","0.96521","0.83185","0.047462","-0.28457"
"-15.87","-8.8328","-3.0557","0.26564","-0.085337","-0.4467","0.84294","0.05468","-0.25102"
"-12.857","-1.4921","-1.5175","-0.61774","-0.73633","-1.0375","0.84551","0.076937","-0.28123"
"-11.069","2.5629","-0.97581","-0.89884","-0.46834","-1.1443","0.84414","0.12244","-0.31775"
"-8.8705","4.9201","-1.2118","-0.6856","0.02183","-0.62954","0.84657","0.14711","-0.34363"
"-7.6029","5.1892","-1.5918","-0.21964","-0.36798","0.15221","0.85138","0.14988","-0.35369"
"-8.3191","5.3334","-0.87105","-0.006621","-0.17827","0.7466","0.86317","0.13622","-0.33769"
"-9.4773","4.1719","-0.42036","0.27489","-0.26676","1.0882","0.87733","0.084129","-0.32557"
"-7.5353","-1.4613","-0.24016","-0.000294","-0.60883","1.3114","0.89639","0.027343","-0.32059"
"-5.5226","-0.33135","0.49684","0.57873","-0.1485","1.1092","0.91841","-0.049744","-0.30831"
"-4.6381","1.4766","-0.5603","0.023927","-0.38709","0.59248","0.9332","-0.087054","-0.30541"
"-4.6466","1.211","-1.6256","-0.519","-0.68918","0.69612","0.95263","-0.089648","-0.30502"
"-6.7113","2.5903","0.17716","-0.61533","-0.18504","1.2048","0.97388","-0.099673","-0.30649"
"-10.316","2.0653","0.3454","-1.0064","-0.50203","1.6685","1.0085","-0.1195","-0.30231"
"-14.262","-0.038613","1.1238","-0.79432","-0.2757","2.0492","1.0501","-0.15783","-0.29565"
"-15.158","0.3793","2.5759","0.32465","-0.96049","2.1806","1.0637","-0.22729","-0.31156"
"-12.491","4.2714","1.6349","0.91733","-1.283","2.0485","1.0533","-0.31949","-0.33804"
"-11.911","4.575","1.3236","0.19227","-0.88471","1.6992","1.0102","-0.40836","-0.37976"
"-9.2012","-1.704","2.4278","-0.28564","-0.40386","0.43316","0.97585","-0.4609","-0.41022"
"-10.73","-1.2101","1.226","0.58383","0.80419","-1.1739","0.9522","-0.45653","-0.41517"
"-12.776","0.96181","0.042068","0.93693","1.0032","-1.8718","0.94428","-0.39994","-0.38829"
"-14.102","3.1018","-0.001907","1.255","1.0369","-2.0069","0.94102","-0.3407","-0.33433"
"-11.125","6.8764","0.54901","0.93561","0.39779","-1.9436","0.91676","-0.29648","-0.3157"
"-5.9508","0.16317","3.8116","0.76829","-0.9746","-1.2805","0.88737","-0.27316","-0.33557"
"-2.7324","0.64896","-5.3231","1.3234","-0.72392","-1.5659","0.84254","-0.24283","-0.37845"
"-7.4732","2.8978","-2.3295","0.85913","0.80015","-1.6128","0.83628","-0.19619","-0.38557"
"-9.2691","5.4137","-1.2429","0.36134","0.025636","-1.1958","0.8311","-0.15069","-0.41384"
"-6.3948","4.3238","2.0574","0.30848","-0.49746","-1.0505","0.81929","-0.11351","-0.45859"
"-3.1902","3.0865","-3.9469","-0.072971","0.31016","-0.99967","0.81015","-0.06636","-0.50865"
"-6.8061","3.7419","-2.6772","-0.29854","0.90582","-0.53284","0.83031","-0.015363","-0.51072"
"-11.156","3.7171","2.7427","0.027634","0.61012","-0.71271","0.84746","0.010222","-0.50799"
"-9.711","0.11474","-0.75078","0.56733","0.43245","-0.76252","0.85318","0.034878","-0.52437"
"-10.377","-2.1203","-3.1927","0.17076","0.53357","-0.60621","0.86977","0.054763","-0.52417"
"-9.4193","-2.5209","-3.3381","-0.11291","-0.073467","-1.3456","0.8749","0.081497","-0.54414"
"-10.204","-0.043395","-1.0681","-1.1387","-0.43518","-1.3599","0.87181","0.11844","-0.56517"
"-12.539","11.534","-2.6508","-0.91384","-0.03754","-0.41944","0.85929","0.13798","-0.58662"
"-23.941","-8.4839","2.7242","-1.5906","0.35445","-0.16254","0.87732","0.19175","-0.51479"
"-14.973","0.68488","-3.9934","0.13101","0.46026","-0.4428","0.86121","0.21541","-0.52443"
"-12.133","1.1082","-5.6926","-0.66742","-0.52395","0.069031","0.84765","0.22602","-0.52061"
"-12.677","-1.6113","-1.5438","-0.90028","-0.016307","-0.036314","0.84059","0.24468","-0.46305"
"-11.157","-2.7543","0.62637","-0.15804","-0.32489","0.33289","0.83062","0.23263","-0.46126"
"-8.1775","-1.4493","-0.13303","0.60159","-0.33154","0.63481","0.82063","0.20086","-0.49391"
"-8.272","0.19372","1.469","0.90785","-0.54123","0.71761","0.81906","0.15097","-0.50704"
"-7.7708","4.2616","1.272","0.79817","-0.46884","1.1433","0.8173","0.099596","-0.51845"
"-9.2646","7.1265","-1.9124","0.24246","-0.139","1.432","0.82287","0.0409","-0.4958"
"-10.918","6.3164","-1.6521","-0.066005","0.078165","1.9487","0.83433","-0.020875","-0.45521"
"-8.2668","-0.46959","2.2651","0.002595","-0.80853","2.1795","0.83523","-0.086658","-0.42762"
"-4.5731","-2.5717","-0.93725","0.36854","-0.44129","2.1328","0.8299","-0.1764","-0.41897"
"-4.8309","1.726","0.60604","0.72343","-0.16608","1.9513","0.83043","-0.25633","-0.39215"
"-7.6549","1.7602","0.50425","-0.28994","-0.28218","2.0617","0.82999","-0.33702","-0.36881"
"-9.1803","2.0393","0.47329","-0.44366","-0.69141","2.1013","0.81259","-0.39199","-0.38516"
"-11.404","4.1789","-0.33904","-0.44623","-0.80211","2.1133","0.79326","-0.43753","-0.40151"
"-13.569","5.8458","0.77113","-0.61788","-0.62487","1.8503","0.76472","-0.48646","-0.42736"
"-10.426","5.3562","2.4555","-0.20355","-0.45534","1.6396","0.73375","-0.54009","-0.4437"
"-8.4207","4.3943","4.8078","-0.41683","-0.50353","1.5703","0.69346","-0.60068","-0.45704"
"-6.6095","-0.059897","2.7181","-0.24901","-0.070692","0.3484","0.66048","-0.62689","-0.48184"
"-9.0524","-0.58931","1.4466","0.52571","0.8615","-1.2873","0.68195","-0.61689","-0.46058"
"-10.603","2.7682","0.57897","0.93741","1.1762","-2.4411","0.72618","-0.56036","-0.42347"
"-12.465","9.3852","-1.619","1.0277","1.3653","-2.5797","0.77669","-0.4906","-0.37332"
"-12.48","4.3121","6.287","-0.13074","-0.019524","-1.3927","0.81342","-0.43444","-0.33367"
"-5.0986","1.5666","0.79592","0.10975","-0.17006","-1.8086","0.81174","-0.38165","-0.36851"
"-5.0048","-0.41679","-1.9087","0.58582","-0.14627","-1.8893","0.80769","-0.33568","-0.38263"
"-8.4733","1.1106","-2.7829","0.88988","0.54669","-2.2052","0.81799","-0.27194","-0.38757"
"-11.065","4.6553","-0.93298","0.2239","0.084527","-1.612","0.82785","-0.20486","-0.39859"
"-6.2564","3.3944","-1.5553","-0.38658","-0.23379","-1.3403","0.82441","-0.1315","-0.44843"
"-5.6498","0.11288","-1.8397","-0.27091","0.61247","-1.3492","0.82175","-0.077289","-0.48293"
"-7.4844","1.9786","0.44741","0.47456","0.29902","-1.619","0.8249","-0.035618","-0.50171"
"-7.9952","1.4928","1.3681","0.90183","0.40444","-1.5195","0.83096","-0.00148","-0.53021"
"-9.5949","-1.7422","-3.1924","-0.87399","0.52431","-1.5046","0.8386","0.044779","-0.55932"
"-8.6987","-1.8929","-0.36811","0.29756","-0.056717","-1.5464","0.84984","0.09162","-0.59485"
"-11.25","11.674","-0.79428","1.6628","-0.24049","-0.7259","0.8504","0.067439","-0.64415"
"-11.776","3.9108","-6.5588","-0.50426","0.79646","0.79704","0.86188","0.059417","-0.61686"
"-10.745","-4.7893","-0.20349","-1.5478","-0.036811","-0.28863","0.86316","0.09129","-0.56025"
"-20.982","-4.8241","-1.5946","-0.52221","0.69244","-1.1762","0.86311","0.12212","-0.51635"
"-16.325","-1.2859","-2.0977","-0.12456","-0.29678","0.69698","0.86507","0.11813","-0.50031"
"-14.3","0.56737","-3.9498","0.25114","-0.036324","0.12373","0.8635","0.10649","-0.51247"
"-12.584","0.72882","-1.4619","-0.38131","-0.31865","0.36711","0.85758","0.1143","-0.51909"
"-9.5514","0.28002","-2.466","-1.4817","-0.51873","0.11568","0.84186","0.13251","-0.52448"
"-9.8929","-0.54842","-0.16847","-1.393","-0.73696","0.003815","0.82664","0.17453","-0.51226"
"-7.6044","0.48694","0.13149","-0.66456","-0.62071","0.51132","0.81614","0.18001","-0.49658"
"-8.1934","2.4428","1.7682","-0.25674","-0.55892","1.0135","0.81508","0.16104","-0.48565"
"-8.7359","7.9119","-0.88973","0.32355","-0.23087","1.3909","0.81964","0.13162","-0.4697"
"-11.767","8.5921","-5.0331","-1.0861","0.79969","1.7625","0.84532","0.072747","-0.40856"
"-8.999","-4.0506","0.5736","-1.5875","-1.2132","1.8281","0.86878","0.019883","-0.37257"
"-5.9145","-3.1325","-0.81353","0.04358","-0.67987","1.7702","0.88775","-0.060847","-0.36174"
"-7.0257","-0.26009","-0.036144","1.2551","0.40542","1.7838","0.90346","-0.14273","-0.34316"
"-8.6432","0.15096","2.3769","1.2865","-0.34011","1.8724","0.9146","-0.2112","-0.31627"
"-9.7244","1.1746","2.2866","0.31176","-0.75548","2.0091","0.91057","-0.28549","-0.3176"
"-10.054","1.5167","2.6622","0.032903","-1.0219","1.6349","0.90611","-0.3416","-0.33584"
"-11.432","4.2495","0.69576","-0.144","-1.0458","1.4217","0.89743","-0.39949","-0.35652"
"-14.053","5.7362","1.4068","-0.22627","-1.3214","1.8014","0.86748","-0.44862","-0.40364"
