"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"9.727","1.1315","-1.0434999999999999","0.4355","0.0645","0.0","-31.207","21.2065","-4.165"
"9.689","1.095","-1.081","0.4875","0.067","-0.061","-31.365","21.204","-4.177"
"9.689","1.169","-1.082","0.5615","0.0945","-0.0885","-31.365","21.204","-4.497"
"9.612","1.206","-1.0825","0.655","0.1335","-0.118","-31.365","21.568","-4.519"
"9.46","1.021","-1.232","0.6134999999999999","0.20600000000000002","-0.119","-31.5225","21.570500000000003","-4.519"
"9.498000000000001","1.1320000000000001","-1.457","0.5734999999999999","0.28600000000000003","-0.1245","-31.68","21.747","-4.531000000000001"
"9.689","1.0579999999999998","-1.4180000000000001","0.6234999999999999","0.34450000000000003","-0.153","-31.68","22.107999999999997","-4.3865"
"9.46","1.0579999999999998","-1.6440000000000001","0.67","0.41000000000000003","-0.14450000000000002","-31.68","22.29","-4.232"
"9.536","1.0579999999999998","-1.6815","0.808","0.4445","-0.10200000000000001","-31.68","22.472","-3.91"
"9.536","0.946","-1.7174999999999998","0.867","0.447","-0.03","-31.68","22.107999999999997","-3.7270000000000003"
"9.574","1.1695","-1.795","0.857","0.4345","0.0115","-31.5225","21.932","-3.55"
"9.727","1.317","-1.9825","0.887","0.35450000000000004","0.0155","-31.365","21.932","-3.548"
"9.498000000000001","1.244","-1.7955","0.9145000000000001","0.243","-0.023","-31.365","21.9345","-3.875"
"9.307","1.022","-1.533","0.8574999999999999","0.15050000000000002","-0.055999999999999994","-31.207","21.9345","-4.203"
"9.307","0.8355","-1.53","0.7095","-0.007500000000000001","-0.077","-31.365","21.932","-4.702"
"9.344999999999999","0.8725","-1.643","0.47","-0.2265","-0.159","-31.68","21.929","-5.364"
"9.8415","0.8345","-2.0135","0.1915","-0.47450000000000003","-0.161","-31.838","22.107999999999997","-6.203"
"10.0705","1.7255","-2.5075000000000003","0.028999999999999998","-0.49","-0.1625","-31.996","22.4645","-7.2170000000000005"
"11.3315","1.944","-1.6019999999999999","0.1545","-0.4215","-0.1725","-32.153999999999996","22.649","-7.885"
"11.293","0.3075","-0.871","0.1345","-0.402","-0.29300000000000004","-32.47","23.183999999999997","-8.581"
"8.313500000000001","-0.7969999999999999","-1.033","-0.065","-0.39049999999999996","-0.354","-32.944","23.725","-9.268"
"9.6125","0.1645","-0.471","-0.504","-0.2725","-0.1975","-32.944","23.725","-9.278"
"10.3765","0.274","1.5585","-0.4275","-0.40549999999999997","-0.1835","-33.259","24.084","-9.962"
"9.4215","0.8725","1.468","-0.2575","-0.4075","-0.10300000000000001","-33.417","24.084","-10.294"
"9.918","0.2385","0.3595","-0.14650000000000002","-0.2515","-0.14600000000000002","-33.259","24.448","-10.806999999999999"
"9.8415","-1.3235000000000001","0.8959999999999999","-0.21799999999999997","-0.301","-0.20550000000000002","-33.575","24.806","-10.998000000000001"
"9.536","0.2395","0.502","-0.5655","-0.3425","-0.0385","-33.417","24.627000000000002","-11.322"
"9.879999999999999","0.9455","0.8345","-0.5974999999999999","-0.26","0.0155","-33.417","24.448","-11.479"
"9.765","0.0155","1.4055","-0.4175","-0.235","-0.0295","-33.259","24.630000000000003","-11.652"
"9.918","-0.2455","0.8485","-0.319","-0.23049999999999998","-0.009000000000000001","-33.417","24.445","-11.7985"
"9.650500000000001","0.314","0.3535","-0.1955","-0.218","0.0045000000000000005","-33.259","24.448","-12.291"
"9.689","-0.0585","0.5825","-0.08499999999999999","-0.11099999999999999","-0.041","-33.259","24.448","-12.291"
"9.612","0.4255","0.575","0.0165","-0.07650000000000001","-0.048","-33.259","24.6325","-12.311"
"9.8035","0.871","0.759","0.1055","-0.013500000000000002","-0.054","-33.259","24.812","-12.309000000000001"
"9.879999999999999","0.35","1.0285","0.0585","-0.011","-0.053500000000000006","-33.259","24.812","-12.311"
"9.8035","0.09","0.9185","-0.028000000000000004","0.010499999999999999","-0.0405","-33.259","24.812","-12.311"
"9.8035","0.5365","0.726","-0.052500000000000005","-0.009","0.0265","-33.259","24.994","-12.318999999999999"
