"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"9.749","-1.088","0.7809999999999999","0.0335","0.005","0.023","-31.327","25.738500000000002","-5.929"
"9.749","-1.0505","0.7805","0.026","0.0005","-0.010499999999999999","-31.83","25.567500000000003","-5.9254999999999995"
"9.825","-0.938","0.817","0.036","0.0075","-0.0465","-31.662","25.946","-6.099"
"9.901","-0.8265","0.891","0.026","0.005","-0.051000000000000004","-31.662","25.934","-5.935499999999999"
"9.901","-0.7515000000000001","0.8905000000000001","0.043","0.005","-0.036500000000000005","-31.83","25.946","-5.9305"
"9.901","-0.7515000000000001","0.9644999999999999","0.0","-0.0015","0.006","-31.662","26.123","-5.93"
"9.901","-0.938","0.9285","0.007","-0.020499999999999997","0.0495","-31.327","25.738500000000002","-5.9345"
"9.825","-0.938","0.817","0.0195","-0.025500000000000002","0.055","-31.494500000000002","25.934","-6.0935"
"9.825","-1.013","0.818","-0.002","-0.0115","0.047","-31.662","25.934","-6.0885"
"9.749","-1.163","0.893","0.031","-0.009","0.016","-31.327","25.732","-5.928"
"9.749","-1.013","0.892","0.055","-0.002","-0.034","-31.494500000000002","25.744500000000002","-6.2445"
"9.825","-1.013","0.892","0.007","0.005","-0.049","-31.83","25.946","-5.9305"
"9.825","-0.938","0.966","-0.005","0.0125","-0.059","-31.327","26.117","-5.9405"
"9.901","-0.8265","0.966","-0.0095","0.024","-0.062","-31.494500000000002","26.1235","-6.263999999999999"
"9.901","-0.789","1.0394999999999999","-0.0165","0.019","-0.035500000000000004","-31.494500000000002","26.3","-5.9415"
"9.901","-1.0505","0.9684999999999999","-0.0385","0.0125","0.0095","-31.327","25.928","-6.099"
"9.825","-1.163","0.894","-0.0165","0.001","0.036500000000000005","-31.327","26.111","-6.0975"
"9.825","-1.163","0.82","-0.0095","0.005","0.039","-31.662","26.1355","-5.941"
"9.749","-1.163","0.893","0.0","0.001","0.0155","-31.494500000000002","25.934","-6.2515"
"9.825","-1.163","0.82","-0.012","0.0125","-0.0065","-31.327","25.928","-6.092499999999999"
"9.863","-0.9754999999999999","0.8925000000000001","-0.002","0.017","-0.03","-31.662","25.946","-5.9305"
"9.901","-0.789","0.891","-0.0145","0.019","-0.026","-31.494500000000002","26.3185","-5.948"
"9.901","-0.864","0.966","-0.0385","0.015","-0.0095","-31.327","25.928","-6.092499999999999"
