"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-13.759","8.5202","-3.9179","0.92735","1.284","1.1464","0.89228","-0.26454","0.044115"
"-10.407","3.4269","2.1597","-0.98518","-0.30827","1.4368","0.87616","-0.30954","0.049144"
"-10.264","1.1945","-0.59086","0.40267","-0.51237","0.92103","0.86205","-0.34581","0.031105"
"-8.4094","-1.4642","1.1361","-0.54484","-0.61078","0.86863","0.84911","-0.37378","-0.000837"
"-9.1827","-0.89687","-2.0197","0.51933","0.070247","1.0038","0.83235","-0.41408","-0.00025"
"-10.027","-0.10464","-1.0385","-0.23419","-0.015848","0.95389","0.81738","-0.44564","0.003554"
"-8.8762","-1.6178","-1.3069","-0.63799","0.04079","1.0073","0.797","-0.47813","-0.011046"
"-9.6692","-0.61047","-2.1093","-0.713","-0.18628","0.77107","0.7783","-0.499","-0.019931"
"-9.6077","-0.26353","-1.0169","-0.93009","-0.43038","0.79799","0.7638","-0.52094","-0.049348"
"-9.6678","-0.62347","-0.52594","-0.53308","-0.20967","0.91431","0.74489","-0.55004","-0.075198"
"-9.2494","-0.98959","-1.0427","-0.19159","-0.061095","0.93508","0.72278","-0.57637","-0.086133"
"-8.9502","-0.83903","-1.7841","-0.005497","-0.11535","0.7912","0.70214","-0.5997","-0.090182"
"-8.7279","-1.5979","-2.9176","-0.11061","-0.12097","0.70993","0.68488","-0.61793","-0.094473"
"-8.4887","-2.5066","-1.8256","-0.74025","-0.25173","0.57126","0.66612","-0.63228","-0.11203"
"-10.059","-1.3887","-1.1545","-1.1176","-0.33104","0.33536","0.65419","-0.64408","-0.13951"
"-9.5541","-3.1261","-2.6668","-0.75777","-0.5605","0.13739","0.64522","-0.64146","-0.17877"
"-11.306","-7.5488","-2.1407","0.21537","-0.1304","-0.46173","0.64675","-0.63643","-0.18877"
"-11.801","-6.2505","3.187","-2.2069","-0.17987","-1.117","0.66602","-0.60167","-0.22377"
"-13.124","3.7458","4.1178","-2.6003","-0.10488","-1.9511","0.70294","-0.5265","-0.28832"
"-15.996","3.7899","-0.39688","-2.0892","0.57082","-1.4826","0.73847","-0.46063","-0.31623"
"-12.15","1.1164","0.76624","-1.3572","0.6043","-1.6758","0.77278","-0.39161","-0.32637"
"-11.009","2.9113","0.70073","-0.96364","0.71623","-1.5165","0.80563","-0.3217","-0.32277"
"-9.1656","2.253","2.8138","-0.149","0.51658","-1.0964","0.83164","-0.26302","-0.31612"
"-6.4852","2.0936","2.0894","0.54862","0.42593","-1.0203","0.84674","-0.22932","-0.30158"
"-6.5366","4.5255","-1.2583","2.394","0.91048","-0.89691","0.86287","-0.22423","-0.25215"
"-7.1307","2.4329","-0.086477","2.0339","0.66699","-1.175","0.87966","-0.20477","-0.21088"
"-9.6327","1.6946","0.78044","1.8874","0.90929","-0.72409","0.89375","-0.18678","-0.16276"
"-8.4375","0.78404","-0.99429","0.26492","0.55068","-0.11702","0.90301","-0.1832","-0.12373"
"-9.34","-2.4598","0.87875","-0.7718","0.21599","0.21942","0.90468","-0.18274","-0.1145"
"-9.6097","-6.9399","0.89199","0.2858","0.27073","-0.018585","0.9039","-0.18215","-0.11096"
"-7.1512","-5.8473","-7.2865","0.87009","0.48019","-0.17184","0.90529","-0.18111","-0.096507"
"-7.4746","-13.961","-1.9738","1.4936","0.47229","0.083993","0.90628","-0.18532","-0.074316"
"-8.23","-0.21583","-1.5462","0.54148","0.64594","0.022166","0.90825","-0.18757","-0.043321"
