"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-9.2741","-2.5583","-3.2337","0.98963","0.38026","-1.776","0.70437","0.50111","0.12099"
"-9.6677","-0.61863","-1.1128","1.5115","0.44944","-1.7821","0.66642","0.55726","0.10804"
"-9.6472","0.75802","-2.0893","1.9356","0.26585","-1.6825","0.62499","0.60777","0.075506"
"-9.4904","1.5819","-3.4751","1.5907","0.08659","-1.6916","0.58282","0.65415","0.033357"
"-9.9018","0.83978","-2.1545","0.77069","0.060794","-1.3575","0.54122","0.6891","0.007679"
"-9.2885","-0.74767","-2.1855","0.19904","-0.1826","-1.3163","0.50643","0.71694","-0.005711"
"-10.571","0.36393","-1.9874","0.37431","-0.095849","-1.2087","0.46887","0.74218","-0.013973"
"-10.418","-0.18542","-1.3985","1.0024","-0.18553","-1.0761","0.43545","0.76342","-0.037001"
"-9.509","0.045954","-2.0633","0.80778","-0.24113","-0.95386","0.40424","0.7797","-0.068713"
"-11.346","2.2497","-3.5206","1.3752","-0.069879","-0.38216","0.38461","0.78846","-0.099862"
"-13.681","6.7332","-1.7717","1.2531","-0.40848","0.62864","0.38662","0.78455","-0.14323"
"-12.935","7.4796","-0.1969","0.57945","-0.74252","1.8715","0.42357","0.76202","-0.18267"
"-11.545","-2.2172","-2.6494","-1.1288","-0.091113","2.8047","0.49553","0.72439","-0.17487"
"-16.994","-6.1442","-3.1598","-0.77404","0.18393","2.9198","0.58014","0.67193","-0.13662"
"-15.707","-6.0391","-1.9486","-0.41825","0.41685","2.5853","0.65375","0.61008","-0.11778"
"-11.986","-4.0214","-0.27037","-0.96948","0.59213","2.9654","0.72424","0.53718","-0.084739"
"-8.7783","-4.9509","-0.9402","-1.8829","0.52104","2.5886","0.78393","0.45584","-0.035642"
"-7.1755","-5.7026","-0.78713","-2.2263","0.55389","2.1598","0.82646","0.37731","0.020126"
"-5.9882","-4.5323","-1.5449","-1.616","0.16046","1.5696","0.85198","0.31222","0.052868"
"-5.8679","-6.3446","-2.0807","-1.3029","0.1138","0.93181","0.86632","0.26704","0.079653"
"-5.4287","-7.4978","-2.1006","-0.86261","0.54463","-0.013088","0.87087","0.24925","0.099871"
"-5.2274","-4.6759","-2.3547","0.31349","0.83669","-0.63249","0.86343","0.26214","0.12865"
"-10.232","8.6778","-4.3906","2.1438","1.7434","-0.92766","0.84769","0.30129","0.1529"
"-19.486","36.879","4.599","-3.2052","0.37872","0.284","0.83014","0.30777","0.21207"
"-5.4759","-6.2321","-3.5135","-1.4461","-0.94258","-0.57745","0.83933","0.29287","0.21188"
"-14.059","1.2613","-2.8838","-0.95203","0.52549","-1.1124","0.82601","0.32391","0.21841"
"-17.736","0.481","0.89972","0.34295","-0.43844","-0.24444","0.81927","0.33007","0.23475"
"-4.2559","-12.237","-3.0548","1.4064","0.16387","-0.7296","0.8179","0.34884","0.21481"
"-10.759","-4.7279","-4.1315","1.0909","0.38168","-1.7323","0.79358","0.40953","0.20289"
"-11.858","-1.9151","-1.6506","-0.10384","0.347","-1.6031","0.76108","0.46225","0.2141"
"-8.8481","-3.6179","-2.3086","0.46896","0.21622","-1.6389","0.73006","0.51118","0.21621"
"-9.7598","-0.36196","-1.6027","1.1518","0.38485","-1.6801","0.69191","0.56574","0.20798"
"-9.1339","-0.26762","-2.0479","1.4921","0.36844","-1.3802","0.65347","0.61651","0.18451"
"-9.0491","0.26152","-2.9621","1.6417","0.22556","-1.3988","0.61606","0.66542","0.14862"
