"AccX","AccY","AccZ","GyroX","GyroY","GyroZ","MagX","MagY","MagZ"
"-4.5961","-9.7352","-0.26663","-0.30698","0.47069","-0.21546","0.89347","0.23713","0.057629"
"-6.7251","-2.9298","-1.1872","0.4748","0.78107","-0.97244","0.88567","0.26087","0.078073"
"-15.116","20.409","1.9652","0.29716","1.6363","-0.74245","0.8707","0.29687","0.11653"
"-13.045","13.69","3.5672","-1.0331","-0.1828","0.15932","0.86664","0.28521","0.15455"
"-6.755","-13.797","-3.0142","-0.21641","-0.3795","-1.2635","0.8658","0.30309","0.13728"
"-20.998","11.643","3.117","-0.79667","0.035266","-0.2011","0.85659","0.32713","0.14689"
"-8.5966","-11.216","-8.6812","-0.39712","-0.061075","-0.23388","0.85492","0.32779","0.13684"
"-8.5158","-9.9338","-3.1363","1.798","0.3238","-1.4526","0.84138","0.3689","0.12797"
"-11.894","-0.41979","-1.909","0.12827","0.18698","-1.3819","0.81707","0.42399","0.1204"
"-9.6964","-3.9252","-2.7314","0.47539","0.17826","-1.5116","0.78915","0.47103","0.12304"
"-10.032","-1.9371","-1.3747","1.1269","0.17407","-1.6716","0.75864","0.52529","0.10875"
"-9.0071","-0.9497","-1.5803","1.1324","0.23875","-1.6004","0.7223","0.57954","0.090243"
"-9.2925","-0.86631","-2.0663","1.1294","0.18247","-1.7094","0.68227","0.63101","0.068029"
"-9.1672","0.69599","-2.5007","1.2916","-0.060715","-1.6781","0.63836","0.67888","0.037241"
"-9.2201","2.0923","-2.8634","0.71769","-0.13019","-1.3872","0.59565","0.71791","0.005481"
"-10.229","1.1099","-2.0423","0.24115","-0.14482","-1.2216","0.55805","0.74723","-0.009217"
"-9.7227","1.3898","-2.1524","0.32057","-0.10104","-1.0288","0.5269","0.77296","-0.019535"
"-9.9866","0.3915","-2.2017","0.4777","-0.14594","-0.8864","0.49648","0.78977","-0.035573"
"-10.024","2.2765","-1.0265","0.98856","-0.18232","-0.46439","0.47372","0.80171","-0.061475"
"-12.235","7.582","-2.0671","1.5311","-0.43665","0.39531","0.47406","0.79885","-0.11159"
"-13.125","7.5377","0.5186","1.239","-0.6145","1.7204","0.505","0.76849","-0.16544"
"-14.717","-2.9335","-0.70246","-0.93044","-0.35522","2.8864","0.57689","0.71392","-0.17467"
"-16.373","-7.2494","-3.2746","0.43218","0.32312","2.7562","0.65456","0.64461","-0.15943"
"-16.408","-5.0942","-0.34393","0.34519","0.69117","2.469","0.7195","0.57017","-0.1604"
"-10.853","-4.1677","0.3744","-1.1507","0.81197","2.5678","0.77799","0.49149","-0.12532"
"-8.5106","-4.0495","-0.56155","-2.2741","0.58149","2.3842","0.82605","0.42","-0.069341"
"-6.7284","-5.1501","-1.1248","-2.2656","0.39386","2.2043","0.86194","0.34565","-0.018524"
"-5.2301","-6.1549","-1.5288","-1.8449","0.24423","1.4618","0.8827","0.2797","0.015943"
"-5.5805","-8.1399","-2.464","-1.1422","0.18478","0.531","0.8926","0.24414","0.035654"
"-5.125","-8.716","-0.57098","-0.42095","0.68657","-0.52435","0.88966","0.24701","0.062544"
"-7.8102","-1.55","-2.1708","0.71155","0.72668","-0.99371","0.8825","0.27383","0.086424"
"-16.598","33.853","4.8619","-0.87961","1.5934","-0.22458","0.86732","0.30382","0.12764"
"-11.077","5.993","0.60644","-1.3064","-0.66427","0.1471","0.8704","0.27613","0.15213"
"-6.2434","-14.365","0.51562","-0.63192","-0.32373","-1.4484","0.86777","0.29264","0.14461"
"-22.245","6.1953","0.83202","0.38261","0.000673","-0.29244","0.85757","0.31811","0.14722"
"-7.4442","-6.7317","-7.4174","-0.22354","-0.16836","-0.44898","0.85744","0.32405","0.1329"
"-9.402","-9.468","-4.16","1.0068","0.37981","-1.3948","0.84277","0.36356","0.12949"
"-12.359","-2.7707","-1.5256","0.074134","0.16601","-1.5695","0.81856","0.41842","0.12783"
"-8.9524","-4.5694","-2.2055","0.62206","0.18816","-1.7146","0.7883","0.47423","0.13047"
"-9.5348","-0.10359","-1.7494","1.3355","0.19993","-1.7541","0.75176","0.53601","0.10971"
"-8.9261","0.51493","-2.0154","1.2681","0.23593","-1.5578","0.71549","0.58918","0.092394"
"-9.1741","-0.5221","-1.7642","1.4029","0.12575","-1.7097","0.67504","0.63838","0.065966"
"-9.1554","1.3259","-2.4636","1.178","0.027503","-1.6068","0.63153","0.68562","0.031261"
"-9.3027","1.0094","-2.2411","0.60976","-0.11591","-1.3643","0.59082","0.72177","0.006951"
"-10.121","0.40557","-2.1068","0.10545","-0.097208","-1.2637","0.5531","0.75235","-0.003688"
"-9.8688","0.70718","-2.2522","0.45064","-0.075674","-1.1117","0.51739","0.77739","-0.014481"
